Supplementary Table 4: Cabbage vs TO1000 DEGs,,,,,,,,,
Gene,Cabbage_1,Cabbage_2,TO1000_1,TO1000_2,TO1000_3,Cabbage_Mean,TO1000_Mean,CvT_log2FC,CvT_padj
Bo1g001050,25.59358532,18.85450986,109.585198,137.6448496,165.800256,22.22404759,33.91696931,-2.675109616,5.47E-09
Bo1g001060,21.65611066,17.05884226,112.1943694,75.5550533,96.24502664,19.35747646,53.03923506,-2.327174418,2.64E-07
Bo1g001140,3.937474665,7.182670423,13.04585691,25.43437438,38.01274161,5.560072544,11.49862932,-2.113022247,0.026382954
Bo1g002460,15.74989866,27.83284789,96.53934113,118.1950339,135.8753317,21.79137328,218.6637776,-2.399314952,0.016809332
Bo1g002550,19.68737333,26.93501409,60.88066558,45.63225991,52.57081287,23.31119371,46.84722973,-1.14549576,0.037930202
Bo1g002560,27.56232266,14.36534085,0,1.496139669,1.617563473,20.96383175,17.91556813,4.251227219,0.000153068
Bo1g002600,59.06211998,61.9505324,115.6732646,127.9199417,139.9192404,60.50632619,44.29780994,-1.076146358,0.025104869
Bo1g002670,86.62444263,83.49854367,187.8603395,172.056062,200.5778706,85.06149315,136.5475881,-1.138691391,8.48E-05
Bo1g002720,43.31222132,47.58519156,17.39447588,16.45753636,23.45467036,45.44870644,48.91498602,1.259062288,0.017515051
Bo1g002730,454.7783238,348.3595155,175.6842064,167.567643,185.2110177,401.5689197,271.4838297,1.178650489,4.05E-07
Bo1g002890,0,4.489169015,58.27149419,65.83014545,80.87817365,2.244584507,9.617122392,-4.533375788,1.93E-07
Bo1g002960,179.1550973,218.1736141,26.09171382,64.33400578,66.32010239,198.6643557,19.91777165,1.927049364,4.13E-06
Bo1g002970,421.3097892,700.3103663,88.71182698,225.9170901,278.2209173,560.8100777,98.48182317,1.506165893,0.031495585
Bo1g003250,3.937474665,0,74.79624628,62.08979627,59.04106676,1.968737333,18.7442173,-5.666856274,3.28E-06
Bo1g003300,281.5294386,283.7154817,102.6274077,111.4624054,93.00989969,282.6224601,213.8250189,1.464748066,4.31E-08
Bo1g003310,78.7494933,95.17038311,193.948406,157.0946653,195.7251802,86.95993821,114.6039209,-1.049520803,0.00114367
Bo1g003380,3.937474665,3.591335212,81.75403663,86.77610082,75.21670149,3.764404938,97.22699011,-4.454578273,8.34E-10
Bo1g003540,464.6220105,527.9262761,141.7649784,166.0715033,154.4773117,496.2741433,550.4569271,1.690922979,3.45E-17
Bo1g003600,43.31222132,42.19818874,103.4971315,68.82242479,88.96599101,42.75520503,120.0860051,-1.027042743,0.0178113
Bo1g003720,0,0,27.83116141,23.19016487,28.30736078,0,2.927114676,-6.755882919,0.000260224
Bo1g004730,9.843686663,6.284836621,26.09171382,100.2413578,109.9943162,8.064261642,27.60525167,-3.363549034,2.69E-06
Bo1g004770,234.2797426,225.3562845,91.32099836,120.4392434,122.9348239,229.8180136,215.2035256,1.038575212,0.000174765
Bo1g004840,5.906211998,2.693501409,23.48254244,17.95367603,22.64588862,4.299856703,55.25924286,-2.485127892,0.004071186
Bo1g005160,47.24969598,65.54186761,128.7191215,142.1332686,153.6685299,56.3957818,44.18532988,-1.29575166,0.000553826
