Supplementary Table 2: Kale vs TO1000 DEGs,,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,TO1000_1,TO1000_2,TO1000_3,Kale_Mean,TO1000_Mean,KvT_log2FC,KvT_padj
Bo1g001010,18.69354476,7.720502488,16.62082504,0.869723794,2.992279339,0.808781736,1.55692829,14.34495743,3.178338674,0.009457238
Bo1g001050,32.90063877,20.26631903,48.58395013,109.585198,137.6448496,165.800256,137.6767679,33.91696931,-2.042970095,2.06E-08
Bo1g002240,171.9806118,213.2788812,173.8794005,360.0656507,435.3766438,417.331376,404.2578902,186.3796312,-1.117414766,3.44E-08
Bo1g002250,62.06256859,69.48452239,75.4329752,2.609171382,10.47297768,7.279035628,6.787061565,68.99335539,3.320339205,3.03E-10
Bo1g002450,19.44128655,25.09163309,11.50672503,0,0.748069835,0,0.249356612,18.67988155,6.020740833,0.000187248
Bo1g002560,19.44128655,16.40606779,17.89935005,0,1.496139669,1.617563473,1.037901047,17.91556813,4.071710234,0.000119325
Bo1g002600,70.28772828,43.4278265,19.17787505,115.6732646,127.9199417,139.9192404,127.8374822,44.29780994,-1.494150395,0.000134123
Bo1g002720,39.63031488,55.97364304,51.14100014,17.39447588,16.45753636,23.45467036,19.10222753,48.91498602,1.351011928,0.00259503
Bo1g002890,11.21612685,8.685565299,8.949675024,58.27149419,65.83014545,80.87817365,68.32660443,9.617122392,-2.813717515,1.59E-08
Bo1g002960,25.42322087,20.26631903,14.06377504,26.09171382,64.33400578,66.32010239,52.24860733,19.91777165,-1.366274331,0.002147082
Bo1g003050,14.20709401,17.3711306,39.63427511,80.01458904,44.13612024,53.37959461,59.17676796,23.73749991,-1.357235286,0.00925194
Bo1g003250,16.45031938,23.16150746,16.62082504,74.79624628,62.08979627,59.04106676,65.30903644,18.7442173,-1.799453651,0.000103429
Bo1g003300,204.1335087,263.4621474,173.8794005,102.6274077,111.4624054,93.00989969,102.3665709,213.8250189,1.065205022,1.51E-05
Bo1g003410,23.92773729,15.44100498,29.40607508,0,1.496139669,0,0.498713223,22.92493911,5.428747275,0.000137174
Bo1g003540,541.3650561,538.5050485,571.5006765,141.7649784,166.0715033,154.4773117,154.1045978,550.4569271,1.834624121,1.46E-25
Bo1g003610,91.9722402,127.3882911,130.4095504,41.74674211,52.36488842,63.08497544,52.39886866,116.5900272,1.14590075,0.000704587
Bo1g003650,32.15289698,27.02175871,29.40607508,100.8879601,71.81470412,71.17279281,81.29181901,29.52691026,-1.455732462,0.000340985
Bo1g003720,2.990967161,5.790376866,0,27.83116141,23.19016487,28.30736078,26.44289569,2.927114676,-3.100672014,0.000511187
Bo1g004730,27.66644624,27.02175871,28.12755008,26.09171382,100.2413578,109.9943162,78.77579594,27.60525167,-1.515911021,0.005976515
Bo1g004840,51.59418353,61.76401991,52.41952514,23.48254244,17.95367603,22.64588862,21.36070236,55.25924286,1.374251842,0.003425667
Bo1g004900,53.08966711,58.86883147,69.04035019,31.31005658,23.93823471,20.21954341,25.1559449,60.33294959,1.258330596,0.002105544
Bo1g004910,50.09869994,55.97364304,61.36920017,20.00364726,18.70174587,33.96883293,24.22474202,55.81384772,1.200381558,0.014108951
Bo1g005040,0.74774179,1.930125622,0,5.218342764,8.976838016,16.98441647,10.39319908,0.892622471,-3.47130966,0.01837888
Bo1g005160,50.84644173,31.84707276,49.86247513,128.7191215,142.1332686,153.6685299,141.5069733,44.18532988,-1.679773927,6.49E-08
Bo1g005170,47.85547457,50.18326617,38.3557501,13.04585691,25.43437438,29.11614251,22.5321246,45.46483028,1.012714452,0.049279488
Bo1g005180,13.45935222,21.23138184,29.40607508,56.53204661,50.12067892,39.63030509,48.7610102,21.36560305,-1.221887598,0.019051032
Bo1g005200,82.99933871,82.03033894,95.88937526,16.52475208,10.47297768,11.32294431,12.77355803,86.97301764,2.77322927,1.72E-13
Bo1g005280,509.2121591,288.5537805,433.4199762,187.8603395,178.0406206,142.3455856,169.4155153,410.3953053,1.27785421,6.04E-07
Bo1g005380,103.9361088,73.34477364,130.4095504,166.9869684,244.6188359,331.600512,247.7354388,102.5634776,-1.277557091,0.00079408
Bo1g005420,38.88257309,37.63744963,40.91280011,1.739447588,0.748069835,8.087817365,3.525111596,39.14427428,3.478322564,1.23E-05
Bo1g005470,3.738708951,1.930125622,8.949675024,15.65502829,38.8996314,46.90934072,33.82133347,4.872836532,-2.8710806,0.000206106
Bo1g005490,163.0077103,116.7726001,111.2316753,47.83480867,64.33400578,63.89375718,58.68752388,130.3373286,1.155521115,0.00055734
Bo1g005550,2.990967161,0.965062811,2.557050007,25.22199002,17.95367603,27.49857904,23.5580817,2.17102666,-3.418510771,6.04E-05
Bo1g005570,2.243225371,2.895188433,0,11.30640932,19.4498157,13.74928952,14.83517151,1.712804601,-3.010215417,0.00428052
Bo1g005740,269.9347863,426.5577625,271.0473007,120.0218836,91.26451982,95.4362449,102.2408828,322.5132832,1.659818606,7.33E-11
Bo1g005820,5.234192532,6.755439677,7.671150021,0,0,0.808781736,0.269593912,6.553594076,4.495508986,0.034773768
Bo1g005840,12.71161043,8.685565299,12.78525003,3.478895176,0.748069835,0,1.408988337,11.39414192,3.051953051,0.025233532
Bo1g005850,2.990967161,3.860251244,2.557050007,19.13392347,20.94595537,20.21954341,20.09980742,3.136089471,-2.669517203,0.001560326
Bo1g005860,42.62128204,40.53263806,30.68460008,105.2365791,115.2027545,105.1416257,108.5269864,37.9461734,-1.498633573,2.06E-07
Bo1g005970,1.49548358,0.965062811,0,11.30640932,12.71718719,8.087817365,10.70380462,0.82018213,-3.542646206,0.01026427
Bo1g005980,72.53095365,69.48452239,60.09067516,329.6253179,227.4132297,271.7506635,276.2630704,67.36871707,-2.027558599,5.74E-15
Bo1g006000,99.4496581,64.65920834,113.7887253,357.4564793,347.8524731,415.7138125,373.674255,92.63253058,-2.018184074,4.03E-16
Bo1g006040,20.18902834,17.3711306,30.68460008,128.7191215,146.6216876,190.0637081,155.1348391,22.74825301,-2.797393017,3.65E-15
Bo1g006170,2.243225371,1.930125622,3.83557501,18.26419967,17.95367603,21.02832515,19.08206695,2.669642001,-2.885776122,0.001935242
Bo1g006230,10.46838506,14.47594217,24.29197507,4.34861897,4.488419008,3.235126946,4.024054974,16.41210076,2.000300115,0.015508388
Bo1g006240,62.06256859,37.63744963,77.99002521,0.869723794,2.992279339,1.617563473,1.826522202,59.23001448,4.981882838,5.24E-11
Bo1g006300,18.69354476,10.61569092,8.949675024,0.869723794,1.496139669,0.808781736,1.058215067,12.75297023,3.596027705,0.001919738
Bo1g006490,72.53095365,87.8207158,76.71150021,40.00729452,42.63998057,34.77761467,39.14162992,79.02105655,1.011623365,0.003785979
Bo1g006580,14.20709401,6.755439677,5.114100014,0,0.748069835,0.808781736,0.518950524,8.692211235,4.062268881,0.005773119
Bo1g006610,60.56708501,56.93870585,61.36920017,114.8035408,136.1487099,142.3455856,131.0992788,59.62499701,-1.138171011,0.000194357
Bo1g006720,26.91870445,27.98682152,21.73492506,7.827514145,3.740349173,7.279035628,6.282299649,25.54681701,2.038215424,0.006227762
Bo1g006740,45.6122492,51.14832898,65.20477518,19.13392347,11.96911735,7.279035628,12.79402548,53.98845112,2.077735637,0.000143515
Bo1g006830,189.1786729,111.9472861,205.8425256,31.31005658,52.36488842,41.24786856,41.64093786,168.9894949,2.014417548,3.95E-09
Bo1g006860,0,0,0,2.609171382,4.488419008,6.470253892,4.52261476,0,-4.660276388,0.049561181
Bo1g006880,60.56708501,96.5062811,80.54707522,23.48254244,20.94595537,25.07223383,23.16691055,79.20681378,1.770285873,7.05E-06
Bo1g006970,52.34192532,27.02175871,40.91280011,9.566961733,4.488419008,7.279035628,7.111472123,40.09216138,2.513542435,1.23E-05
Bo1g007010,4.486450741,9.65062811,15.34230004,0,0.748069835,0,0.249356612,9.826459631,5.067181259,0.006851791
Bo1g007020,14.9548358,16.40606779,24.29197507,0,0,0.808781736,0.269593912,18.55095955,5.994055242,0.00017907
Bo1g007280,16.45031938,27.98682152,17.89935005,4.34861897,4.488419008,6.470253892,5.102430623,20.77883032,2.024540868,0.00361072
Bo1g007370,106.927076,120.6328514,85.66117523,285.2694044,246.1149756,230.5027949,253.9623916,104.4070342,-1.274015675,2.97E-08
Bo1g007410,138.3322312,138.003982,159.8156254,420.9463163,421.1633169,549.9715808,464.0270713,145.3839462,-1.67785421,4.10E-12
Bo1g007540,41.12579846,41.49770087,39.63427511,81.75403663,83.78382148,118.0821335,94.53999721,40.75259148,-1.212804673,0.002970049
Bo1g007590,81.50385513,74.30983645,33.24165009,206.1245392,174.3002715,175.5056368,185.3101491,63.01844722,-1.530510687,9.59E-07
