GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0015979,photosynthesis,379,86,40.22,1.1e-12,4.9423e-09
GO:0050896,response to stimulus,9620,1168,1020.9,7.5e-11,1.684875e-07
GO:1901568,fatty acid derivative metabolic process,140,42,14.86,1.4e-10,1.7972e-07
GO:0044281,small molecule metabolic process,2883,406,305.95,1.6e-10,1.7972e-07
GO:0006629,lipid metabolic process,1593,241,169.05,4.6e-10,4.13356e-07
GO:0006082,organic acid metabolic process,1994,289,211.61,2.8e-09,2.09673333333333e-06
GO:0018298,protein-chromophore linkage,83,25,8.81,1.5e-08,9.62785714285714e-06
GO:0010035,response to inorganic substance,1715,267,182,1.6e-07,8.986e-05
GO:1901615,organic hydroxy compound metabolic proce...,588,101,62.4,2.9e-07,0.000144774444444444
GO:0080028,nitrile biosynthetic process,20,11,2.12,7.0e-07,0.00031451
GO:1901570,fatty acid derivative biosynthetic proce...,96,28,10.19,9.2e-07,0.000366928333333333
GO:0080027,response to herbivore,56,22,5.94,9.8e-07,0.000366928333333333
GO:0050898,nitrile metabolic process,20,11,2.12,1.1e-06,0.000380176923076923
GO:0019757,glycosinolate metabolic process,232,51,24.62,1.2e-06,0.000385114285714286
GO:0010119,regulation of stomatal movement,189,40,20.06,2.7e-06,0.00080874
GO:0019725,cellular homeostasis,507,83,53.8,6.8e-06,0.00190291764705882
GO:0015977,carbon fixation,71,21,7.53,7.2e-06,0.00190291764705882
GO:1903960,negative regulation of anion transmembra...,7,6,0.74,8.9e-06,0.00217555789473684
GO:1903792,negative regulation of anion transport,7,6,0.74,9.2e-06,0.00217555789473684
GO:0044419,interspecies interaction between organis...,2247,299,238.46,1.2e-05,0.0026958
GO:0006950,response to stress,5778,767,613.17,1.5e-05,0.00320928571428571
GO:0019748,secondary metabolic process,766,119,81.29,1.6e-05,0.00326763636363636
GO:0044255,cellular lipid metabolic process,1227,173,130.21,1.9e-05,0.00371160869565217
GO:0009765,photosynthesis, light harvesting,59,20,6.26,2.4e-05,0.00431328
GO:0051252,regulation of RNA metabolic process,2405,233,255.22,2.4e-05,0.00431328
GO:0009415,response to water,702,121,74.5,3.4e-05,0.00582425925925926
GO:0008610,lipid biosynthetic process,923,142,97.95,3.5e-05,0.00582425925925926
GO:0034763,negative regulation of transmembrane tra...,9,6,0.96,4.0e-05,0.00641857142857143
GO:0044550,secondary metabolite biosynthetic proces...,303,57,32.16,4.6e-05,0.0071268275862069
GO:0065008,regulation of biological quality,1970,242,209.06,5.2e-05,0.00753664516129032
GO:0010118,stomatal movement,281,50,29.82,5.2e-05,0.00753664516129032
GO:1901657,glycosyl compound metabolic process,353,66,37.46,6.2e-05,0.0087051875
GO:1901136,carbohydrate derivative catabolic proces...,121,30,12.84,6.8e-05,0.00925830303030303
GO:0034766,negative regulation of ion transmembrane...,9,6,0.96,7.5e-05,0.00991102941176471
GO:0009611,response to wounding,391,78,41.49,8.6e-05,0.0110399428571429
GO:0090693,plant organ senescence,266,43,28.23,0.00010,0.0124805555555556
GO:0007568,aging,300,47,31.84,0.00015,0.0177355263157895
GO:0043271,negative regulation of ion transport,13,7,1.38,0.00015,0.0177355263157895
GO:0006639,acylglycerol metabolic process,84,18,8.91,0.00016,0.017972
GO:0006355,regulation of transcription, DNA-templat...,2258,222,239.62,0.00017,0.017972
GO:0055114,oxidation-reduction process,657,100,69.72,0.00017,0.017972
GO:0009657,plastid organization,404,49,42.87,0.00018,0.017972
GO:0009698,phenylpropanoid metabolic process,228,39,24.2,0.00018,0.017972
GO:0006970,response to osmotic stress,1239,199,131.49,0.00018,0.017972
GO:0030003,cellular cation homeostasis,230,45,24.41,0.00018,0.017972
GO:0016143,S-glycoside metabolic process,232,51,24.62,0.00019,0.0181631914893617
GO:0010363,regulation of plant-type hypersensitive ...,38,11,4.03,0.00019,0.0181631914893617
GO:0009625,response to insect,85,24,9.02,0.00020,0.0183387755102041
GO:0006790,sulfur compound metabolic process,659,97,69.93,0.00020,0.0183387755102041
GO:0032410,negative regulation of transporter activ...,9,6,0.96,0.00024,0.0215664
GO:0019759,glycosinolate catabolic process,47,16,4.99,0.00025,0.0216009615384615
GO:0080184,response to phenylpropanoid,13,7,1.38,0.00025,0.0216009615384615
GO:0019758,glycosinolate biosynthetic process,83,21,8.81,0.00026,0.0220411320754717
GO:0001101,response to acid chemical,2306,322,244.72,0.00028,0.023297037037037
GO:0000302,response to reactive oxygen species,308,60,32.69,0.00030,0.0245072727272727
GO:0019685,photosynthesis, dark reaction,54,18,5.73,0.00033,0.0264766071428571
GO:0010360,negative regulation of anion channel act...,7,6,0.74,0.00035,0.0275885964912281
GO:0044283,small molecule biosynthetic process,1163,169,123.42,0.00039,0.0302115517241379
GO:0008299,isoprenoid biosynthetic process,275,48,29.18,0.00042,0.031451
GO:0009414,response to water deprivation,684,120,72.59,0.00042,0.031451
GO:0009734,auxin-activated signaling pathway,420,67,44.57,0.00044,0.0324085245901639
GO:0042545,cell wall modification,180,28,19.1,0.00045,0.0326104838709677
GO:1901617,organic hydroxy compound biosynthetic pr...,342,59,36.29,0.00047,0.0335192063492063
GO:0045454,cell redox homeostasis,211,37,22.39,0.00049,0.03439953125
GO:0010150,leaf senescence,258,43,27.38,0.00051,0.0352527692307692
GO:0006351,transcription, DNA-templated,2457,232,260.74,0.00071,0.0482829850746269
GO:0032413,negative regulation of ion transmembrane...,9,6,0.96,0.00072,0.0482829850746269
