GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0009536,plastid,4228,350,248.99,2.3e-09,1.955e-06
GO:0044444,cytoplasmic part,15152,1033,892.3,2.3e-07,9.775e-05
GO:0044435,plastid part,2354,209,138.63,3.6e-07,0.000102
GO:0034357,photosynthetic membrane,626,64,36.87,1.1e-05,0.0023375
GO:0005737,cytoplasm,18348,1207,1080.51,1.6e-05,0.00272
GO:0005622,intracellular,25071,1554,1476.43,2.5e-05,0.00303571428571429
GO:0044424,intracellular part,25071,1554,1476.43,2.5e-05,0.00303571428571429
GO:0044436,thylakoid part,657,66,38.69,7.8e-05,0.0082875
GO:0005773,vacuole,2201,179,129.62,0.00010,0.00944444444444444
GO:0098796,membrane protein complex,1020,79,60.07,0.00013,0.01105
GO:0009579,thylakoid,842,78,49.59,0.00026,0.0200909090909091
GO:0009526,plastid envelope,1209,117,71.2,0.00029,0.0205416666666667
GO:0016602,CCAAT-binding factor complex,25,6,1.47,0.00070,0.0457692307692308
GO:0048046,apoplast,1048,78,61.72,0.00088,0.0534285714285714
GO:0098805,whole membrane,2143,159,126.2,0.00102,0.05525
GO:0005774,vacuolar membrane,1340,113,78.91,0.00104,0.05525
GO:0033176,proton-transporting V-type ATPase comple...,64,13,3.77,0.00155,0.0775
GO:0044437,vacuolar part,1351,113,79.56,0.00207,0.09775
GO:0046930,pore complex,36,7,2.12,0.00308,0.137789473684211
GO:0031976,plastid thylakoid,723,70,42.58,0.00356,0.1513
GO:0043226,organelle,22476,1374,1323.61,0.00432,0.174857142857143
GO:0031975,envelope,2133,155,125.61,0.00619,0.239159090909091
GO:0005623,cell,29165,1746,1717.53,0.00703,0.259804347826087
GO:0000421,autophagosome membrane,23,6,1.35,0.00956,0.338583333333333
GO:0031967,organelle envelope,2133,155,125.61,0.01181,0.400322580645161
GO:0009317,acetyl-CoA carboxylase complex,8,3,0.47,0.01294,0.400322580645161
GO:0036452,ESCRT complex,41,6,2.41,0.01302,0.400322580645161
GO:0016471,vacuolar proton-transporting V-type ATPa...,32,7,1.88,0.01350,0.400322580645161
GO:1904724,tertiary granule lumen,5,2,0.29,0.01439,0.400322580645161
GO:0044464,cell part,29092,1739,1713.23,0.01453,0.400322580645161
GO:0098588,bounding membrane of organelle,3046,209,179.38,0.01460,0.400322580645161
GO:0000815,ESCRT III complex,24,5,1.41,0.01863,0.494859375
