GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0016491,oxidoreductase activity,2964,179,111.94,1.3e-11,2.522e-08
GO:0048037,cofactor binding,2028,124,76.59,3.2e-09,3.104e-06
GO:0016209,antioxidant activity,290,33,10.95,2.0e-08,1.29333333333333e-05
GO:0043169,cation binding,7215,312,272.48,7.8e-07,0.0003783
GO:0019842,vitamin binding,310,25,11.71,2.5e-06,0.00097
GO:0048029,monosaccharide binding,96,13,3.63,4.4e-06,0.00142266666666667
GO:0046906,tetrapyrrole binding,749,46,28.29,7.2e-06,0.00199542857142857
GO:0004020,adenylylsulfate kinase activity,16,5,0.6,1.2e-05,0.00291
GO:0015157,oligosaccharide transmembrane transporte...,38,7,1.44,4.7e-05,0.0097
GO:0047631,ADP-ribose diphosphatase activity,16,5,0.6,5.0e-05,0.0097
GO:0016758,transferase activity, transferring hexos...,734,40,27.72,8.5e-05,0.0149909090909091
GO:0031543,peptidyl-proline dioxygenase activity,35,6,1.32,0.00023,0.0371833333333333
GO:0016782,transferase activity, transferring sulfu...,104,11,3.93,0.00029,0.0432769230769231
GO:0004551,nucleotide diphosphatase activity,36,6,1.36,0.00038,0.0526571428571429
GO:0043565,sequence-specific DNA binding,1949,76,73.61,0.00079,0.101041666666667
GO:0015077,monovalent inorganic cation transmembran...,590,26,22.28,0.00089,0.101041666666667
GO:0042625,ATPase coupled ion transmembrane transpo...,216,12,8.16,0.00090,0.101041666666667
GO:0044212,transcription regulatory region DNA bind...,991,45,37.43,0.00096,0.101041666666667
GO:0016018,cyclosporin A binding,30,5,1.13,0.00099,0.101041666666667
GO:0016790,thiolester hydrolase activity,69,9,2.61,0.00111,0.101041666666667
GO:0031418,L-ascorbic acid binding,72,11,2.72,0.00112,0.101041666666667
GO:0019900,kinase binding,384,24,14.5,0.00120,0.101041666666667
GO:0070401,NADP+ binding,8,3,0.3,0.00124,0.101041666666667
GO:0003924,GTPase activity,375,18,14.16,0.00125,0.101041666666667
GO:0022832,voltage-gated channel activity,82,8,3.1,0.00146,0.113296
GO:0005509,calcium ion binding,502,36,18.96,0.00155,0.115653846153846
GO:0044769,ATPase activity, coupled to transmembran...,104,11,3.93,0.00169,0.12142962962963
GO:0050661,NADP binding,174,13,6.57,0.00193,0.130448275862069
GO:0022829,wide pore channel activity,38,7,1.44,0.00195,0.130448275862069
GO:0005253,anion channel activity,49,6,1.85,0.00229,0.148086666666667
GO:0001067,regulatory region nucleic acid binding,991,45,37.43,0.00283,0.177103225806452
GO:0005544,calcium-dependent phospholipid binding,20,4,0.76,0.00389,0.206933333333333
GO:0102490,8-oxo-dGTP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0102491,dGTP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0102485,dATP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0102486,dCTP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0102487,dUTP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0102488,dTTP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0102489,GTP phosphohydrolase activity,12,3,0.45,0.00416,0.206933333333333
GO:0008194,UDP-glycosyltransferase activity,548,31,20.7,0.00446,0.210754545454545
GO:0003906,DNA-(apurinic or apyrimidinic site) endo...,31,2,1.17,0.00454,0.210754545454545
GO:0046961,proton-transporting ATPase activity, rot...,50,7,1.89,0.00477,0.210754545454545
GO:0052855,ADP-dependent NAD(P)H-hydrate dehydratas...,6,3,0.23,0.00478,0.210754545454545
GO:0047453,ATP-dependent NAD(P)H-hydrate dehydratas...,6,3,0.23,0.00478,0.210754545454545
GO:0005244,voltage-gated ion channel activity,82,8,3.1,0.00492,0.212106666666667
GO:0061134,peptidase regulator activity,115,10,4.34,0.00512,0.2134
GO:0043295,glutathione binding,34,5,1.28,0.00517,0.2134
GO:0030170,pyridoxal phosphate binding,216,14,8.16,0.00563,0.226069387755102
GO:0016684,oxidoreductase activity, acting on perox...,246,25,9.29,0.00571,0.226069387755102
GO:0005525,GTP binding,538,23,20.32,0.00599,0.232412
GO:0016880,acid-ammonia (or amide) ligase activity,17,3,0.64,0.00672,0.255623529411765
GO:0019904,protein domain specific binding,202,14,7.63,0.00714,0.265851851851852
GO:0016769,transferase activity, transferring nitro...,134,10,5.06,0.00737,0.265851851851852
GO:0030414,peptidase inhibitor activity,112,9,4.23,0.00740,0.265851851851852
GO:0051139,metal ion:proton antiporter activity,23,3,0.87,0.00770,0.269867857142857
GO:0043177,organic acid binding,188,12,7.1,0.00779,0.269867857142857
