GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0019759,glycosinolate catabolic process,35,15,2.48,1.5e-08,2.63625e-05
GO:0050896,response to stimulus,8683,734,614.74,1.9e-08,2.63625e-05
GO:0006790,sulfur compound metabolic process,317,50,22.44,3.4e-07,0.0003145
GO:0019757,glycosinolate metabolic process,116,27,8.21,1.6e-06,0.00111
GO:0044710,single-organism metabolic process,5875,513,415.94,2.2e-06,0.001221
GO:0044273,sulfur compound catabolic process,52,15,3.68,2.3e-05,0.0106375
GO:0008152,metabolic process,17214,1319,1218.73,4.9e-05,0.017690625
GO:0044699,single-organism process,13521,1053,957.27,5.1e-05,0.017690625
GO:0008299,isoprenoid biosynthetic process,181,29,12.81,0.00011,0.0339166666666667
GO:0006720,isoprenoid metabolic process,212,31,15.01,0.00016,0.0444
GO:0051704,multi-organism process,1824,169,129.14,0.00020,0.04625
GO:0006950,response to stress,4457,423,315.55,0.00020,0.04625
GO:0090068,positive regulation of cell cycle proces...,16,5,1.13,0.00038,0.0811153846153846
GO:0009607,response to biotic stimulus,1291,141,91.4,0.00048,0.0951428571428572
GO:0051307,meiotic chromosome separation,10,4,0.71,0.00058,0.1073
GO:0006714,sesquiterpenoid metabolic process,14,7,0.99,0.00128,0.222
GO:0016106,sesquiterpenoid biosynthetic process,13,7,0.92,0.00146,0.235875
GO:0019762,glucosinolate catabolic process,35,15,2.48,0.00153,0.235875
GO:0010564,regulation of cell cycle process,87,11,6.16,0.00225,0.3177375
GO:0010166,wax metabolic process,39,9,2.76,0.00229,0.3177375
GO:0042762,regulation of sulfur metabolic process,31,8,2.19,0.00259,0.34225
GO:0051304,chromosome separation,22,5,1.56,0.00276,0.348136363636364
GO:0019693,ribose phosphate metabolic process,494,48,34.97,0.00315,0.380054347826087
GO:2001252,positive regulation of chromosome organi...,7,3,0.5,0.00367,0.41625
GO:0006753,nucleoside phosphate metabolic process,587,55,41.56,0.00415,0.41625
GO:1900911,regulation of olefin biosynthetic proces...,10,4,0.71,0.00420,0.41625
GO:0009605,response to external stimulus,1625,165,115.05,0.00420,0.41625
GO:0010364,regulation of ethylene biosynthetic proc...,10,4,0.71,0.00433,0.41625
GO:0031335,regulation of sulfur amino acid metaboli...,10,4,0.71,0.00443,0.41625
GO:0007131,reciprocal meiotic recombination,36,5,2.55,0.00450,0.41625
GO:1900908,regulation of olefin metabolic process,10,4,0.71,0.00467,0.418040322580645
GO:0022613,ribonucleoprotein complex biogenesis,307,27,21.74,0.00483,0.4188515625
GO:0051984,positive regulation of chromosome segreg...,7,3,0.5,0.00517,0.432573529411765
GO:0010025,wax biosynthetic process,36,8,2.55,0.00530,0.432573529411765
GO:0071103,DNA conformation change,164,15,11.61,0.00571,0.452721428571429
GO:0031668,cellular response to extracellular stimu...,215,26,15.22,0.00635,0.48375
GO:0050832,defense response to fungus,283,35,20.04,0.00645,0.48375
GO:0051707,response to other organism,1236,129,87.51,0.00687,0.498788461538462
GO:0035264,multicellular organism growth,6,3,0.42,0.00701,0.498788461538462
GO:0000096,sulfur amino acid metabolic process,10,4,0.71,0.00740,0.513375
GO:0006354,DNA-templated transcription, elongation,18,5,1.27,0.00762,0.515743902439024
GO:0019566,arabinose metabolic process,11,5,0.78,0.00853,0.563589285714286
GO:1901136,carbohydrate derivative catabolic proces...,64,11,4.53,0.00874,0.56403488372093
GO:0019748,secondary metabolic process,471,56,33.35,0.00909,0.564866666666667
GO:0044272,sulfur compound biosynthetic process,156,21,11.04,0.00916,0.564866666666667
GO:0080028,nitrile biosynthetic process,13,4,0.92,0.01343,0.775458333333333
GO:0010583,response to cyclopentenone,185,24,13.1,0.01377,0.775458333333333
GO:0065003,macromolecular complex assembly,440,27,31.15,0.01396,0.775458333333333
GO:0045787,positive regulation of cell cycle,25,5,1.77,0.01418,0.775458333333333
GO:0051156,glucose 6-phosphate metabolic process,49,8,3.47,0.01424,0.775458333333333
GO:0006388,tRNA splicing, via endonucleolytic cleav...,14,3,0.99,0.01472,0.775458333333333
GO:0010440,stomatal lineage progression,22,5,1.56,0.01495,0.775458333333333
GO:0055086,nucleobase-containing small molecule met...,640,62,45.31,0.01499,0.775458333333333
GO:0055085,transmembrane transport,1302,110,92.18,0.01509,0.775458333333333
GO:0009411,response to UV,138,20,9.77,0.01539,0.776495454545454
GO:0042214,terpene metabolic process,41,11,2.9,0.01707,0.845879464285714
GO:0008610,lipid biosynthetic process,603,60,42.69,0.01854,0.895655172413793
GO:0007063,regulation of sister chromatid cohesion,7,3,0.5,0.01872,0.895655172413793
GO:0006022,aminoglycan metabolic process,31,6,2.19,0.02072,0.959225
GO:0046390,ribose phosphate biosynthetic process,268,28,18.97,0.02074,0.959225
GO:0006082,organic acid metabolic process,1639,141,116.04,0.02249,1
GO:0009057,macromolecule catabolic process,652,59,46.16,0.02304,1
GO:0009900,dehiscence,34,6,2.41,0.02333,1
GO:0009628,response to abiotic stimulus,3099,287,219.4,0.02460,1
GO:0040020,regulation of meiotic nuclear division,16,3,1.13,0.02600,1
GO:0006825,copper ion transport,20,4,1.42,0.02657,1
