GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0005576,extracellular region,799,88,55.92,1.8e-05,0.00864
GO:0030312,external encapsulating structure,1165,118,81.54,0.00019,0.0456
GO:0032991,macromolecular complex,3349,283,234.41,0.00044,0.0704
GO:0043226,organelle,14114,1065,987.89,0.00083,0.0808
GO:0044464,cell part,24085,1762,1685.8,0.00101,0.0808
GO:0005623,cell,24085,1762,1685.8,0.00101,0.0808
GO:0005853,eukaryotic translation elongation factor...,17,6,1.19,0.00125,0.0857142857142857
GO:0044422,organelle part,4669,374,326.8,0.00248,0.1488
GO:0071944,cell periphery,5253,431,367.68,0.00309,0.1648
GO:0044424,intracellular part,15645,1186,1095.05,0.01650,0.730472727272727
GO:0005773,vacuole,1353,123,94.7,0.01674,0.730472727272727
GO:0016020,membrane,9099,681,636.87,0.02097,0.823384615384615
GO:0005886,plasma membrane,4404,353,308.25,0.02230,0.823384615384615
GO:0005783,endoplasmic reticulum,806,74,56.41,0.02780,0.953142857142857
GO:0042579,microbody,325,34,22.75,0.03395,1
GO:0031974,membrane-enclosed lumen,1034,87,72.37,0.04327,1
GO:0000798,nuclear cohesin complex,5,2,0.35,0.04624,1
GO:0009579,thylakoid,747,69,52.29,0.04926,1
GO:0005730,nucleolus,667,65,46.69,0.05498,1
GO:0005622,intracellular,16633,1247,1164.2,0.05559,1
GO:0031360,intrinsic component of thylakoid membran...,6,2,0.42,0.05983,1
GO:0031361,integral component of thylakoid membrane,6,2,0.42,0.06431,1
GO:0005802,trans-Golgi network,35,5,2.45,0.06462,1
GO:0008180,COP9 signalosome,27,5,1.89,0.06880,1
GO:0009512,cytochrome b6f complex,6,2,0.42,0.07558,1
GO:0042406,extrinsic component of endoplasmic retic...,9,2,0.63,0.07813,1
GO:0044428,nuclear part,1163,101,81.4,0.07969,1
GO:0031461,cullin-RING ubiquitin ligase complex,316,29,22.12,0.08112,1
GO:0030131,clathrin adaptor complex,32,3,2.24,0.08678,1
GO:0000502,proteasome complex,125,14,8.75,0.09103,1
GO:0009330,DNA topoisomerase complex (ATP-hydrolyzi...,7,2,0.49,0.09325,1
GO:0044435,plastid part,1772,150,124.03,0.09466,1
GO:0044446,intracellular organelle part,4666,374,326.59,0.09591,1
GO:0016471,vacuolar proton-transporting V-type ATPa...,20,4,1.4,0.10069,1
GO:0009536,plastid,5483,435,383.78,0.10391,1
GO:0044434,chloroplast part,1706,148,119.41,0.10661,1
GO:0019005,SCF ubiquitin ligase complex,56,8,3.92,0.11678,1
GO:0045298,tubulin complex,32,5,2.24,0.11745,1
GO:0031090,organelle membrane,964,81,67.47,0.12211,1
GO:0043228,non-membrane-bounded organelle,1988,163,139.15,0.12678,1
GO:0030140,trans-Golgi network transport vesicle,40,4,2.8,0.12693,1
GO:0043232,intracellular non-membrane-bounded organ...,1988,163,139.15,0.12699,1
GO:0019898,extrinsic component of membrane,169,16,11.83,0.12860,1
GO:0016592,mediator complex,24,4,1.68,0.13301,1
GO:0031967,organelle envelope,1445,119,101.14,0.14680,1
GO:0016272,prefoldin complex,16,3,1.12,0.14680,1
GO:0043233,organelle lumen,1034,87,72.37,0.15007,1
GO:0016021,integral component of membrane,1505,109,105.34,0.15059,1
GO:0005741,mitochondrial outer membrane,47,6,3.29,0.15261,1
GO:0000922,spindle pole,12,2,0.84,0.15349,1
GO:0005635,nuclear envelope,130,13,9.1,0.15431,1
GO:0070013,intracellular organelle lumen,1032,87,72.23,0.15717,1
GO:0008541,proteasome regulatory particle, lid subc...,28,4,1.96,0.15823,1
GO:0000221,vacuolar proton-transporting V-type ATPa...,8,2,0.56,0.15990,1
GO:0030176,integral component of endoplasmic reticu...,20,3,1.4,0.16460,1
GO:0005770,late endosome,36,4,2.52,0.16582,1
GO:0031975,envelope,1491,119,104.36,0.16639,1
GO:0005663,DNA replication factor C complex,9,2,0.63,0.16844,1
GO:0005956,protein kinase CK2 complex,10,2,0.7,0.17221,1
GO:0031965,nuclear membrane,9,2,0.63,0.17275,1
GO:0033176,proton-transporting V-type ATPase comple...,24,4,1.68,0.17483,1
GO:0005720,nuclear heterochromatin,13,2,0.91,0.17941,1
GO:0031968,organelle outer membrane,108,11,7.56,0.19430,1
GO:1905368,peptidase complex,134,14,9.38,0.19458,1
GO:0005838,proteasome regulatory particle,63,7,4.41,0.19788,1
GO:0022624,proteasome accessory complex,63,7,4.41,0.19788,1
GO:0070469,respiratory chain,156,14,10.92,0.19837,1
GO:0010168,ER body,11,2,0.77,0.20003,1
GO:0005732,small nucleolar ribonucleoprotein comple...,48,6,3.36,0.20091,1
GO:0030529,intracellular ribonucleoprotein complex,1000,83,69.99,0.20287,1
GO:0016469,proton-transporting two-sector ATPase co...,125,12,8.75,0.20642,1
GO:0005665,DNA-directed RNA polymerase II, core com...,41,5,2.87,0.20919,1
GO:0005798,Golgi-associated vesicle,75,7,5.25,0.21417,1
GO:0048046,apoplast,633,73,44.31,0.22173,1
GO:0005774,vacuolar membrane,246,23,17.22,0.22500,1
GO:0005643,nuclear pore,81,9,5.67,0.23076,1
GO:0031897,Tic complex,11,2,0.77,0.23320,1
GO:0005829,cytosol,1614,131,112.97,0.23613,1
GO:0033180,proton-transporting V-type ATPase, V1 do...,9,2,0.63,0.24411,1
GO:0044444,cytoplasmic part,10634,817,744.31,0.25162,1
GO:0000792,heterochromatin,13,2,0.91,0.25961,1
GO:0000139,Golgi membrane,62,7,4.34,0.26387,1
GO:0044437,vacuolar part,260,23,18.2,0.26643,1
GO:0019773,proteasome core complex, alpha-subunit c...,24,3,1.68,0.27190,1
GO:0042719,mitochondrial intermembrane space protei...,5,1,0.35,0.27582,1
GO:0044445,cytosolic part,685,57,47.95,0.27878,1
GO:0012510,trans-Golgi network transport vesicle me...,22,2,1.54,0.28064,1
GO:0009521,photosystem,81,8,5.67,0.28330,1
GO:0033178,proton-transporting two-sector ATPase co...,60,6,4.2,0.28546,1
GO:0000791,euchromatin,14,2,0.98,0.29022,1
GO:0010319,stromule,96,10,6.72,0.29057,1
GO:0009507,chloroplast,5340,426,373.77,0.29125,1
GO:0000164,protein phosphatase type 1 complex,14,2,0.98,0.29198,1
GO:0070069,cytochrome complex,43,5,3.01,0.29469,1
GO:0031227,intrinsic component of endoplasmic retic...,41,4,2.87,0.29986,1
GO:0044431,Golgi apparatus part,217,19,15.19,0.30668,1
GO:0098803,respiratory chain complex,148,13,10.36,0.30867,1
GO:0005737,cytoplasm,11533,882,807.24,0.31142,1
GO:0019867,outer membrane,123,11,8.61,0.31405,1
GO:0015934,large ribosomal subunit,302,24,21.14,0.31500,1
GO:0000814,ESCRT II complex,5,1,0.35,0.31977,1
GO:0030964,NADH dehydrogenase complex,100,9,7,0.32380,1
GO:0005815,microtubule organizing center,18,2,1.26,0.32472,1
GO:0008278,cohesin complex,14,2,0.98,0.32586,1
GO:0031984,organelle subcompartment,659,53,46.13,0.32782,1
GO:0010330,cellulose synthase complex,5,1,0.35,0.33025,1
GO:0010169,thioglucosidase complex,5,1,0.35,0.33120,1
GO:0005850,eukaryotic translation initiation factor...,5,1,0.35,0.33188,1
GO:0005834,heterotrimeric G-protein complex,111,10,7.77,0.33220,1
GO:0031312,extrinsic component of organelle membran...,15,2,1.05,0.34087,1
GO:0009706,chloroplast inner membrane,65,6,4.55,0.34630,1
GO:0031234,extrinsic component of cytoplasmic side ...,113,10,7.91,0.35304,1
GO:0030136,clathrin-coated vesicle,68,4,4.76,0.35456,1
GO:0044429,mitochondrial part,489,40,34.23,0.35698,1
GO:0010007,magnesium chelatase complex,5,1,0.35,0.35753,1
GO:0022626,cytosolic ribosome,635,53,44.45,0.35811,1
GO:1905369,endopeptidase complex,125,14,8.75,0.35845,1
GO:0098805,whole membrane,476,38,33.32,0.36113,1
GO:0009570,chloroplast stroma,895,79,62.64,0.36147,1
GO:0005945,6-phosphofructokinase complex,26,3,1.82,0.36269,1
GO:0005747,mitochondrial respiratory chain complex ...,67,6,4.69,0.36346,1
GO:0000781,chromosome, telomeric region,9,1,0.63,0.36364,1
GO:0017119,Golgi transport complex,16,2,1.12,0.36594,1
GO:0009654,photosystem II oxygen evolving complex,28,3,1.96,0.36858,1
GO:0009368,endopeptidase Clp complex,17,2,1.19,0.37270,1
GO:0005746,mitochondrial respiratory chain,119,10,8.33,0.37342,1
GO:0036464,cytoplasmic ribonucleoprotein granule,17,2,1.19,0.37743,1
