GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0019137,thioglucosidase activity,17,9,1.2,5.9e-06,0.0077408
GO:0008237,metallopeptidase activity,135,20,9.49,0.00015,0.07872
GO:0046906,tetrapyrrole binding,626,67,44.02,0.00018,0.07872
GO:0005506,iron ion binding,620,64,43.59,0.00036,0.11808
GO:0015926,glucosidase activity,39,11,2.74,0.00060,0.148693333333333
GO:0046556,alpha-L-arabinofuranosidase activity,13,6,0.91,0.00068,0.148693333333333
GO:0016491,oxidoreductase activity,2703,243,190.06,0.00084,0.15744
GO:0003824,catalytic activity,15704,1177,1104.2,0.00218,0.35752
GO:0016838,carbon-oxygen lyase activity, acting on ...,57,14,4.01,0.00267,0.385728
GO:0016835,carbon-oxygen lyase activity,278,34,19.55,0.00294,0.385728
GO:0005200,structural constituent of cytoskeleton,68,12,4.78,0.00454,0.541498181818182
GO:0009055,electron carrier activity,830,78,58.36,0.00573,0.61664
GO:0016713,oxidoreductase activity, acting on paire...,20,6,1.41,0.00611,0.61664
GO:0016798,hydrolase activity, acting on glycosyl b...,652,63,45.84,0.00692,0.648502857142857
GO:0019825,oxygen binding,379,39,26.65,0.00966,0.750821818181818
GO:0016796,exonuclease activity, active with either...,26,4,1.83,0.00995,0.750821818181818
GO:0016645,oxidoreductase activity, acting on the C...,49,10,3.45,0.01011,0.750821818181818
GO:0016860,intramolecular oxidoreductase activity,85,12,5.98,0.01131,0.750821818181818
GO:0008061,chitin binding,28,6,1.97,0.01166,0.750821818181818
GO:0000049,tRNA binding,20,5,1.41,0.01192,0.750821818181818
GO:0004020,adenylylsulfate kinase activity,8,3,0.56,0.01236,0.750821818181818
GO:0004177,aminopeptidase activity,44,9,3.09,0.01259,0.750821818181818
GO:0016646,oxidoreductase activity, acting on the C...,27,9,1.9,0.01357,0.77408
GO:0009678,hydrogen-translocating pyrophosphatase a...,14,4,0.98,0.01470,0.7929728
GO:0030755,quercetin 3-O-methyltransferase activity,13,4,0.91,0.01511,0.7929728
GO:0016758,transferase activity, transferring hexos...,707,60,49.71,0.01689,0.822940689655172
GO:0033799,myricetin 3'-O-methyltransferase activit...,13,4,0.91,0.01732,0.822940689655172
GO:0022832,voltage-gated channel activity,56,6,3.94,0.01797,0.822940689655172
GO:0098772,molecular function regulator,549,52,38.6,0.01819,0.822940689655172
GO:0005253,anion channel activity,28,5,1.97,0.02085,0.887504516129032
GO:0008081,phosphoric diester hydrolase activity,117,15,8.23,0.02097,0.887504516129032
