GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0010438,cellular response to sulfur starvation,17,8,0.8,5.8e-07,0.00281126
GO:0006790,sulfur compound metabolic process,868,73,40.91,2.2e-06,0.0053317
GO:1901135,carbohydrate derivative metabolic proces...,1642,118,77.38,8.1e-06,0.0130869
GO:0019757,glycosinolate metabolic process,327,34,15.41,1.7e-05,0.02059975
GO:0010117,photoprotection,15,7,0.71,2.5e-05,0.024235
GO:1901566,organonitrogen compound biosynthetic pro...,3117,198,146.9,3.1e-05,0.0250428333333333
GO:0009628,response to abiotic stimulus,4663,278,219.75,4.9e-05,0.033929
GO:0010467,gene expression,6305,330,297.14,6.9e-05,0.041805375
GO:0080167,response to karrikin,232,28,10.93,0.00022,0.118482222222222
GO:0006518,peptide metabolic process,1468,103,69.18,0.00031,0.150257
GO:0042866,pyruvate biosynthetic process,131,13,6.17,0.00037,0.155104
GO:0010035,response to inorganic substance,2197,142,103.54,0.00043,0.155104
GO:0006979,response to oxidative stress,913,67,43.03,0.00045,0.155104
GO:0034641,cellular nitrogen compound metabolic pro...,8877,472,418.35,0.00046,0.155104
GO:1990748,cellular detoxification,50,9,2.36,0.00048,0.155104
GO:0046185,aldehyde catabolic process,23,6,1.08,0.00052,0.1575275
GO:0010439,regulation of glucosinolate biosynthetic...,31,7,1.46,0.00075,0.206635263157895
GO:0044281,small molecule metabolic process,3797,220,178.94,0.00078,0.206635263157895
GO:0045839,negative regulation of mitotic nuclear d...,55,7,2.59,0.00081,0.206635263157895
GO:0097237,cellular response to toxic substance,90,12,4.24,0.00093,0.21205625
GO:0051186,cofactor metabolic process,1209,82,56.98,0.00097,0.21205625
GO:0010200,response to chitin,302,31,14.23,0.00103,0.21205625
GO:0010731,protein glutathionylation,6,3,0.28,0.00104,0.21205625
GO:1901700,response to oxygen-containing compound,3957,231,186.48,0.00105,0.21205625
GO:0060567,negative regulation of DNA-templated tra...,5,3,0.24,0.00120,0.232656
GO:0006839,mitochondrial transport,160,17,7.54,0.00139,0.240734333333333
GO:0019758,glycosinolate biosynthetic process,123,17,5.8,0.00146,0.240734333333333
GO:0010411,xyloglucan metabolic process,105,12,4.95,0.00148,0.240734333333333
GO:0001932,regulation of protein phosphorylation,299,19,14.09,0.00148,0.240734333333333
GO:0043603,cellular amide metabolic process,1764,120,83.13,0.00149,0.240734333333333
GO:0044042,glucan metabolic process,462,25,21.77,0.00160,0.245379375
GO:0009408,response to heat,550,43,25.92,0.00162,0.245379375
GO:0099132,ATP hydrolysis coupled cation transmembr...,89,11,4.19,0.00171,0.248052352941176
GO:0031554,regulation of DNA-templated transcriptio...,6,3,0.28,0.00174,0.248052352941176
GO:0006605,protein targeting,432,35,20.36,0.00185,0.256198571428571
GO:0019693,ribose phosphate metabolic process,604,46,28.46,0.00207,0.267860526315789
GO:0070084,protein initiator methionine removal,15,4,0.71,0.00210,0.267860526315789
GO:0046034,ATP metabolic process,299,28,14.09,0.00210,0.267860526315789
GO:0006099,tricarboxylic acid cycle,126,14,5.94,0.00226,0.276279
GO:0046939,nucleotide phosphorylation,138,14,6.5,0.00228,0.276279
GO:0098655,cation transmembrane transport,359,27,16.92,0.00238,0.278125476190476
GO:0006412,translation,1295,83,61.03,0.00241,0.278125476190476
GO:0070141,response to UV-A,6,3,0.28,0.00249,0.28067511627907
GO:0016572,histone phosphorylation,10,3,0.47,0.00262,0.284357333333333
GO:0006753,nucleoside phosphate metabolic process,759,51,35.77,0.00264,0.284357333333333
GO:0006091,generation of precursor metabolites and ...,608,45,28.65,0.00279,0.289788723404255
GO:0044272,sulfur compound biosynthetic process,339,31,15.98,0.00281,0.289788723404255
GO:0051784,negative regulation of nuclear division,60,7,2.83,0.00305,0.3024528
GO:0009120,deoxyribonucleoside metabolic process,10,4,0.47,0.00307,0.3024528
GO:0051090,regulation of DNA-binding transcription ...,41,7,1.93,0.00312,0.3024528
GO:0006081,cellular aldehyde metabolic process,141,15,6.64,0.00319,0.303175098039216
GO:0044403,symbiont process,291,18,13.71,0.00337,0.308445454545455
GO:1903047,mitotic cell cycle process,555,35,26.16,0.00345,0.308445454545455
GO:0006575,cellular modified amino acid metabolic p...,245,22,11.55,0.00349,0.308445454545455
GO:0046125,pyrimidine deoxyribonucleoside metabolic...,10,4,0.47,0.00350,0.308445454545455
GO:0051726,regulation of cell cycle,493,37,23.23,0.00375,0.321432631578947
GO:0034051,negative regulation of plant-type hypers...,8,3,0.38,0.00378,0.321432631578947
GO:0042886,amide transport,1612,89,75.97,0.00397,0.331768793103448
GO:0002213,defense response to insect,59,8,2.78,0.00417,0.342576101694915
GO:0009414,response to water deprivation,853,59,40.2,0.00442,0.357062333333333
GO:0051259,protein complex oligomerization,158,17,7.45,0.00460,0.362370952380952
GO:1902183,regulation of shoot apical meristem deve...,27,4,1.27,0.00470,0.362370952380952
GO:0051817,modification of morphology or physiology...,72,8,3.39,0.00471,0.362370952380952
GO:0006875,cellular metal ion homeostasis,231,17,10.89,0.00509,0.38548796875
GO:0042493,response to drug,1444,94,68.05,0.00523,0.389997076923077
GO:0006096,glycolytic process,130,13,6.13,0.00558,0.407292686567164
GO:0044282,small molecule catabolic process,494,37,23.28,0.00563,0.407292686567164
GO:0009625,response to insect,110,12,5.18,0.00598,0.426250882352941
GO:0051707,response to other organism,2854,138,134.5,0.00611,0.429205362318841
GO:1902600,proton transmembrane transport,201,19,9.47,0.00620,0.429305714285714
GO:0010499,proteasomal ubiquitin-independent protei...,60,6,2.83,0.00631,0.430768591549296
GO:0080056,petal vascular tissue pattern formation,17,3,0.8,0.00672,0.446055
GO:0080057,sepal vascular tissue pattern formation,17,3,0.8,0.00672,0.446055
GO:0072329,monocarboxylic acid catabolic process,152,14,7.16,0.00681,0.446055
GO:0009058,biosynthetic process,9149,474,431.17,0.00724,0.467897066666667
GO:0080151,positive regulation of salicylic acid me...,16,4,0.75,0.00737,0.470031447368421
GO:1900864,mitochondrial RNA modification,67,7,3.16,0.00747,0.470221948051948
GO:0052305,positive regulation by organism of innat...,25,4,1.18,0.00773,0.474269746835443
GO:0055086,nucleobase-containing small molecule met...,975,67,45.95,0.00773,0.474269746835443
GO:0044249,cellular biosynthetic process,8588,449,404.73,0.00802,0.481708024691358
GO:0006353,DNA-templated transcription, termination,49,7,2.31,0.00805,0.481708024691358
GO:0006749,glutathione metabolic process,110,15,5.18,0.00840,0.493459638554217
GO:2001040,positive regulation of cellular response...,17,4,0.8,0.00845,0.493459638554217
GO:0019477,L-lysine catabolic process,10,3,0.47,0.00864,0.494964235294118
GO:0110096,cellular response to aldehyde,17,4,0.8,0.00868,0.494964235294118
GO:0034220,ion transmembrane transport,645,39,30.4,0.00907,0.510884942528736
GO:0010410,hemicellulose metabolic process,205,14,9.66,0.00917,0.510884942528736
GO:0090662,ATP hydrolysis coupled transmembrane tra...,86,11,4.05,0.00932,0.513341363636364
GO:0051091,positive regulation of DNA-binding trans...,17,4,0.8,0.00951,0.517921011235955
GO:0072350,tricarboxylic acid metabolic process,139,14,6.55,0.00987,0.531554333333333
GO:0052510,positive regulation by organism of defen...,25,4,1.18,0.01009,0.534750543478261
GO:0010440,stomatal lineage progression,52,6,2.45,0.01015,0.534750543478261
GO:0052555,positive regulation by organism of immun...,28,4,1.32,0.01058,0.534999056603774
GO:0072490,toluene-containing compound metabolic pr...,6,2,0.28,0.01060,0.534999056603774
GO:0052173,response to defenses of other organism i...,29,5,1.37,0.01061,0.534999056603774
GO:0075136,response to host,29,5,1.37,0.01100,0.534999056603774
GO:0015713,phosphoglycerate transmembrane transport,6,2,0.28,0.01107,0.534999056603774
GO:0072521,purine-containing compound metabolic pro...,570,41,26.86,0.01117,0.534999056603774
GO:0042542,response to hydrogen peroxide,181,18,8.53,0.01124,0.534999056603774
GO:0071483,cellular response to blue light,43,7,2.03,0.01127,0.534999056603774
GO:1990067,intrachromosomal DNA recombination,6,2,0.28,0.01132,0.534999056603774
GO:0015717,triose phosphate transport,6,2,0.28,0.01134,0.534999056603774
GO:0046292,formaldehyde metabolic process,16,4,0.75,0.01157,0.534999056603774
GO:0016144,S-glycoside biosynthetic process,123,17,5.8,0.01163,0.534999056603774
GO:0071715,icosanoid transport,5,2,0.24,0.01167,0.534999056603774
GO:0065009,regulation of molecular function,752,49,35.44,0.01170,0.534999056603774
GO:0071492,cellular response to UV-A,6,3,0.28,0.01240,0.560546574074074
GO:0043549,regulation of kinase activity,247,19,11.64,0.01249,0.560546574074074
GO:0070129,regulation of mitochondrial translation,11,3,0.52,0.01272,0.565336454545455
GO:0010444,guard mother cell differentiation,34,5,1.6,0.01283,0.565336454545455
GO:0009409,response to cold,955,62,45.01,0.01324,0.568574173913043
GO:0051701,interaction with host,105,9,4.95,0.01333,0.568574173913043
GO:1901137,carbohydrate derivative biosynthetic pro...,993,69,46.8,0.01338,0.568574173913043
GO:0006082,organic acid metabolic process,2580,147,121.59,0.01344,0.568574173913043
GO:0072594,establishment of protein localization to...,482,36,22.72,0.01349,0.568574173913043
GO:0035436,triose phosphate transmembrane transport,6,2,0.28,0.01436,0.59696811965812
GO:0030150,protein import into mitochondrial matrix,37,7,1.74,0.01441,0.59696811965812
GO:0043933,protein-containing complex subunit organ...,1326,76,62.49,0.01469,0.600624083333333
GO:0005997,xylulose metabolic process,6,3,0.28,0.01484,0.600624083333333
GO:0071900,regulation of protein serine/threonine k...,160,17,7.54,0.01487,0.600624083333333
GO:0010929,positive regulation of auxin mediated si...,24,4,1.13,0.01524,0.610481652892562
GO:0006807,nitrogen compound metabolic process,13978,697,658.75,0.01550,0.61580737704918
GO:0019637,organophosphate metabolic process,1243,77,58.58,0.01589,0.62506912
GO:1902182,shoot apical meristem development,39,4,1.84,0.01603,0.62506912
GO:0017144,drug metabolic process,1687,100,79.5,0.01612,0.62506912
GO:2001025,positive regulation of response to drug,17,4,0.8,0.01642,0.63164873015873
GO:1904029,regulation of cyclin-dependent protein k...,117,14,5.51,0.01679,0.640796299212598
GO:0034599,cellular response to oxidative stress,212,18,9.99,0.01742,0.65268
GO:0045859,regulation of protein kinase activity,245,19,11.55,0.01747,0.65268
GO:0046434,organophosphate catabolic process,198,17,9.33,0.01760,0.65268
GO:0018196,peptidyl-asparagine modification,16,3,0.75,0.01764,0.65268
GO:0005998,xylulose catabolic process,5,3,0.24,0.01786,0.655813787878788
GO:0046440,L-lysine metabolic process,10,3,0.47,0.01813,0.656515298507463
GO:0048284,organelle fusion,168,14,7.92,0.01815,0.656515298507463
GO:1901657,glycosyl compound metabolic process,505,47,23.8,0.01872,0.663477028985507
GO:1901576,organic substance biosynthetic process,8891,462,419.01,0.01874,0.663477028985507
GO:0016107,sesquiterpenoid catabolic process,11,2,0.52,0.01876,0.663477028985507
GO:0043069,negative regulation of programmed cell d...,56,6,2.64,0.01889,0.663477028985507
GO:0030643,cellular phosphate ion homeostasis,6,2,0.28,0.01923,0.665770071428571
GO:0072502,cellular trivalent inorganic anion homeo...,6,2,0.28,0.01923,0.665770071428571
GO:0042762,regulation of sulfur metabolic process,74,9,3.49,0.01955,0.666377762237762
GO:0042325,regulation of phosphorylation,319,20,15.03,0.01962,0.666377762237762
GO:0017038,protein import,242,21,11.4,0.01966,0.666377762237762
GO:0007088,regulation of mitotic nuclear division,91,8,4.29,0.01984,0.667808888888889
GO:2000031,regulation of salicylic acid mediated si...,68,7,3.2,0.02002,0.669220275862069
GO:0009298,GDP-mannose biosynthetic process,21,4,0.99,0.02040,0.671375
GO:0030154,cell differentiation,1702,68,80.21,0.02048,0.671375
GO:1901998,toxin transport,5,2,0.24,0.02050,0.671375
