GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0044699,single-organism process,13521,1400,1144.79,1.1e-21,3.0525e-18
GO:0008152,metabolic process,17214,1713,1457.47,2.8e-20,3.885e-17
GO:0050896,response to stimulus,8683,940,735.17,2.6e-18,2.405e-15
GO:0009987,cellular process,17514,1708,1482.87,4.0e-16,2.775e-13
GO:0032502,developmental process,4112,472,348.15,1.3e-12,7.215e-10
GO:0032501,multicellular organismal process,3767,432,318.94,1.6e-11,7.4e-09
GO:0019759,glycosinolate catabolic process,35,17,2.96,1.4e-08,5.55e-06
GO:0051179,localization,3443,379,291.51,3.9e-08,1.3528125e-05
GO:0044710,single-organism metabolic process,5875,669,497.42,2.2e-07,6.78333333333333e-05
GO:0051704,multi-organism process,1824,212,154.43,1.3e-06,0.00036075
GO:0006473,protein acetylation,18,9,1.52,1.7e-06,0.000428863636363636
GO:0010166,wax metabolic process,39,15,3.3,2.2e-06,0.00050875
GO:0010025,wax biosynthetic process,36,14,3.05,3.1e-06,0.000661730769230769
GO:0044273,sulfur compound catabolic process,52,18,4.4,7.3e-06,0.00144696428571429
GO:0051051,negative regulation of transport,5,5,0.42,1.6e-05,0.002775
GO:0008299,isoprenoid biosynthetic process,181,36,15.32,1.7e-05,0.002775
GO:0032410,negative regulation of transporter activ...,5,5,0.42,1.7e-05,0.002775
GO:0022414,reproductive process,2494,269,211.16,1.9e-05,0.00292105263157895
GO:0034763,negative regulation of transmembrane tra...,5,5,0.42,2.0e-05,0.00292105263157895
GO:0010014,meristem initiation,55,18,4.66,2.3e-05,0.00315340909090909
GO:0000003,reproduction,2502,269,211.84,2.4e-05,0.00315340909090909
GO:0043271,negative regulation of ion transport,5,5,0.42,2.5e-05,0.00315340909090909
GO:0009833,plant-type primary cell wall biogenesis,12,6,1.02,2.8e-05,0.00337826086956522
GO:0034766,negative regulation of ion transmembrane...,5,5,0.42,4.0e-05,0.00448269230769231
GO:0000281,mitotic cytokinesis,75,12,6.35,4.2e-05,0.00448269230769231
GO:1903792,negative regulation of anion transport,5,5,0.42,4.2e-05,0.00448269230769231
GO:0048511,rhythmic process,164,30,13.89,4.7e-05,0.00483055555555555
GO:0019762,glucosinolate catabolic process,35,17,2.96,5.2e-05,0.00515357142857143
GO:0009628,response to abiotic stimulus,3099,387,262.39,0.00013,0.0124396551724138
GO:0007033,vacuole organization,34,11,2.88,0.00019,0.017575
GO:0015995,chlorophyll biosynthetic process,69,18,5.84,0.00020,0.0179032258064516
GO:0044711,single-organism biosynthetic process,2240,269,189.66,0.00034,0.029484375
GO:0019757,glycosinolate metabolic process,116,27,9.82,0.00043,0.0361590909090909
GO:0010119,regulation of stomatal movement,90,19,7.62,0.00047,0.0383602941176471
GO:0044763,single-organism cellular process,8822,929,746.94,0.00051,0.0400833333333333
GO:0051667,establishment of plastid localization,13,7,1.1,0.00052,0.0400833333333333
GO:0010143,cutin biosynthetic process,18,7,1.52,0.00057,0.04275
GO:0010118,stomatal movement,140,28,11.85,0.00059,0.0430855263157895
GO:0010072,primary shoot apical meristem specificat...,35,11,2.96,0.00065,0.04625
GO:0006714,sesquiterpenoid metabolic process,14,8,1.19,0.00068,0.047175
GO:0044707,single-multicellular organism process,3552,418,300.74,0.00083,0.0548693181818182
GO:0006790,sulfur compound metabolic process,317,50,26.84,0.00084,0.0548693181818182
GO:0051656,establishment of organelle localization,25,9,2.12,0.00086,0.0548693181818182
GO:0032200,telomere organization,22,6,1.86,0.00087,0.0548693181818182
GO:0032413,negative regulation of ion transmembrane...,5,5,0.42,0.00097,0.056078125
GO:1903960,negative regulation of anion transmembra...,5,5,0.42,0.00097,0.056078125
GO:0010360,negative regulation of anion channel act...,5,5,0.42,0.00097,0.056078125
GO:0010361,regulation of anion channel activity by ...,5,5,0.42,0.00097,0.056078125
GO:0010501,RNA secondary structure unwinding,6,4,0.51,0.00104,0.0588979591836735
GO:0040007,growth,728,86,61.64,0.00109,0.060495
GO:0009414,response to water deprivation,454,71,38.44,0.00112,0.0609411764705882
GO:0009956,radial pattern formation,24,9,2.03,0.00123,0.0656394230769231
GO:0043623,cellular protein complex assembly,255,29,21.59,0.00131,0.0676090909090909
GO:0048519,negative regulation of biological proces...,574,70,48.6,0.00134,0.0676090909090909
GO:0006082,organic acid metabolic process,1639,196,138.77,0.00134,0.0676090909090909
GO:0051307,meiotic chromosome separation,10,4,0.85,0.00137,0.0676710526315789
GO:0006754,ATP biosynthetic process,203,34,17.19,0.00139,0.0676710526315789
GO:0009902,chloroplast relocation,13,7,1.1,0.00150,0.0717672413793103
GO:0015988,energy coupled proton transmembrane tran...,78,14,6.6,0.00153,0.0719618644067797
GO:0071840,cellular component organization or bioge...,2919,291,247.14,0.00168,0.0777
GO:0009415,response to water,462,72,39.12,0.00172,0.0782459016393443
GO:0043436,oxoacid metabolic process,1394,180,118.03,0.00192,0.0859354838709677
GO:0033692,cellular polysaccharide biosynthetic pro...,205,31,17.36,0.00204,0.0888
GO:0044767,single-organism developmental process,3998,462,338.5,0.00206,0.0888
GO:0033014,tetrapyrrole biosynthetic process,105,20,8.89,0.00208,0.0888
GO:0044264,cellular polysaccharide metabolic proces...,308,45,26.08,0.00220,0.0925
GO:0000059,protein import into nucleus, docking,38,10,3.22,0.00241,0.0998171641791045
GO:0046777,protein autophosphorylation,53,13,4.49,0.00266,0.108551470588235
GO:0006720,isoprenoid metabolic process,212,39,17.95,0.00270,0.108586956521739
GO:0046490,isopentenyl diphosphate metabolic proces...,18,6,1.52,0.00275,0.109017857142857
GO:0009605,response to external stimulus,1625,208,137.58,0.00297,0.116080985915493
GO:0032409,regulation of transporter activity,17,6,1.44,0.00315,0.120123287671233
GO:0040029,regulation of gene expression, epigeneti...,169,27,14.31,0.00316,0.120123287671233
GO:0000271,polysaccharide biosynthetic process,210,31,17.78,0.00379,0.142125
GO:0048508,embryonic meristem development,55,14,4.66,0.00408,0.150434210526316
GO:0009607,response to biotic stimulus,1291,168,109.31,0.00412,0.150434210526316
GO:0019288,isopentenyl diphosphate biosynthetic pro...,15,6,1.27,0.00419,0.151003246753247
GO:0006468,protein phosphorylation,2140,227,181.19,0.00457,0.161231012658228
GO:0065007,biological regulation,6671,620,564.82,0.00459,0.161231012658228
GO:0006779,porphyrin-containing compound biosynthet...,97,20,8.21,0.00476,0.1651125
GO:0003333,amino acid transmembrane transport,27,8,2.29,0.00501,0.171638888888889
GO:0043044,ATP-dependent chromatin remodeling,11,5,0.93,0.00537,0.181728658536585
GO:0044237,cellular metabolic process,13008,1307,1101.36,0.00553,0.184888554216867
GO:0051984,positive regulation of chromosome segreg...,7,3,0.59,0.00571,0.187541208791209
GO:0033013,tetrapyrrole metabolic process,135,23,11.43,0.00595,0.187541208791209
GO:0016106,sesquiterpenoid biosynthetic process,13,7,1.1,0.00596,0.187541208791209
GO:0044255,cellular lipid metabolic process,769,97,65.11,0.00604,0.187541208791209
GO:0010091,trichome branching,55,11,4.66,0.00608,0.187541208791209
GO:0050826,response to freezing,31,10,2.62,0.00611,0.187541208791209
GO:0050789,regulation of biological process,6115,569,517.74,0.00612,0.187541208791209
GO:2001252,positive regulation of chromosome organi...,7,3,0.59,0.00615,0.187541208791209
GO:0006081,cellular aldehyde metabolic process,91,17,7.7,0.00624,0.188217391304348
GO:0015914,phospholipid transport,22,7,1.86,0.00679,0.202604838709677
GO:0010155,regulation of proton transport,13,6,1.1,0.00698,0.206058510638298
GO:0051301,cell division,249,39,21.08,0.00711,0.207686842105263
GO:0006778,porphyrin-containing compound metabolic ...,133,23,11.26,0.00743,0.2147734375
GO:0015672,monovalent inorganic cation transport,268,44,22.69,0.00773,0.22114175257732
GO:1903825,organic acid transmembrane transport,27,8,2.29,0.00782,0.221433673469388
GO:0006022,aminoglycan metabolic process,31,8,2.62,0.00797,0.2217225
GO:0051347,positive regulation of transferase activ...,7,2,0.59,0.00799,0.2217225
GO:2000069,regulation of post-embryonic root develo...,12,5,1.02,0.00832,0.228594059405941
GO:1901136,carbohydrate derivative catabolic proces...,64,14,5.42,0.00842,0.229073529411765
GO:0032392,DNA geometric change,27,6,2.29,0.00878,0.233670560747664
GO:0034762,regulation of transmembrane transport,17,6,1.44,0.00888,0.233670560747664
GO:1900911,regulation of olefin biosynthetic proces...,10,4,0.85,0.00899,0.233670560747664
GO:0009124,nucleoside monophosphate biosynthetic pr...,240,37,20.32,0.00900,0.233670560747664
GO:0010364,regulation of ethylene biosynthetic proc...,10,4,0.85,0.00901,0.233670560747664
GO:0006629,lipid metabolic process,1226,147,103.8,0.00922,0.234140625
GO:0031335,regulation of sulfur amino acid metaboli...,10,4,0.85,0.00926,0.234140625
GO:0044042,glucan metabolic process,263,42,22.27,0.00944,0.234140625
GO:0009409,response to cold,638,89,54.02,0.00945,0.234140625
GO:0005976,polysaccharide metabolic process,328,45,27.77,0.00945,0.234140625
GO:0042546,cell wall biogenesis,175,23,14.82,0.00977,0.239926991150442
GO:0005975,carbohydrate metabolic process,1421,168,120.31,0.01019,0.248046052631579
GO:0010152,pollen maturation,26,8,2.2,0.01101,0.265676086956522
GO:0046466,membrane lipid catabolic process,9,4,0.76,0.01127,0.267538461538462
GO:0009799,specification of symmetry,15,6,1.27,0.01128,0.267538461538462
GO:1900908,regulation of olefin metabolic process,10,4,0.85,0.01154,0.271385593220339
GO:0051640,organelle localization,42,11,3.56,0.01269,0.2946125
GO:0009791,post-embryonic development,2173,277,183.98,0.01274,0.2946125
GO:1901401,regulation of tetrapyrrole metabolic pro...,28,7,2.37,0.01306,0.29951652892562
GO:0060249,anatomical structure homeostasis,22,6,1.86,0.01383,0.314575819672131
GO:0003006,developmental process involved in reprod...,1996,240,169,0.01405,0.316981707317073
GO:0007131,reciprocal meiotic recombination,36,5,3.05,0.01494,0.33189
GO:0009066,aspartate family amino acid metabolic pr...,104,16,8.81,0.01495,0.33189
GO:0010629,negative regulation of gene expression,162,24,13.72,0.01545,0.339287109375
GO:0098656,anion transmembrane transport,17,6,1.44,0.01557,0.339287109375
GO:0000723,telomere maintenance,22,6,1.86,0.01565,0.339287109375
GO:0033044,regulation of chromosome organization,26,5,2.2,0.01591,0.34225
GO:0009142,nucleoside triphosphate biosynthetic pro...,220,34,18.63,0.01630,0.347942307692308
GO:0009163,nucleoside biosynthetic process,243,34,20.57,0.01657,0.35100572519084
GO:0016192,vesicle-mediated transport,441,62,37.34,0.01745,0.366846590909091
GO:0000096,sulfur amino acid metabolic process,10,4,0.85,0.01778,0.370822222222222
GO:0051649,establishment of localization in cell,699,93,59.18,0.01799,0.370822222222222
GO:0009057,macromolecule catabolic process,652,78,55.2,0.01804,0.370822222222222
GO:0007063,regulation of sister chromatid cohesion,7,3,0.59,0.01872,0.380054347826087
GO:0009168,purine ribonucleoside monophosphate bios...,225,35,19.05,0.01882,0.380054347826087
