GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0008144,drug binding,4984,604,492.47,5.4e-08,8.6346e-05
GO:1901265,nucleoside phosphate binding,6614,759,653.53,7.7e-07,0.000615615
GO:0036094,small molecule binding,7288,829,720.13,4.5e-06,0.0023985
GO:0097367,carbohydrate derivative binding,5360,626,529.62,6.0e-06,0.0023985
GO:0001012,RNA polymerase II regulatory region DNA ...,150,30,14.82,1.4e-05,0.0044772
GO:0019137,thioglucosidase activity,15,9,1.48,2.9e-05,0.0077285
GO:0016984,ribulose-bisphosphate carboxylase activi...,14,8,1.38,4.4e-05,0.0100508571428571
GO:0004133,glycogen debranching enzyme activity,6,5,0.59,6.8e-05,0.0115128
GO:0004672,protein kinase activity,2231,248,220.45,7.2e-05,0.0115128
GO:0001227,DNA-binding transcription repressor acti...,7,5,0.69,7.2e-05,0.0115128
GO:0000977,RNA polymerase II regulatory region sequ...,150,30,14.82,8.5e-05,0.0123
GO:0015370,solute:sodium symporter activity,15,8,1.48,0.00010,0.0123
GO:0003824,catalytic activity,16653,1740,1645.49,0.00010,0.0123
GO:0004175,endopeptidase activity,509,53,50.29,0.00014,0.01599
GO:0016817,hydrolase activity, acting on acid anhyd...,1584,201,156.52,0.00018,0.019188
GO:0003712,transcription coregulator activity,127,24,12.55,0.00029,0.028981875
GO:0016775,phosphotransferase activity, nitrogenous...,33,11,3.26,0.00048,0.0451482352941176
GO:0004673,protein histidine kinase activity,33,11,3.26,0.00053,0.0470816666666667
GO:0043168,anion binding,6133,695,606.01,0.00067,0.0563857894736842
GO:0035251,UDP-glucosyltransferase activity,224,42,22.13,0.00129,0.100300909090909
GO:0019783,ubiquitin-like protein-specific protease...,84,9,8.3,0.00133,0.100300909090909
GO:0032559,adenyl ribonucleotide binding,4736,571,467.97,0.00138,0.100300909090909
GO:0030554,adenyl nucleotide binding,4742,571,468.56,0.00172,0.1159275
GO:0008237,metallopeptidase activity,136,19,13.44,0.00174,0.1159275
GO:0005524,ATP binding,4410,541,435.75,0.00182,0.1159275
GO:0009881,photoreceptor activity,20,7,1.98,0.00194,0.1159275
GO:0046527,glucosyltransferase activity,295,48,29.15,0.00199,0.1159275
GO:0003723,RNA binding,1925,214,190.21,0.00203,0.1159275
GO:0010334,sesquiterpene synthase activity,10,7,0.99,0.00213,0.117443793103448
GO:0016829,lyase activity,702,97,69.37,0.00241,0.128453
GO:0000982,transcription factor activity, RNA polym...,19,6,1.88,0.00345,0.177953225806452
GO:0016701,oxidoreductase activity, acting on singl...,74,16,7.31,0.00399,0.198934411764706
GO:0060090,molecular adaptor activity,27,8,2.67,0.00411,0.198934411764706
GO:0008194,UDP-glycosyltransferase activity,437,62,43.18,0.00423,0.198934411764706
GO:0009975,cyclase activity,27,8,2.67,0.00503,0.225636666666667
GO:0016798,hydrolase activity, acting on glycosyl b...,723,95,71.44,0.00508,0.225636666666667
GO:0008236,serine-type peptidase activity,292,31,28.85,0.00606,0.26189027027027
GO:0008536,Ran GTPase binding,66,16,6.52,0.00699,0.294131842105263
GO:0016760,cellulose synthase (UDP-forming) activit...,51,16,5.04,0.00722,0.29602
GO:0008238,exopeptidase activity,177,21,17.49,0.00771,0.30186
GO:0000049,tRNA binding,33,9,3.26,0.00774,0.30186
GO:0015081,sodium ion transmembrane transporter act...,70,15,6.92,0.00847,0.322465
