GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0034641,cellular nitrogen compound metabolic pro...,8527,762,668.21,5.3e-08,0.000196577
GO:0034645,cellular macromolecule biosynthetic proc...,5947,511,466.03,1.3e-06,0.00241085
GO:0009116,nucleoside metabolic process,137,26,10.74,1.5e-05,0.014836
GO:0006518,peptide metabolic process,1413,149,110.73,1.6e-05,0.014836
GO:0043933,protein-containing complex subunit organ...,778,92,60.97,3.4e-05,0.0252212
GO:0051783,regulation of nuclear division,55,12,4.31,5.5e-05,0.0328511428571429
GO:0051156,glucose 6-phosphate metabolic process,54,13,4.23,6.2e-05,0.0328511428571429
GO:0034728,nucleosome organization,99,21,7.76,0.00013,0.06027125
GO:0071806,protein transmembrane transport,110,18,8.62,0.00017,0.0700588888888889
GO:0007275,multicellular organism development,3916,334,306.87,0.00019,0.070471
GO:0006412,translation,1264,132,99.05,0.00022,0.07418
GO:0019827,stem cell population maintenance,76,16,5.96,0.00030,0.0884453846153846
GO:0098727,maintenance of cell number,76,16,5.96,0.00031,0.0884453846153846
GO:1900424,regulation of defense response to bacter...,39,10,3.06,0.00035,0.089016
GO:0065003,protein-containing complex assembly,692,86,54.23,0.00036,0.089016
GO:0006753,nucleoside phosphate metabolic process,617,64,48.35,0.00042,0.09736125
GO:0006139,nucleobase-containing compound metabolic...,6941,597,543.93,0.00048,0.104724705882353
GO:0031497,chromatin assembly,100,21,7.84,0.00051,0.105088333333333
GO:0019693,ribose phosphate metabolic process,475,52,37.22,0.00054,0.105413684210526
GO:1903321,negative regulation of protein modificat...,7,4,0.55,0.00075,0.13445125
GO:0009157,deoxyribonucleoside monophosphate biosyn...,13,6,1.02,0.00077,0.13445125
GO:0019682,glyceraldehyde-3-phosphate metabolic pro...,69,13,5.41,0.00081,0.13445125
GO:0051438,regulation of ubiquitin-protein transfer...,15,5,1.18,0.00084,0.13445125
GO:1900864,mitochondrial RNA modification,47,13,3.68,0.00087,0.13445125
GO:0033048,negative regulation of mitotic sister ch...,15,5,1.18,0.00095,0.140942
GO:0009451,RNA modification,350,42,27.43,0.00108,0.145710714285714
GO:0031397,negative regulation of protein ubiquitin...,7,4,0.55,0.00110,0.145710714285714
GO:0006333,chromatin assembly or disassembly,119,22,9.33,0.00110,0.145710714285714
GO:0033046,negative regulation of sister chromatid ...,15,5,1.18,0.00121,0.151632647058824
GO:0006098,pentose-phosphate shunt,53,13,4.15,0.00125,0.151632647058824
GO:0044085,cellular component biogenesis,1676,166,131.34,0.00132,0.151632647058824
GO:0051726,regulation of cell cycle,321,40,25.15,0.00136,0.151632647058824
GO:0009162,deoxyribonucleoside monophosphate metabo...,13,6,1.02,0.00136,0.151632647058824
GO:0010467,gene expression,6379,552,499.89,0.00139,0.151632647058824
GO:0072594,establishment of protein localization to...,275,29,21.55,0.00163,0.172733428571429
GO:0022613,ribonucleoprotein complex biogenesis,570,74,44.67,0.00188,0.18945972972973
GO:0000959,mitochondrial RNA metabolic process,64,13,5.02,0.00189,0.18945972972973
GO:1901657,glycosyl compound metabolic process,326,47,25.55,0.00196,0.191306315789474
GO:1901135,carbohydrate derivative metabolic proces...,1172,118,91.84,0.00207,0.196862307692308
GO:0045490,pectin catabolic process,173,19,13.56,0.00216,0.200286
GO:0010073,meristem maintenance,162,24,12.7,0.00255,0.230681707317073
GO:0015918,sterol transport,5,3,0.39,0.00263,0.232254047619048
GO:1903320,regulation of protein modification by sm...,16,5,1.25,0.00279,0.238556136363636
GO:0006119,oxidative phosphorylation,48,9,3.76,0.00283,0.238556136363636
GO:0070407,oxidation-dependent protein catabolic pr...,9,4,0.71,0.00300,0.247266666666667
GO:0022607,cellular component assembly,996,104,78.05,0.00342,0.273045531914894
GO:0044092,negative regulation of molecular functio...,316,32,24.76,0.00346,0.273045531914894
GO:0051784,negative regulation of nuclear division,22,6,1.72,0.00358,0.276629583333333
