GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0009536,plastid,5071,418,317.51,1.9e-08,1.2521e-05
GO:0005737,cytoplasm,16064,1149,1005.82,1.0e-07,3.295e-05
GO:0044444,cytoplasmic part,13303,958,832.95,6.5e-06,0.00142783333333333
GO:0044435,plastid part,1870,169,117.09,7.4e-05,0.0114666
GO:0005622,intracellular,24198,1590,1515.12,8.7e-05,0.0114666
GO:0044424,intracellular part,23936,1574,1498.72,0.00014,0.0141214285714286
GO:0098805,whole membrane,1420,118,88.91,0.00015,0.0141214285714286
GO:0005773,vacuole,2043,169,127.92,0.00063,0.05189625
GO:0034357,photosynthetic membrane,524,50,32.81,0.00084,0.0615066666666667
GO:0046930,pore complex,16,5,1,0.00196,0.129164
GO:0042579,microbody,380,39,23.79,0.00341,0.20429
GO:0009579,thylakoid,759,69,47.52,0.00401,0.220215833333333
GO:0000815,ESCRT III complex,12,4,0.75,0.00470,0.224499333333333
GO:0016602,CCAAT-binding factor complex,21,5,1.31,0.00504,0.224499333333333
GO:0005623,cell,26652,1710,1668.78,0.00511,0.224499333333333
GO:0036452,ESCRT complex,27,5,1.69,0.00693,0.285429375
GO:0044436,thylakoid part,575,53,36,0.00827,0.314855555555556
GO:0000421,autophagosome membrane,16,5,1,0.00860,0.314855555555556
GO:0098533,ATPase dependent transmembrane transport...,5,2,0.31,0.00966,0.332136
GO:0009521,photosystem,119,16,7.45,0.01008,0.332136
GO:0044437,vacuolar part,1100,95,68.87,0.01100,0.345190476190476
GO:0098588,bounding membrane of organelle,1834,143,114.83,0.01153,0.345375909090909
GO:0044464,cell part,26602,1702,1665.65,0.01232,0.352994782608696
GO:1904949,ATPase complex,5,2,0.31,0.01724,0.473381666666667
GO:0016469,proton-transporting two-sector ATPase co...,130,15,8.14,0.01824,0.4808064
GO:0005789,endoplasmic reticulum membrane,632,51,39.57,0.01907,0.483351153846154
GO:0031090,organelle membrane,2531,179,158.47,0.02192,0.53501037037037
GO:0043190,ATP-binding cassette (ABC) transporter c...,5,2,0.31,0.03003,0.704448275862069
GO:0005774,vacuolar membrane,1095,95,68.56,0.03100,0.704448275862069
