GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0032991,protein-containing complex,3952,415,361.88,0.0012,0.49725
GO:0005802,trans-Golgi network,395,45,36.17,0.0028,0.49725
GO:0044428,nuclear part,1672,188,153.1,0.0037,0.49725
GO:0030054,cell junction,1490,166,136.44,0.0046,0.49725
GO:0009295,nucleoid,64,13,5.86,0.0048,0.49725
GO:0055044,symplast,1485,165,135.98,0.0052,0.49725
GO:0044464,cell part,27119,2533,2483.27,0.0059,0.49725
GO:0000788,nuclear nucleosome,5,3,0.46,0.0060,0.49725
GO:0005623,cell,27171,2535,2488.03,0.0085,0.60996
GO:0043226,organelle,21771,2052,1993.55,0.0092,0.60996
GO:0030137,COPI-coated vesicle,32,7,2.93,0.0126,0.663
GO:0000311,plastid large ribosomal subunit,6,3,0.55,0.0130,0.663
GO:0005681,spliceosomal complex,163,27,14.93,0.0132,0.663
GO:0120114,Sm-like protein family complex,71,14,6.5,0.0140,0.663
GO:0030126,COPI vesicle coat,26,6,2.38,0.0168,0.74256
GO:0005694,chromosome,447,59,40.93,0.0186,0.7707375
GO:0089701,U2AF,11,4,1.01,0.0205,0.7956
GO:0032301,MutSalpha complex,6,3,0.55,0.0216,0.7956
GO:0030684,preribosome,79,15,7.23,0.0228,0.7956
GO:0098797,plasma membrane protein complex,160,22,14.65,0.0254,0.84201
GO:0072686,mitotic spindle,9,3,0.82,0.0285,0.864913636363636
GO:0048475,coated membrane,110,16,10.07,0.0287,0.864913636363636
GO:0030532,small nuclear ribonucleoprotein complex,69,13,6.32,0.0306,0.882078260869565
GO:0032300,mismatch repair complex,14,4,1.28,0.0360,0.9945
GO:0000118,histone deacetylase complex,8,3,0.73,0.0456,1
GO:0034715,pICln-Sm protein complex,9,3,0.82,0.0467,1
GO:0042575,DNA polymerase complex,16,4,1.47,0.0564,1
GO:0030117,membrane coat,110,16,10.07,0.0570,1
GO:0009547,plastid ribosome,10,3,0.92,0.0585,1
GO:0043228,non-membrane-bounded organelle,2462,254,225.44,0.0594,1
GO:0005768,endosome,586,58,53.66,0.0595,1
GO:0031966,mitochondrial membrane,515,54,47.16,0.0596,1
GO:0043232,intracellular non-membrane-bounded organ...,2462,254,225.44,0.0598,1
GO:0009533,chloroplast stromal thylakoid,17,4,1.56,0.0635,1
GO:0009536,plastid,5127,509,469.48,0.0644,1
