GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0016491,oxidoreductase activity,2703,319,239.21,1.2e-07,0.00015744
GO:0019137,thioglucosidase activity,17,9,1.5,2.3e-06,0.0015088
GO:0009055,electron carrier activity,830,107,73.45,5.5e-05,0.0240533333333333
GO:0004312,fatty acid synthase activity,42,11,3.72,0.00062,0.17056
GO:0047958,glycine:2-oxoglutarate aminotransferase ...,6,4,0.53,0.00070,0.17056
GO:0005506,iron ion binding,620,75,54.87,0.00078,0.17056
GO:0015926,glucosidase activity,39,10,3.45,0.00104,0.194925714285714
GO:0045431,flavonol synthase activity,11,6,0.97,0.00134,0.21976
GO:0022891,substrate-specific transmembrane transpo...,1430,145,126.55,0.00178,0.259484444444444
GO:0019202,amino acid kinase activity,19,6,1.68,0.00229,0.279098181818182
GO:0046906,tetrapyrrole binding,626,75,55.4,0.00234,0.279098181818182
GO:0061134,peptidase regulator activity,92,18,8.14,0.00277,0.302853333333333
GO:0019206,nucleoside kinase activity,12,6,1.06,0.00544,0.548187826086956
GO:0004197,cysteine-type endopeptidase activity,85,13,7.52,0.00725,0.548187826086956
GO:0019205,nucleobase-containing compound kinase ac...,46,9,4.07,0.00732,0.548187826086956
GO:0047635,alanine-oxo-acid transaminase activity,10,4,0.88,0.00793,0.548187826086956
GO:0016984,ribulose-bisphosphate carboxylase activi...,14,5,1.24,0.00813,0.548187826086956
GO:0000049,tRNA binding,20,6,1.77,0.00817,0.548187826086956
GO:0043565,sequence-specific DNA binding,876,82,77.52,0.00898,0.548187826086956
GO:0016829,lyase activity,629,75,55.67,0.00915,0.548187826086956
GO:0030414,peptidase inhibitor activity,92,18,8.14,0.00929,0.548187826086956
GO:0019825,oxygen binding,379,46,33.54,0.00944,0.548187826086956
GO:0048037,cofactor binding,859,93,76.02,0.00961,0.548187826086956
GO:0016838,carbon-oxygen lyase activity, acting on ...,57,14,5.04,0.01208,0.660373333333333
GO:0016840,carbon-nitrogen lyase activity,52,12,4.6,0.01346,0.7063808
GO:0016209,antioxidant activity,215,29,19.03,0.01503,0.75768
GO:0016758,transferase activity, transferring hexos...,707,72,62.57,0.01587,0.75768
GO:0080030,methyl indole-3-acetate esterase activit...,12,4,1.06,0.01617,0.75768
GO:0000287,magnesium ion binding,166,23,14.69,0.01859,0.84103724137931
GO:0042625,ATPase coupled ion transmembrane transpo...,204,24,18.05,0.01970,0.861546666666667
GO:0043531,ADP binding,417,47,36.9,0.02042,0.86264
GO:0010181,FMN binding,72,12,6.37,0.02104,0.86264
GO:0004702,receptor signaling protein serine/threon...,66,10,5.84,0.02291,0.887286857142857
GO:0072341,modified amino acid binding,20,5,1.77,0.02344,0.887286857142857
GO:0016774,phosphotransferase activity, carboxyl gr...,22,5,1.95,0.02367,0.887286857142857
GO:0016860,intramolecular oxidoreductase activity,85,13,7.52,0.02476,0.902364444444444
GO:0050660,flavin adenine dinucleotide binding,252,32,22.3,0.02656,0.922436923076923
GO:0016781,phosphotransferase activity, paired acce...,9,3,0.8,0.02719,0.922436923076923
GO:0080032,methyl jasmonate esterase activity,8,3,0.71,0.02742,0.922436923076923
GO:0008453,alanine-glyoxylate transaminase activity,14,4,1.24,0.03053,0.98336
GO:0016210,naringenin-chalcone synthase activity,8,3,0.71,0.03073,0.98336
GO:0008825,cyclopropane-fatty-acyl-phospholipid syn...,10,3,0.88,0.03345,1
GO:0016411,acylglycerol O-acyltransferase activity,45,6,3.98,0.03435,1
GO:0030515,snoRNA binding,14,4,1.24,0.03627,1
GO:0050897,cobalt ion binding,97,14,8.58,0.03661,1
GO:0005057,receptor signaling protein activity,66,10,5.84,0.03680,1
GO:0016653,oxidoreductase activity, acting on NAD(P...,14,4,1.24,0.03899,1
GO:0004177,aminopeptidase activity,44,9,3.89,0.03937,1
GO:0046863,ribulose-1,5-bisphosphate carboxylase/ox...,5,2,0.44,0.04018,1
GO:0003723,RNA binding,1373,130,121.51,0.04035,1
GO:0050661,NADP binding,78,12,6.9,0.04368,1
GO:0008171,O-methyltransferase activity,74,12,6.55,0.04610,1
GO:0003697,single-stranded DNA binding,46,7,4.07,0.04997,1
GO:0004594,pantothenate kinase activity,5,2,0.44,0.05081,1
GO:0008889,glycerophosphodiester phosphodiesterase ...,35,5,3.1,0.05091,1
GO:0036094,small molecule binding,6187,558,547.54,0.05120,1
GO:0005200,structural constituent of cytoskeleton,68,11,6.02,0.05466,1
GO:0016880,acid-ammonia (or amide) ligase activity,18,4,1.59,0.05467,1
