GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0044710,single-organism metabolic process,5875,699,446.77,3.4e-23,9.435e-20
GO:0044699,single-organism process,13521,1275,1028.21,2.9e-22,4.02375e-19
GO:0050896,response to stimulus,8683,874,660.3,1.9e-21,1.7575e-18
GO:0008152,metabolic process,17214,1544,1309.05,5.0e-19,3.46875e-16
GO:0009628,response to abiotic stimulus,3099,398,235.67,1.7e-10,9.435e-08
GO:0015979,photosynthesis,272,57,20.68,2.5e-10,1.15625e-07
GO:0006082,organic acid metabolic process,1639,203,124.64,9.1e-09,3.6075e-06
GO:0010025,wax biosynthetic process,36,15,2.74,1.1e-07,3.815625e-05
GO:0006790,sulfur compound metabolic process,317,56,24.11,2.0e-07,6.16666666666667e-05
GO:0009414,response to water deprivation,454,84,34.52,4.8e-07,0.0001332
GO:0010166,wax metabolic process,39,15,2.97,5.8e-07,0.000146318181818182
GO:0065008,regulation of biological quality,928,111,70.57,1.1e-06,0.000254375
GO:0009987,cellular process,17514,1451,1331.86,3.9e-06,0.0008325
GO:0009415,response to water,462,84,35.13,4.4e-06,0.0008325
GO:0010035,response to inorganic substance,1546,205,117.57,4.5e-06,0.0008325
GO:0006091,generation of precursor metabolites and ...,470,70,35.74,4.9e-06,0.00084984375
GO:0006629,lipid metabolic process,1226,152,93.23,6.0e-06,0.000979411764705883
GO:0019757,glycosinolate metabolic process,116,32,8.82,7.8e-06,0.0012025
GO:0044272,sulfur compound biosynthetic process,156,30,11.86,1.9e-05,0.002775
GO:0072593,reactive oxygen species metabolic proces...,65,17,4.94,2.7e-05,0.00374625
GO:0009765,photosynthesis, light harvesting,61,21,4.64,3.0e-05,0.00396428571428571
GO:0010876,lipid localization,202,31,15.36,3.5e-05,0.00434347826086957
GO:0044765,single-organism transport,1247,146,94.83,3.6e-05,0.00434347826086957
GO:0009409,response to cold,638,101,48.52,5.4e-05,0.006105
GO:0019759,glycosinolate catabolic process,35,14,2.66,5.5e-05,0.006105
GO:0044273,sulfur compound catabolic process,52,16,3.95,6.2e-05,0.00661730769230769
GO:0051707,response to other organism,1236,145,93.99,7.5e-05,0.00770833333333333
GO:0010218,response to far red light,85,19,6.46,8.9e-05,0.00882053571428571
GO:0032410,negative regulation of transporter activ...,5,4,0.38,0.00012,0.0114827586206897
GO:0051704,multi-organism process,1824,181,138.71,0.00014,0.01295
GO:0031668,cellular response to extracellular stimu...,215,33,16.35,0.00015,0.0134274193548387
GO:0006814,sodium ion transport,40,13,3.04,0.00017,0.0147421875
GO:0006026,aminoglycan catabolic process,29,9,2.21,0.00022,0.0185
