GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0005576,extracellular region,799,151,60.75,1.2e-25,5.76e-23
GO:0009579,thylakoid,747,137,56.79,7.4e-18,1.776e-15
GO:0044464,cell part,24085,2039,1831.13,1.2e-16,1.44e-14
GO:0005623,cell,24085,2039,1831.13,1.2e-16,1.44e-14
GO:0044435,plastid part,1772,259,134.72,1.8e-16,1.728e-14
GO:0016020,membrane,9099,874,691.78,6.2e-16,4.96e-14
GO:0044436,thylakoid part,592,105,45.01,6.2e-13,4.25142857142857e-11
GO:0034357,photosynthetic membrane,541,101,41.13,3.1e-11,1.86e-09
GO:0043226,organelle,14114,1232,1073.06,2.3e-10,1.22666666666667e-08
GO:0044434,chloroplast part,1706,247,129.7,5.7e-10,2.736e-08
GO:0044422,organelle part,4669,462,354.97,7.1e-10,3.09818181818182e-08
GO:0031984,organelle subcompartment,659,105,50.1,7.8e-10,3.12e-08
GO:0005773,vacuole,1353,182,102.87,8.5e-10,3.13846153846154e-08
GO:0030076,light-harvesting complex,37,17,2.81,2.3e-09,7.88571428571429e-08
GO:0031976,plastid thylakoid,579,102,44.02,8.6e-09,2.752e-07
GO:0009536,plastid,5483,572,416.86,1.5e-08,4.5e-07
GO:0030312,external encapsulating structure,1165,153,88.57,2.5e-08,7.05882352941176e-07
GO:0009534,chloroplast thylakoid,579,102,44.02,4.3e-08,1.14666666666667e-06
GO:0005737,cytoplasm,11533,1079,876.83,7.0e-08,1.76842105263158e-06
GO:0044444,cytoplasmic part,10634,1001,808.48,4.3e-07,1.032e-05
GO:0009526,plastid envelope,938,150,71.31,8.2e-06,0.000187428571428571
GO:0031967,organelle envelope,1445,171,109.86,1.5e-05,0.00031304347826087
GO:0031975,envelope,1491,172,113.36,1.5e-05,0.00031304347826087
GO:0042579,microbody,325,51,24.71,2.8e-05,0.00056
GO:0098807,chloroplast thylakoid membrane protein c...,48,17,3.65,3.7e-05,0.0007104
GO:0016021,integral component of membrane,1505,156,114.42,6.7e-05,0.00123692307692308
GO:0071944,cell periphery,5253,513,399.38,9.0e-05,0.00154285714285714
GO:0044437,vacuolar part,260,43,19.77,9.0e-05,0.00154285714285714
GO:0009521,photosystem,81,22,6.16,0.00014,0.00231724137931034
GO:0005774,vacuolar membrane,246,43,18.7,0.00017,0.00272
GO:0044446,intracellular organelle part,4666,462,354.75,0.00021,0.00325161290322581
GO:0048492,ribulose bisphosphate carboxylase comple...,9,5,0.68,0.00062,0.0093
GO:0009535,chloroplast thylakoid membrane,511,96,38.85,0.00075,0.0109090909090909
GO:0044425,membrane part,3088,280,234.77,0.00099,0.0139764705882353
GO:0009573,chloroplast ribulose bisphosphate carbox...,9,5,0.68,0.00116,0.0159085714285714
GO:0055035,plastid thylakoid membrane,511,96,38.85,0.00136,0.0181333333333333
GO:0098588,bounding membrane of organelle,537,65,40.83,0.00149,0.0193297297297297
GO:0030095,chloroplast photosystem II,28,9,2.13,0.00174,0.02184
GO:0009507,chloroplast,5340,567,405.99,0.00181,0.02184
GO:0010319,stromule,96,25,7.3,0.00182,0.02184
GO:0032991,macromolecular complex,3349,291,254.62,0.00800,0.0936585365853659
GO:0009570,chloroplast stroma,895,146,68.05,0.01013,0.115771428571429
GO:0098805,whole membrane,476,61,36.19,0.01116,0.124576744186047
GO:0048046,apoplast,633,130,48.13,0.01185,0.129272727272727
GO:0009503,thylakoid light-harvesting complex,6,4,0.46,0.01217,0.129813333333333
GO:0009654,photosystem II oxygen evolving complex,28,8,2.13,0.01408,0.146921739130435
GO:0005853,eukaryotic translation elongation factor...,17,5,1.29,0.01581,0.161463829787234
GO:0009532,plastid stroma,930,150,70.71,0.03362,0.3362
GO:0005886,plasma membrane,4404,403,334.83,0.04023,0.390117647058824
GO:0045298,tubulin complex,32,6,2.43,0.04111,0.390117647058824
GO:0000798,nuclear cohesin complex,5,2,0.38,0.04145,0.390117647058824
GO:0009783,photosystem II antenna complex,7,3,0.53,0.04432,0.409107692307692
GO:0016469,proton-transporting two-sector ATPase co...,125,18,9.5,0.04597,0.416332075471698
GO:0005956,protein kinase CK2 complex,10,3,0.76,0.04898,0.435377777777778
GO:0005783,endoplasmic reticulum,806,82,61.28,0.05216,0.455214545454545
GO:0033178,proton-transporting two-sector ATPase co...,60,10,4.56,0.05721,0.490371428571429
GO:0008180,COP9 signalosome,27,5,2.05,0.05896,0.496505263157895
GO:0009344,nitrite reductase complex [NAD(P)H],5,2,0.38,0.06024,0.498537931034483
GO:0005815,microtubule organizing center,18,3,1.37,0.06239,0.507579661016949
GO:0043231,intracellular membrane-bounded organelle,13473,1187,1024.33,0.06400,0.512
GO:0043227,membrane-bounded organelle,13474,1187,1024.4,0.06552,0.515567213114754
GO:0044424,intracellular part,15645,1355,1189.46,0.07233,0.552590769230769
GO:0000815,ESCRT III complex,17,4,1.29,0.07325,0.552590769230769
GO:0010316,pyrophosphate-dependent phosphofructokin...,12,3,0.91,0.07462,0.552590769230769
GO:0010287,plastoglobule,112,22,8.52,0.07483,0.552590769230769
GO:0042406,extrinsic component of endoplasmic retic...,9,2,0.68,0.07813,0.568218181818182
GO:0000221,vacuolar proton-transporting V-type ATPa...,8,3,0.61,0.08020,0.574567164179104
GO:0061695,transferase complex, transferring phosph...,131,13,9.96,0.08175,0.577058823529412
GO:0005759,mitochondrial matrix,72,8,5.47,0.08492,0.584228571428571
GO:0022626,cytosolic ribosome,635,69,48.28,0.08520,0.584228571428571
GO:0031231,intrinsic component of peroxisomal membr...,7,2,0.53,0.09636,0.651447887323944
GO:0005798,Golgi-associated vesicle,75,7,5.7,0.09882,0.6588
GO:0005779,integral component of peroxisomal membra...,7,2,0.53,0.10933,0.718882191780822
GO:0044445,cytosolic part,685,74,52.08,0.11252,0.72985945945946
GO:0036452,ESCRT complex,31,5,2.36,0.11523,0.737472
GO:0016471,vacuolar proton-transporting V-type ATPa...,20,5,1.52,0.11944,0.754357894736842
GO:0031360,intrinsic component of thylakoid membran...,6,2,0.46,0.12759,0.795366233766234
GO:0009533,chloroplast stromal thylakoid,13,4,0.99,0.13197,0.812123076923077
GO:0000325,plant-type vacuole,198,32,15.05,0.13700,0.832405063291139
GO:0009941,chloroplast envelope,868,136,65.99,0.15027,0.893511111111111
GO:0033180,proton-transporting V-type ATPase, V1 do...,9,3,0.68,0.15078,0.893511111111111
GO:0009346,citrate lyase complex,8,2,0.61,0.16340,0.929324137931035
GO:0031090,organelle membrane,964,92,73.29,0.16384,0.929324137931035
GO:0030093,chloroplast photosystem I,7,2,0.53,0.16514,0.929324137931035
GO:0044798,nuclear transcription factor complex,54,6,4.11,0.16623,0.929324137931035
GO:0031361,integral component of thylakoid membrane,6,2,0.46,0.16797,0.929324137931035
GO:0005663,DNA replication factor C complex,9,2,0.68,0.16844,0.929324137931035
GO:0010318,pyrophosphate-dependent phosphofructokin...,9,2,0.68,0.17368,0.933520879120879
GO:0031312,extrinsic component of organelle membran...,15,3,1.14,0.17565,0.933520879120879
GO:0009538,photosystem I reaction center,12,3,0.91,0.17629,0.933520879120879
GO:0009522,photosystem I,25,9,1.9,0.17698,0.933520879120879
GO:0016602,CCAAT-binding factor complex,22,4,1.67,0.18697,0.947876288659794
GO:1990904,ribonucleoprotein complex,1000,94,76.03,0.18742,0.947876288659794
GO:0019898,extrinsic component of membrane,169,19,12.85,0.18839,0.947876288659794
GO:0043229,intracellular organelle,14113,1232,1072.98,0.18848,0.947876288659794
GO:0015935,small ribosomal subunit,218,19,16.57,0.18975,0.947876288659794
GO:0000794,condensed nuclear chromosome,22,3,1.67,0.19155,0.947876288659794
GO:0000229,cytoplasmic chromosome,25,4,1.9,0.19748,0.967248979591837
GO:0030529,intracellular ribonucleoprotein complex,1000,94,76.03,0.21016,1
GO:0042719,mitochondrial intermembrane space protei...,5,1,0.38,0.21836,1
GO:0005657,replication fork,19,2,1.44,0.21837,1
GO:0009528,plastid inner membrane,68,6,5.17,0.22037,1
GO:0009295,nucleoid,65,7,4.94,0.22298,1
GO:0030131,clathrin adaptor complex,32,3,2.43,0.23610,1
GO:0033176,proton-transporting V-type ATPase comple...,24,5,1.82,0.24176,1
GO:1903293,phosphatase complex,106,10,8.06,0.24249,1
GO:0005829,cytosol,1614,159,122.71,0.24329,1
GO:0005622,intracellular,16633,1422,1264.57,0.25197,1
GO:0010168,ER body,11,2,0.84,0.25206,1
GO:0009508,plastid chromosome,25,4,1.9,0.26041,1
GO:0031314,extrinsic component of mitochondrial inn...,5,1,0.38,0.26336,1
GO:0031209,SCAR complex,11,2,0.84,0.26860,1
GO:0009512,cytochrome b6f complex,6,2,0.46,0.27126,1
GO:0005665,DNA-directed RNA polymerase II, core com...,41,4,3.12,0.27205,1
GO:0015030,Cajal body,16,2,1.22,0.27630,1
GO:0042646,plastid nucleoid,37,5,2.81,0.27883,1
GO:0005840,ribosome,846,83,64.32,0.28605,1
GO:0005945,6-phosphofructokinase complex,26,4,1.98,0.28778,1
GO:0005615,extracellular space,16,1,1.22,0.29091,1
GO:0000418,DNA-directed RNA polymerase IV complex,29,3,2.2,0.29311,1
GO:0000793,condensed chromosome,36,3,2.74,0.29449,1
GO:0098796,membrane protein complex,777,76,59.07,0.30440,1
GO:0000792,heterochromatin,13,1,0.99,0.31796,1
GO:0008540,proteasome regulatory particle, base sub...,33,4,2.51,0.31922,1
GO:0016591,DNA-directed RNA polymerase II, holoenzy...,72,6,5.47,0.31947,1
GO:0008278,cohesin complex,14,2,1.06,0.32806,1
GO:0098687,chromosomal region,45,3,3.42,0.35095,1
GO:0009527,plastid outer membrane,59,6,4.49,0.36078,1
GO:0012510,trans-Golgi network transport vesicle me...,22,2,1.67,0.36856,1
GO:0005850,eukaryotic translation initiation factor...,5,1,0.38,0.38287,1
GO:0005811,lipid particle,29,3,2.2,0.38444,1
GO:0009544,chloroplast ATP synthase complex,7,2,0.53,0.39001,1
GO:0005749,mitochondrial respiratory chain complex ...,7,1,0.53,0.40112,1
GO:0009543,chloroplast thylakoid lumen,102,16,7.75,0.40468,1
GO:0055029,nuclear DNA-directed RNA polymerase comp...,88,7,6.69,0.40775,1
GO:0008287,protein serine/threonine phosphatase com...,106,10,8.06,0.40886,1
GO:0005874,microtubule,110,7,8.36,0.40985,1
GO:0005876,spindle microtubule,10,1,0.76,0.41869,1
GO:0031978,plastid thylakoid lumen,102,16,7.75,0.41979,1
GO:0044438,microbody part,36,4,2.74,0.42069,1
GO:0005673,transcription factor TFIIE complex,7,1,0.53,0.43185,1
GO:0005875,microtubule associated complex,18,2,1.37,0.43879,1
GO:0019005,SCF ubiquitin ligase complex,56,4,4.26,0.44345,1
GO:0005768,endosome,125,12,9.5,0.44789,1
GO:0030665,clathrin-coated vesicle membrane,44,3,3.35,0.44802,1
GO:0009705,plant-type vacuole membrane,124,21,9.43,0.44873,1
GO:0015629,actin cytoskeleton,82,6,6.23,0.45456,1
GO:0005680,anaphase-promoting complex,10,1,0.76,0.46051,1
GO:0030140,trans-Golgi network transport vesicle,40,3,3.04,0.46314,1
