GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0102799,glucosinolate glucohydrolase activity,24,13,2.26,2.8e-07,0.0005432
GO:0019137,thioglucosidase activity,31,14,2.92,1.7e-06,0.001649
GO:0016984,ribulose-bisphosphate carboxylase activi...,14,8,1.32,3.8e-05,0.017072
GO:0003712,transcription coregulator activity,198,32,18.68,4.3e-05,0.017072
GO:0003824,catalytic activity,17045,1706,1608.17,4.4e-05,0.017072
GO:0004133,glycogen debranching enzyme activity,6,5,0.57,5.5e-05,0.0177833333333333
GO:0008144,drug binding,5841,630,551.09,6.5e-05,0.0180142857142857
GO:0016760,cellulose synthase (UDP-forming) activit...,53,16,5,9.3e-05,0.0209088888888889
GO:0003723,RNA binding,2532,274,238.89,9.7e-05,0.0209088888888889
GO:0016759,cellulose synthase activity,53,16,5,0.00012,0.02328
GO:0051020,GTPase binding,266,48,25.1,0.00014,0.0246909090909091
GO:0097367,carbohydrate derivative binding,6286,666,593.07,0.00030,0.0485
GO:0010334,sesquiterpene synthase activity,11,7,1.04,0.00034,0.0507384615384615
GO:0009882,blue light photoreceptor activity,8,6,0.75,0.00039,0.0540428571428571
GO:0080016,(-)-E-beta-caryophyllene synthase activi...,7,5,0.66,0.00048,0.0582
GO:0080017,alpha-humulene synthase activity,7,5,0.66,0.00048,0.0582
GO:1901265,nucleoside phosphate binding,6792,704,640.82,0.00051,0.0582
GO:0022804,active transmembrane transporter activit...,1276,153,120.39,0.00080,0.0857684210526316
GO:0022821,potassium ion antiporter activity,24,9,2.26,0.00084,0.0857684210526316
GO:0047958,glycine:2-oxoglutarate aminotransferase ...,9,4,0.85,0.00170,0.1649
GO:0035639,purine ribonucleoside triphosphate bindi...,6014,639,567.41,0.00181,0.167209523809524
GO:0090599,alpha-glucosidase activity,23,8,2.17,0.00191,0.168427272727273
GO:0016289,CoA hydrolase activity,25,7,2.36,0.00266,0.224365217391304
GO:0004222,metalloendopeptidase activity,88,16,8.3,0.00293,0.236841666666667
GO:0046914,transition metal ion binding,2247,253,212,0.00318,0.246768
GO:0003682,chromatin binding,262,39,24.72,0.00335,0.249961538461538
GO:0009881,photoreceptor activity,42,9,3.96,0.00361,0.259385185185185
GO:0001012,RNA polymerase II regulatory region DNA ...,287,34,27.08,0.00379,0.261565517241379
GO:0060090,molecular adaptor activity,47,11,4.43,0.00391,0.261565517241379
GO:0004527,exonuclease activity,156,23,14.72,0.00459,0.28615
GO:0016701,oxidoreductase activity, acting on singl...,85,17,8.02,0.00471,0.28615
GO:0140033,acetylation-dependent protein binding,5,3,0.47,0.00472,0.28615
GO:0016165,linoleate 13S-lipoxygenase activity,18,8,1.7,0.00522,0.302411764705882
GO:0008139,nuclear localization sequence binding,38,9,3.59,0.00530,0.302411764705882
GO:0036094,small molecule binding,7239,741,682.99,0.00548,0.30305945945946
GO:0002161,aminoacyl-tRNA editing activity,30,8,2.83,0.00575,0.30305945945946
GO:0015108,chloride transmembrane transporter activ...,16,6,1.51,0.00578,0.30305945945946
GO:0032452,histone demethylase activity,31,8,2.92,0.00664,0.335769230769231
GO:0038024,cargo receptor activity,9,4,0.85,0.00675,0.335769230769231
GO:0016814,hydrolase activity, acting on carbon-nit...,50,11,4.72,0.00740,0.3589
GO:0016702,oxidoreductase activity, acting on singl...,64,13,6.04,0.00771,0.364814634146341
GO:0005451,monovalent cation:proton antiporter acti...,18,7,1.7,0.00867,0.400471428571429
GO:0099516,ion antiporter activity,99,18,9.34,0.01041,0.469660465116279
GO:0033201,alpha-1,4-glucan synthase activity,9,4,0.85,0.01078,0.4753
GO:0004672,protein kinase activity,2335,246,220.3,0.01104,0.4753
GO:0016817,hydrolase activity, acting on acid anhyd...,2025,237,191.06,0.01127,0.4753
GO:0015296,anion:cation symporter activity,5,3,0.47,0.01153,0.47591914893617
GO:0030674,protein binding, bridging,32,8,3.02,0.01198,0.484191666666667
GO:0046863,ribulose-1,5-bisphosphate carboxylase/ox...,6,3,0.57,0.01256,0.489564705882353
GO:0010181,FMN binding,73,14,6.89,0.01287,0.489564705882353
GO:0004528,phosphodiesterase I activity,17,6,1.6,0.01287,0.489564705882353
GO:0004004,ATP-dependent RNA helicase activity,92,14,8.68,0.01323,0.492320754716981
GO:0043682,copper-transporting ATPase activity,5,3,0.47,0.01345,0.492320754716981
GO:0005310,dicarboxylic acid transmembrane transpor...,39,10,3.68,0.01405,0.496432142857143
GO:0016874,ligase activity,461,61,43.49,0.01432,0.496432142857143
GO:0016278,lysine N-methyltransferase activity,69,12,6.51,0.01433,0.496432142857143
GO:0046912,transferase activity, transferring acyl ...,37,9,3.49,0.01562,0.531628070175439
GO:0015175,neutral amino acid transmembrane transpo...,38,8,3.59,0.01591,0.532162068965517
GO:0015077,monovalent inorganic cation transmembran...,590,73,55.67,0.01678,0.551749152542373
GO:0003729,mRNA binding,804,103,75.86,0.01747,0.564863333333333
GO:0004197,cysteine-type endopeptidase activity,159,21,15,0.01802,0.573095081967213
GO:0030414,peptidase inhibitor activity,112,15,10.57,0.01972,0.613409523809524
GO:0030695,GTPase regulator activity,165,18,15.57,0.01992,0.613409523809524
GO:2001070,starch binding,17,5,1.6,0.02109,0.638436363636364
GO:0004812,aminoacyl-tRNA ligase activity,137,18,12.93,0.02140,0.638436363636364
GO:0009678,hydrogen-translocating pyrophosphatase a...,15,5,1.42,0.02172,0.638436363636364
