GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0031491,nucleosome binding,55,18,3.88,6.4e-08,0.00012416
GO:0046983,protein dimerization activity,1365,131,96.35,3.5e-05,0.021825
GO:0046982,protein heterodimerization activity,215,38,15.18,3.7e-05,0.021825
GO:0003676,nucleic acid binding,7280,606,513.86,4.5e-05,0.021825
GO:0005198,structural molecule activity,973,101,68.68,6.4e-05,0.024832
GO:0031492,nucleosomal DNA binding,27,13,1.91,0.00011,0.0355666666666667
GO:0031490,chromatin DNA binding,68,15,4.8,0.00018,0.0498857142857143
GO:0045431,flavonol synthase activity,9,5,0.64,0.00025,0.060625
GO:0016210,naringenin-chalcone synthase activity,7,4,0.49,0.00032,0.0689777777777778
GO:0016840,carbon-nitrogen lyase activity,43,10,3.04,0.00086,0.16684
GO:0003723,RNA binding,2532,246,178.72,0.00109,0.192236363636364
GO:0003682,chromatin binding,262,33,18.49,0.00126,0.2037
GO:0102148,N-acetyl-beta-D-galactosaminidase activi...,6,3,0.42,0.00138,0.205938461538462
GO:0017151,DEAD/H-box RNA helicase binding,5,3,0.35,0.00192,0.2522
GO:0003697,single-stranded DNA binding,146,22,10.31,0.00195,0.2522
GO:0015929,hexosaminidase activity,7,3,0.49,0.00234,0.283725
GO:0019205,nucleobase-containing compound kinase ac...,63,10,4.45,0.00326,0.363211111111111
GO:0004345,glucose-6-phosphate dehydrogenase activi...,9,4,0.64,0.00337,0.363211111111111
GO:0016984,ribulose-bisphosphate carboxylase activi...,14,5,0.99,0.00381,0.389021052631579
GO:0044105,L-xylulose reductase (NAD+) activity,5,3,0.35,0.00436,0.402780952380952
GO:0050038,L-xylulose reductase (NADP+) activity,5,3,0.35,0.00436,0.402780952380952
GO:0004791,thioredoxin-disulfide reductase activity,14,4,0.99,0.00573,0.45088275862069
GO:0016781,phosphotransferase activity, paired acce...,13,4,0.92,0.00591,0.45088275862069
GO:0050521,alpha-glucan, water dikinase activity,7,3,0.49,0.00592,0.45088275862069
GO:0019136,deoxynucleoside kinase activity,11,6,0.78,0.00619,0.45088275862069
GO:0015174,basic amino acid transmembrane transport...,13,3,0.92,0.00634,0.45088275862069
GO:0004864,protein phosphatase inhibitor activity,45,7,3.18,0.00659,0.45088275862069
GO:0140034,methylation-dependent protein binding,38,5,2.68,0.00667,0.45088275862069
GO:0004751,ribose-5-phosphate isomerase activity,5,4,0.35,0.00674,0.45088275862069
GO:0019200,carbohydrate kinase activity,82,11,5.79,0.00776,0.50015625
GO:0031072,heat shock protein binding,127,17,8.96,0.00816,0.50015625
GO:0004090,carbonyl reductase (NADPH) activity,6,3,0.42,0.00825,0.50015625
GO:0033293,monocarboxylic acid binding,59,12,4.16,0.00875,0.514393939393939
GO:0008113,peptide-methionine (S)-S-oxide reductase...,10,5,0.71,0.00916,0.522658823529412
GO:0016817,hydrolase activity, acting on acid anhyd...,2025,149,142.93,0.00986,0.546525714285714
GO:0030234,enzyme regulator activity,941,71,66.42,0.01074,0.578766666666667
GO:0016671,oxidoreductase activity, acting on a sul...,51,9,3.6,0.01202,0.630237837837838
GO:0015141,succinate transmembrane transporter acti...,9,3,0.64,0.01251,0.638668421052632
GO:0010427,abscisic acid binding,32,7,2.26,0.01342,0.667558974358974
GO:0016861,intramolecular oxidoreductase activity, ...,34,8,2.4,0.01466,0.71101
GO:0008565,protein transporter activity,132,15,9.32,0.01540,0.728682926829268
GO:0019840,isoprenoid binding,40,7,2.82,0.01613,0.744869767441861
GO:0097159,organic cyclic compound binding,14191,1061,1001.67,0.01651,0.744869767441861
GO:0004396,hexokinase activity,28,5,1.98,0.01792,0.786346666666667
GO:0031406,carboxylic acid binding,188,21,13.27,0.01824,0.786346666666667
GO:1901363,heterocyclic compound binding,14148,1057,998.63,0.01893,0.798352173913043
GO:0003954,NADH dehydrogenase activity,49,8,3.46,0.02063,0.851536170212766
GO:0043177,organic acid binding,188,21,13.27,0.02114,0.854408333333333
GO:0016790,thiolester hydrolase activity,69,9,4.87,0.02164,0.856767346938776
GO:0051499,D-aminoacyl-tRNA deacylase activity,5,2,0.35,0.02299,0.884792156862745
GO:0051087,chaperone binding,79,11,5.58,0.02326,0.884792156862745
GO:0008802,betaine-aldehyde dehydrogenase activity,5,3,0.35,0.02426,0.905084615384615
GO:0015450,P-P-bond-hydrolysis-driven protein trans...,60,8,4.24,0.02499,0.914728301886792
GO:0016741,transferase activity, transferring one-c...,560,47,39.53,0.02742,0.974585454545455
GO:0003964,RNA-directed DNA polymerase activity,101,11,7.13,0.02763,0.974585454545455
GO:0035174,histone serine kinase activity,6,2,0.42,0.03199,1
GO:0005504,fatty acid binding,18,4,1.27,0.03238,1
GO:0036009,protein-glutamine N-methyltransferase ac...,9,3,0.64,0.03286,1
GO:0097177,mitochondrial ribosome binding,12,4,0.85,0.03377,1
GO:0098518,polynucleotide phosphatase activity,5,2,0.35,0.03539,1
GO:0015117,thiosulfate transmembrane transporter ac...,8,3,0.56,0.03582,1
GO:0009001,serine O-acetyltransferase activity,7,2,0.49,0.03751,1
GO:0008022,protein C-terminus binding,11,3,0.78,0.03854,1
GO:0004499,N,N-dimethylaniline monooxygenase activi...,44,6,3.11,0.03876,1
GO:0004753,saccharopine dehydrogenase activity,5,2,0.35,0.04247,1
GO:0003883,CTP synthase activity,9,2,0.64,0.04284,1
GO:0003713,transcription coactivator activity,66,9,4.66,0.04293,1
GO:0019212,phosphatase inhibitor activity,50,7,3.53,0.04587,1
GO:0016312,inositol bisphosphate phosphatase activi...,6,2,0.42,0.04615,1
GO:0003905,alkylbase DNA N-glycosylase activity,8,2,0.56,0.04706,1
GO:0016412,serine O-acyltransferase activity,7,2,0.49,0.04749,1
GO:0035173,histone kinase activity,7,2,0.49,0.04929,1
GO:0070034,telomerase RNA binding,15,4,1.06,0.05028,1
GO:0016860,intramolecular oxidoreductase activity,111,13,7.83,0.05055,1
GO:0022884,macromolecule transmembrane transporter ...,81,9,5.72,0.05206,1
GO:0051539,4 iron, 4 sulfur cluster binding,153,14,10.8,0.05497,1
GO:0044877,protein-containing complex binding,429,40,30.28,0.05715,1
GO:0005488,binding,20953,1511,1478.96,0.05805,1
GO:0016743,carboxyl- or carbamoyltransferase activi...,5,2,0.35,0.05857,1
GO:0005310,dicarboxylic acid transmembrane transpor...,39,4,2.75,0.06036,1
GO:0004161,dimethylallyltranstransferase activity,15,2,1.06,0.06137,1
GO:0004176,ATP-dependent peptidase activity,75,8,5.29,0.06467,1
GO:0015211,purine nucleoside transmembrane transpor...,5,2,0.35,0.06536,1
GO:0016868,intramolecular transferase activity, pho...,19,4,1.34,0.06584,1
GO:0016491,oxidoreductase activity,2964,214,209.21,0.06625,1
GO:0016634,oxidoreductase activity, acting on the C...,17,3,1.2,0.07052,1
GO:0047958,glycine:2-oxoglutarate aminotransferase ...,9,2,0.64,0.07084,1
GO:0016831,carboxy-lyase activity,153,14,10.8,0.07122,1
GO:0016629,12-oxophytodienoate reductase activity,5,1,0.35,0.07143,1
GO:0046527,glucosyltransferase activity,383,31,27.03,0.07151,1
GO:0090079,translation regulator activity, nucleic ...,12,3,0.85,0.07166,1
GO:0015131,oxaloacetate transmembrane transporter a...,11,3,0.78,0.07174,1
GO:0019206,nucleoside kinase activity,22,6,1.55,0.07556,1
GO:0140101,catalytic activity, acting on a tRNA,242,20,17.08,0.07577,1
GO:0008447,L-ascorbate oxidase activity,11,2,0.78,0.07618,1
GO:0102313,1,8-cineole synthase activity,6,2,0.42,0.07723,1
GO:0004616,phosphogluconate dehydrogenase (decarbox...,6,2,0.42,0.07842,1
GO:0017077,oxidative phosphorylation uncoupler acti...,8,2,0.56,0.07970,1
GO:0031386,protein tag,24,4,1.69,0.08495,1
GO:0008446,GDP-mannose 4,6-dehydratase activity,8,2,0.56,0.08612,1
GO:0001671,ATPase activator activity,27,4,1.91,0.08618,1
GO:0003680,AT DNA binding,58,7,4.09,0.08623,1
GO:0004337,geranyltranstransferase activity,18,2,1.27,0.08942,1
GO:0015204,urea transmembrane transporter activity,8,2,0.56,0.09108,1
GO:0004029,aldehyde dehydrogenase (NAD) activity,29,5,2.05,0.09110,1
GO:0008320,protein transmembrane transporter activi...,81,9,5.72,0.09234,1
GO:0043565,sequence-specific DNA binding,1949,165,137.57,0.09269,1
GO:0008171,O-methyltransferase activity,122,14,8.61,0.09338,1
GO:0009922,fatty acid elongase activity,22,4,1.55,0.09457,1
GO:0033744,L-methionine:thioredoxin-disulfide S-oxi...,7,3,0.49,0.09467,1
GO:0043531,ADP binding,526,44,37.13,0.09678,1
GO:0019202,amino acid kinase activity,19,3,1.34,0.09762,1
GO:0050661,NADP binding,174,17,12.28,0.09794,1
GO:0004386,helicase activity,450,40,31.76,0.09801,1
GO:0046920,alpha-(1->3)-fucosyltransferase activity,6,2,0.42,0.09989,1
GO:1901682,sulfur compound transmembrane transporte...,54,6,3.81,0.10339,1
GO:0051082,unfolded protein binding,295,27,20.82,0.10345,1
GO:0035251,UDP-glucosyltransferase activity,316,26,22.3,0.10464,1
GO:0019787,ubiquitin-like protein transferase activ...,779,57,54.99,0.10550,1
GO:0031957,very long-chain fatty acid-CoA ligase ac...,5,1,0.35,0.10638,1
GO:0008270,zinc ion binding,1108,88,78.21,0.10696,1
GO:0016661,oxidoreductase activity, acting on other...,8,2,0.56,0.10888,1
GO:0044389,ubiquitin-like protein ligase binding,137,12,9.67,0.10976,1
GO:0003993,acid phosphatase activity,78,8,5.51,0.11083,1
GO:0019901,protein kinase binding,255,22,18,0.11137,1
GO:0030515,snoRNA binding,59,9,4.16,0.11279,1
GO:0008327,methyl-CpG binding,26,4,1.84,0.11358,1
GO:0015205,nucleobase transmembrane transporter act...,43,5,3.04,0.11375,1
GO:0042562,hormone binding,68,8,4.8,0.11519,1
GO:0043021,ribonucleoprotein complex binding,161,19,11.36,0.11654,1
GO:0016420,malonyltransferase activity,21,3,1.48,0.12039,1
GO:0019207,kinase regulator activity,194,19,13.69,0.12085,1
GO:0004014,adenosylmethionine decarboxylase activit...,14,3,0.99,0.12109,1
GO:0016829,lyase activity,727,56,51.32,0.12120,1
GO:0017096,acetylserotonin O-methyltransferase acti...,22,4,1.55,0.12159,1
GO:0004519,endonuclease activity,247,19,17.43,0.12196,1
GO:0019900,kinase binding,384,28,27.1,0.12233,1
GO:1990259,histone-glutamine methyltransferase acti...,7,2,0.49,0.12337,1
GO:0048029,monosaccharide binding,96,10,6.78,0.12465,1
GO:0010428,methyl-CpNpG binding,9,2,0.64,0.12498,1
GO:0010429,methyl-CpNpN binding,9,2,0.64,0.12498,1
GO:0008276,protein methyltransferase activity,110,10,7.76,0.12629,1
GO:0004528,phosphodiesterase I activity,17,2,1.2,0.12761,1
GO:0008381,mechanosensitive ion channel activity,30,3,2.12,0.12864,1
GO:0046873,metal ion transmembrane transporter acti...,405,28,28.59,0.12899,1
GO:0030628,pre-mRNA 3'-splice site binding,21,5,1.48,0.12944,1
GO:0008235,metalloexopeptidase activity,34,4,2.4,0.13278,1
GO:0016706,oxidoreductase activity, acting on paire...,134,12,9.46,0.13343,1
GO:0050284,sinapate 1-glucosyltransferase activity,8,2,0.56,0.13409,1
GO:0045486,naringenin 3-dioxygenase activity,15,3,1.06,0.13430,1
GO:0015116,sulfate transmembrane transporter activi...,33,4,2.33,0.13505,1
