GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0015979,photosynthesis,432,89,36.88,9.5e-16,4.60465e-12
GO:0044281,small molecule metabolic process,3797,448,324.17,4.3e-14,1.042105e-10
GO:0006082,organic acid metabolic process,2580,323,220.27,1.2e-13,1.9388e-10
GO:0018298,protein-chromophore linkage,91,29,7.77,3.2e-12,3.8776e-09
GO:0006629,lipid metabolic process,2125,260,181.42,5.7e-10,5.52558e-07
GO:1901568,fatty acid derivative metabolic process,187,43,15.96,1.6e-09,1.29253333333333e-06
GO:0010035,response to inorganic substance,2197,273,187.57,8.0e-09,5.53942857142857e-06
GO:0051707,response to other organism,2854,287,243.66,1.4e-08,8.48225e-06
GO:0009628,response to abiotic stimulus,4663,521,398.1,1.3e-07,7.00122222222222e-05
GO:0009765,photosynthesis, light harvesting,61,23,5.21,2.0e-07,9.694e-05
GO:1901615,organic hydroxy compound metabolic proce...,758,105,64.71,5.2e-07,0.000229130909090909
GO:0006970,response to osmotic stress,1590,212,135.74,7.9e-07,0.000319094166666667
GO:0009611,response to wounding,521,87,44.48,8.8e-07,0.000328104615384615
GO:0016053,organic acid biosynthetic process,1236,161,105.52,2.1e-06,0.00072705
GO:0044283,small molecule biosynthetic process,1548,196,132.16,2.3e-06,0.00072705
GO:0050896,response to stimulus,13163,1234,1123.78,2.4e-06,0.00072705
GO:0015977,carbon fixation,87,22,7.43,2.9e-06,0.000826841176470588
GO:0044255,cellular lipid metabolic process,1603,186,136.85,4.5e-06,0.00121175
GO:0080027,response to herbivore,79,22,6.74,4.9e-06,0.00125001578947368
GO:1901570,fatty acid derivative biosynthetic proce...,135,29,11.53,7.1e-06,0.001720685
GO:0009409,response to cold,955,136,81.53,7.5e-06,0.00173107142857143
GO:0019725,cellular homeostasis,667,87,56.94,9.5e-06,0.00209302272727273
GO:0090693,plant organ senescence,337,47,28.77,1.0e-05,0.00210739130434783
GO:0010119,regulation of stomatal movement,256,41,21.86,1.1e-05,0.00222154166666667
GO:1903792,negative regulation of anion transport,8,6,0.68,1.4e-05,0.00271432
GO:0009625,response to insect,110,26,9.39,1.8e-05,0.00335561538461538
GO:0010118,stomatal movement,367,54,31.33,1.9e-05,0.00341085185185185
GO:1903960,negative regulation of anion transmembra...,8,6,0.68,2.4e-05,0.00415457142857143
GO:0008610,lipid biosynthetic process,1249,155,106.63,2.7e-05,0.00451272413793103
GO:0006790,sulfur compound metabolic process,868,107,74.1,3.0e-05,0.004847
GO:0006091,generation of precursor metabolites and ...,608,80,51.91,3.4e-05,0.00530140625
GO:0048366,leaf development,853,91,72.82,3.5e-05,0.00530140625
GO:0032410,negative regulation of transporter activ...,10,6,0.85,4.9e-05,0.00719706060606061
GO:0065008,regulation of biological quality,2592,256,221.29,5.7e-05,0.00812585294117647
GO:0042136,neurotransmitter biosynthetic process,57,15,4.87,6.7e-05,0.00927854285714286
GO:0051252,regulation of RNA metabolic process,3144,245,268.42,7.7e-05,0.010349
GO:0009644,response to high light intensity,138,32,11.78,7.9e-05,0.010349
GO:0055114,oxidation-reduction process,742,94,63.35,9.7e-05,0.0123726052631579
GO:0042133,neurotransmitter metabolic process,81,18,6.92,0.00010,0.0124282051282051
GO:0007568,aging,399,51,34.06,0.00011,0.01332925
GO:0051259,protein complex oligomerization,158,25,13.49,0.00012,0.0141863414634146
GO:0015772,oligosaccharide transport,30,11,2.56,0.00013,0.0146537209302326
GO:0043271,negative regulation of ion transport,14,7,1.2,0.00013,0.0146537209302326
GO:0034763,negative regulation of transmembrane tra...,10,6,0.85,0.00014,0.0154222727272727
GO:0006081,cellular aldehyde metabolic process,141,26,12.04,0.00015,0.0161566666666667
GO:0006520,cellular amino acid metabolic process,888,106,75.81,0.00017,0.0179128260869565
GO:0009414,response to water deprivation,853,117,72.82,0.00019,0.0191860416666667
GO:0009267,cellular response to starvation,359,50,30.65,0.00019,0.0191860416666667
GO:0031032,actomyosin structure organization,6,4,0.51,0.00021,0.0195744230769231
GO:0034766,negative regulation of ion transmembrane...,10,6,0.85,0.00021,0.0195744230769231
GO:0019499,cyanide metabolic process,8,5,0.68,0.00021,0.0195744230769231
GO:0000302,response to reactive oxygen species,403,62,34.41,0.00021,0.0195744230769231
GO:0043094,cellular metabolic compound salvage,172,29,14.68,0.00022,0.019747037037037
GO:0009657,plastid organization,466,48,39.78,0.00022,0.019747037037037
GO:0001101,response to acid chemical,3046,330,260.05,0.00025,0.0220318181818182
GO:0051186,cofactor metabolic process,1209,135,103.22,0.00030,0.0255105263157895
GO:0019682,glyceraldehyde-3-phosphate metabolic pro...,73,17,6.23,0.00030,0.0255105263157895
GO:0031668,cellular response to extracellular stimu...,526,65,44.91,0.00033,0.0271103389830508
GO:0030003,cellular cation homeostasis,308,55,26.3,0.00033,0.0271103389830508
GO:0019500,cyanide catabolic process,8,5,0.68,0.00035,0.0282741666666667
GO:0006006,glucose metabolic process,94,18,8.03,0.00037,0.0289256451612903
GO:1901136,carbohydrate derivative catabolic proces...,175,31,14.94,0.00037,0.0289256451612903
GO:0006824,cobalt ion transport,5,4,0.43,0.00039,0.0293757575757576
GO:0006950,response to stress,7892,795,673.77,0.00040,0.0293757575757576
GO:0010218,response to far red light,102,19,8.71,0.00040,0.0293757575757576
GO:0010431,seed maturation,131,21,11.18,0.00040,0.0293757575757576
GO:0009072,aromatic amino acid family metabolic pro...,150,24,12.81,0.00045,0.0325544776119403
GO:0010360,negative regulation of anion channel act...,8,6,0.68,0.00048,0.0342141176470588
GO:0006873,cellular ion homeostasis,334,55,28.51,0.00055,0.0386355072463768
GO:0006026,aminoglycan catabolic process,40,11,3.41,0.00061,0.0416432394366197
GO:0055129,L-proline biosynthetic process,12,6,1.02,0.00061,0.0416432394366197
GO:0032413,negative regulation of ion transmembrane...,10,6,0.85,0.00067,0.0451040277777778
GO:0009415,response to water,878,118,74.96,0.00073,0.04847
GO:0009734,auxin-activated signaling pathway,543,66,46.36,0.00077,0.050435
GO:0006468,protein phosphorylation,1438,130,122.77,0.00083,0.0529343421052632
GO:2001040,positive regulation of cellular response...,17,6,1.45,0.00083,0.0529343421052632
GO:0009635,response to herbicide,28,9,2.39,0.00089,0.0559269230769231
GO:0009645,response to low light intensity stimulus,33,12,2.82,0.00090,0.0559269230769231
GO:0006351,transcription, DNA-templated,3233,246,276.01,0.00094,0.057673164556962
GO:0046916,cellular transition metal ion homeostasi...,146,33,12.46,0.00102,0.06179925
GO:0017144,drug metabolic process,1687,176,144.03,0.00111,0.0662029268292683
GO:0046677,response to antibiotic,786,99,67.1,0.00112,0.0662029268292683
GO:0042542,response to hydrogen peroxide,181,32,15.45,0.00115,0.0671572289156627
GO:0071446,cellular response to salicylic acid stim...,175,27,14.94,0.00121,0.0698198809523809
GO:0006355,regulation of transcription, DNA-templat...,2983,236,254.67,0.00127,0.0724198823529412
GO:0044837,actomyosin contractile ring organization,5,3,0.43,0.00141,0.0785548275862069
GO:0006714,sesquiterpenoid metabolic process,109,23,9.31,0.00141,0.0785548275862069
GO:0009668,plastid membrane organization,72,14,6.15,0.00157,0.0864748863636364
GO:0090068,positive regulation of cell cycle proces...,89,12,7.6,0.00160,0.0867074444444444
GO:0044272,sulfur compound biosynthetic process,339,46,28.94,0.00161,0.0867074444444444
