GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0043226,organelle,22476,2017,1905.3,3.3e-07,0.0002805
GO:0044428,nuclear part,2947,329,249.82,2.6e-06,0.001105
GO:0005623,cell,29165,2531,2472.32,5.9e-06,0.00167166666666667
GO:0044464,cell part,29092,2523,2466.14,1.5e-05,0.00255
GO:0005739,mitochondrion,2432,274,206.16,1.5e-05,0.00255
GO:0044422,organelle part,10825,1003,917.64,0.00017,0.0240833333333333
GO:0032991,protein-containing complex,5498,534,466.07,0.00020,0.0242857142857143
GO:0055044,symplast,1993,212,168.95,0.00030,0.0283333333333333
GO:0031974,membrane-enclosed lumen,2624,271,222.44,0.00030,0.0283333333333333
GO:0030054,cell junction,2034,215,172.42,0.00038,0.0323
GO:0032040,small-subunit processome,68,16,5.76,0.00057,0.0440454545454545
GO:0070062,extracellular exosome,65,12,5.51,0.00103,0.0712692307692308
GO:0000778,condensed nuclear chromosome kinetochore,11,5,0.93,0.00109,0.0712692307692308
GO:0005815,microtubule organizing center,140,23,11.87,0.00202,0.122642857142857
GO:0070013,intracellular organelle lumen,2624,271,222.44,0.00255,0.1445
GO:0043230,extracellular organelle,69,14,5.85,0.00277,0.145444444444444
GO:0016607,nuclear speck,227,34,19.24,0.00308,0.145444444444444
GO:0005768,endosome,998,100,84.6,0.00308,0.145444444444444
GO:0071010,prespliceosome,39,11,3.31,0.00347,0.155236842105263
GO:0043229,intracellular organelle,22460,2015,1903.94,0.00495,0.206833333333333
GO:0009530,primary cell wall,9,4,0.76,0.00511,0.206833333333333
GO:0005829,cytosol,4681,461,396.81,0.00721,0.265625
GO:0000780,condensed nuclear chromosome, centromeri...,15,5,1.27,0.00744,0.265625
GO:0045263,proton-transporting ATP synthase complex...,15,5,1.27,0.00750,0.265625
GO:0071004,U2-type prespliceosome,39,11,3.31,0.00789,0.26826
GO:0098687,chromosomal region,198,32,16.78,0.00831,0.271673076923077
GO:0034245,mitochondrial DNA-directed RNA polymeras...,7,3,0.59,0.01018,0.313620689655172
GO:0000776,kinetochore,39,9,3.31,0.01035,0.313620689655172
GO:0005697,telomerase holoenzyme complex,14,5,1.19,0.01070,0.313620689655172
GO:0034399,nuclear periphery,47,11,3.98,0.01218,0.33330303030303
GO:0044446,intracellular organelle part,10805,1003,915.94,0.01229,0.33330303030303
GO:0000922,spindle pole,35,8,2.97,0.01262,0.33330303030303
GO:0120114,Sm-like protein family complex,146,23,12.38,0.01294,0.33330303030303
GO:0044424,intracellular part,25071,2210,2125.27,0.01584,0.382027777777778
GO:0005622,intracellular,25071,2210,2125.27,0.01584,0.382027777777778
GO:0010369,chromocenter,37,11,3.14,0.01618,0.382027777777778
GO:0043233,organelle lumen,2624,271,222.44,0.01789,0.410986486486486
GO:0000311,plastid large ribosomal subunit,12,4,1.02,0.01918,0.429026315789474
GO:0070971,endoplasmic reticulum exit site,16,4,1.36,0.02112,0.4490125
GO:0009574,preprophase band,25,6,2.12,0.02113,0.4490125
GO:0030532,small nuclear ribonucleoprotein complex,136,22,11.53,0.02267,0.466083333333333
GO:0005694,chromosome,745,86,63.15,0.02303,0.466083333333333
GO:0070531,BRCA1-A complex,7,3,0.59,0.02472,0.488651162790698
GO:0033177,proton-transporting two-sector ATPase co...,49,8,4.15,0.02598,0.501886363636364
GO:1903561,extracellular vesicle,65,12,5.51,0.02676,0.502054347826087
GO:0000152,nuclear ubiquitin ligase complex,34,8,2.88,0.02717,0.502054347826087
GO:0072686,mitotic spindle,22,6,1.86,0.02826,0.511085106382979
GO:0030137,COPI-coated vesicle,43,8,3.65,0.02992,0.52258
GO:0071013,catalytic step 2 spliceosome,134,19,11.36,0.03055,0.52258
GO:0030660,Golgi-associated vesicle membrane,132,18,11.19,0.03074,0.52258
GO:0034388,Pwp2p-containing subcomplex of 90S preri...,8,3,0.68,0.03517,0.576235849056604
GO:0032153,cell division site,15,4,1.27,0.03544,0.576235849056604
GO:0015934,large ribosomal subunit,342,34,28.99,0.03593,0.576235849056604
GO:0032044,DSIF complex,7,3,0.59,0.03738,0.588388888888889
GO:0031597,cytosolic proteasome complex,27,5,2.29,0.04052,0.626218181818182
GO:0034663,endoplasmic reticulum chaperone complex,9,3,0.76,0.04219,0.634275862068965
GO:0030140,trans-Golgi network transport vesicle,39,7,3.31,0.04324,0.634275862068965
GO:0000148,1,3-beta-D-glucan synthase complex,28,6,2.37,0.04328,0.634275862068965
GO:0044427,chromosomal part,635,72,53.83,0.04493,0.647296610169491
GO:0030133,transport vesicle,141,17,11.95,0.04808,0.681133333333333
GO:0098805,whole membrane,2143,198,181.66,0.04902,0.683065573770492
GO:0030662,coated vesicle membrane,161,20,13.65,0.05186,0.686977611940298
GO:0005802,trans-Golgi network,601,62,50.95,0.05198,0.686977611940298
GO:0009547,plastid ribosome,16,4,1.36,0.05254,0.686977611940298
GO:0009536,plastid,4228,404,358.41,0.05255,0.686977611940298
GO:0000938,GARP complex,10,3,0.85,0.05385,0.686977611940298
GO:0048475,coated membrane,125,16,10.6,0.05415,0.686977611940298
GO:0031379,RNA-directed RNA polymerase complex,19,4,1.61,0.05676,0.7095
GO:0031982,vesicle,1474,150,124.95,0.05888,0.720678571428571
GO:0030126,COPI vesicle coat,40,7,3.39,0.05935,0.720678571428571
GO:0009532,plastid stroma,1311,132,111.13,0.06291,0.744909090909091
GO:1990234,transferase complex,942,92,79.85,0.06470,0.744909090909091
GO:0005846,nuclear cap binding complex,5,2,0.42,0.06487,0.744909090909091
GO:0089701,U2AF,16,4,1.36,0.06549,0.744909090909091
GO:0005720,nuclear heterochromatin,29,5,2.46,0.06641,0.744909090909091
GO:0098572,stromal side of plastid thylakoid membra...,5,2,0.42,0.06671,0.744909090909091
GO:0009570,chloroplast stroma,1303,131,110.46,0.06748,0.744909090909091
GO:0016514,SWI/SNF complex,14,3,1.19,0.06875,0.749198717948718
GO:0031975,envelope,2133,204,180.81,0.07088,0.762632911392405
GO:0031436,BRCA1-BARD1 complex,5,3,0.42,0.07215,0.764433333333333
GO:0090576,RNA polymerase III transcription factor ...,9,2,0.76,0.07404,0.764433333333333
GO:0005828,kinetochore microtubule,12,4,1.02,0.07753,0.764433333333333
GO:0101031,chaperone complex,39,7,3.31,0.07846,0.764433333333333
GO:0042597,periplasmic space,12,3,1.02,0.07925,0.764433333333333
GO:0048471,perinuclear region of cytoplasm,150,19,12.72,0.07937,0.764433333333333
GO:0005852,eukaryotic translation initiation factor...,41,7,3.48,0.07938,0.764433333333333
GO:0044439,peroxisomal part,120,14,10.17,0.07971,0.764433333333333
GO:0042575,DNA polymerase complex,19,4,1.61,0.08020,0.764433333333333
GO:0005744,TIM23 mitochondrial import inner membran...,35,5,2.97,0.08074,0.764433333333333
GO:0031410,cytoplasmic vesicle,1415,142,119.95,0.08094,0.764433333333333
GO:0098791,Golgi subcompartment,1384,122,117.32,0.08586,0.790952127659574
GO:0097708,intracellular vesicle,1418,142,120.2,0.08716,0.790952127659574
GO:0008352,katanin complex,5,2,0.42,0.08742,0.790952127659574
GO:0009527,plastid outer membrane,114,15,9.66,0.08747,0.790952127659574
GO:0031903,microbody membrane,112,14,9.49,0.08847,0.791573684210526
GO:0009514,glyoxysome,40,6,3.39,0.09354,0.792083333333333
GO:0032300,mismatch repair complex,20,4,1.7,0.09356,0.792083333333333
GO:0008540,proteasome regulatory particle, base sub...,36,6,3.05,0.09360,0.792083333333333
GO:0031519,PcG protein complex,18,4,1.53,0.09426,0.792083333333333
GO:0009533,chloroplast stromal thylakoid,12,3,1.02,0.09476,0.792083333333333
GO:0071439,clathrin complex,6,2,0.51,0.09504,0.792083333333333
GO:0030117,membrane coat,125,16,10.6,0.09505,0.792083333333333
GO:0045259,proton-transporting ATP synthase complex,63,9,5.34,0.10006,0.82573786407767
GO:0005730,nucleolus,1115,124,94.52,0.10243,0.82652752293578
GO:0016604,nuclear body,310,37,26.28,0.10346,0.82652752293578
GO:0043232,intracellular non-membrane-bounded organ...,3554,339,301.27,0.10492,0.82652752293578
GO:0034709,methylosome,13,3,1.1,0.10494,0.82652752293578
GO:0000276,mitochondrial proton-transporting ATP sy...,7,2,0.59,0.10507,0.82652752293578
GO:0043228,non-membrane-bounded organelle,3554,339,301.27,0.10599,0.82652752293578
GO:0042646,plastid nucleoid,78,11,6.61,0.11172,0.858423423423423
GO:0009295,nucleoid,96,12,8.14,0.11210,0.858423423423423
GO:0009707,chloroplast outer membrane,114,15,9.66,0.11644,0.883696428571429
GO:0030496,midbody,22,4,1.86,0.11778,0.885955752212389
GO:0000315,organellar large ribosomal subunit,35,6,2.97,0.11947,0.890430434782609
GO:0000313,organellar ribosome,54,8,4.58,0.12047,0.890430434782609
GO:0010494,cytoplasmic stress granule,58,7,4.92,0.12280,0.896401639344262
GO:0030120,vesicle coat,91,13,7.71,0.12370,0.896401639344262
GO:0044429,mitochondrial part,938,97,79.51,0.12734,0.896401639344262
GO:0044452,nucleolar part,114,17,9.66,0.12784,0.896401639344262
GO:0005681,spliceosomal complex,376,46,31.87,0.12794,0.896401639344262
GO:0005876,spindle microtubule,29,5,2.46,0.12798,0.896401639344262
GO:0044444,cytoplasmic part,15152,1361,1284.44,0.12866,0.896401639344262
GO:0070993,translation preinitiation complex,47,7,3.98,0.13199,0.912126016260163
GO:0031965,nuclear membrane,148,19,12.55,0.13454,0.916504
GO:0046861,glyoxysomal membrane,11,3,0.93,0.13478,0.916504
GO:0005652,nuclear lamina,6,2,0.51,0.13772,0.929063492063492
GO:0045335,phagocytic vesicle,39,6,3.31,0.14212,0.943055970149254
GO:0033643,host cell part,6,2,0.51,0.14286,0.943055970149254
GO:0106068,SUMO ligase complex,7,2,0.59,0.14339,0.943055970149254
GO:0019867,outer membrane,241,25,20.43,0.14556,0.943055970149254
GO:0034045,phagophore assembly site membrane,23,4,1.95,0.14630,0.943055970149254
GO:0030684,preribosome,154,20,13.05,0.14675,0.943055970149254
GO:0034719,SMN-Sm protein complex,23,4,1.95,0.14796,0.943055970149254
GO:0042644,chloroplast nucleoid,75,10,6.36,0.14867,0.943055970149254
GO:0005684,U2-type spliceosomal complex,126,19,10.68,0.15191,0.95647037037037
GO:0031380,nuclear RNA-directed RNA polymerase comp...,19,4,1.61,0.15429,0.961485507246377
GO:0032993,protein-DNA complex,162,20,13.73,0.15507,0.961485507246377
GO:0044433,cytoplasmic vesicle part,631,66,53.49,0.15610,0.961485507246377
GO:0016021,integral component of membrane,8192,652,694.44,0.15811,0.965316666666667
GO:0005819,spindle,223,26,18.9,0.15934,0.965316666666667
GO:0044815,DNA packaging complex,108,14,9.16,0.16074,0.965316666666667
GO:0031618,nuclear pericentric heterochromatin,5,2,0.42,0.16336,0.965316666666667
GO:0030123,AP-3 adaptor complex,8,2,0.68,0.16493,0.965316666666667
GO:0016592,mediator complex,81,11,6.87,0.16546,0.965316666666667
GO:0005686,U2 snRNP,35,8,2.97,0.16617,0.965316666666667
GO:0098589,membrane region,9,2,0.76,0.16808,0.965316666666667
GO:0031967,organelle envelope,2133,204,180.81,0.16846,0.965316666666667
GO:0098797,plasma membrane protein complex,85,9,7.21,0.16878,0.965316666666667
GO:0034715,pICln-Sm protein complex,16,3,1.36,0.17012,0.965316666666667
GO:0031966,mitochondrial membrane,677,69,57.39,0.17035,0.965316666666667
GO:0000794,condensed nuclear chromosome,65,9,5.51,0.17323,0.968832236842105
GO:0010008,endosome membrane,431,43,36.54,0.17325,0.968832236842105
GO:0005634,nucleus,11247,1033,953.41,0.17517,0.973166666666667
GO:0005832,chaperonin-containing T-complex,28,4,2.37,0.18146,0.984816455696203
GO:0030915,Smc5-Smc6 complex,7,2,0.59,0.18163,0.984816455696203
GO:0012510,trans-Golgi network transport vesicle me...,28,5,2.37,0.18274,0.984816455696203
GO:0044613,nuclear pore central transport channel,8,2,0.68,0.18291,0.984816455696203
GO:0016469,proton-transporting two-sector ATPase co...,132,13,11.19,0.18306,0.984816455696203
GO:0030130,clathrin coat of trans-Golgi network ves...,17,3,1.44,0.18996,1
GO:0009509,chromoplast,16,3,1.36,0.19173,1
GO:0010445,nuclear dicing body,13,3,1.1,0.19300,1
GO:0043614,multi-eIF complex,9,2,0.76,0.19495,1
GO:0000943,retrotransposon nucleocapsid,90,13,7.63,0.19840,1
GO:1990904,ribonucleoprotein complex,1852,189,156.99,0.20267,1
GO:0044450,microtubule organizing center part,26,4,2.2,0.20311,1
GO:0016281,eukaryotic translation initiation factor...,17,3,1.44,0.20315,1
GO:0005680,anaphase-promoting complex,17,3,1.44,0.20680,1
GO:0098852,lytic vacuole membrane,51,6,4.32,0.20850,1
GO:0031207,Sec62/Sec63 complex,12,2,1.02,0.21616,1
GO:0044438,microbody part,120,14,10.17,0.21693,1
GO:0030658,transport vesicle membrane,97,11,8.22,0.21782,1
GO:0030686,90S preribosome,61,10,5.17,0.21841,1
GO:0032301,MutSalpha complex,8,2,0.68,0.22248,1
GO:0005779,integral component of peroxisomal membra...,21,3,1.78,0.22265,1
GO:0009505,plant-type cell wall,548,49,46.45,0.22301,1
GO:0043227,membrane-bounded organelle,21609,1946,1831.8,0.22431,1
GO:0031968,organelle outer membrane,241,25,20.43,0.22441,1
GO:0000793,condensed chromosome,106,15,8.99,0.22466,1
GO:0030663,COPI-coated vesicle membrane,42,7,3.56,0.22891,1
GO:0000786,nucleosome,99,14,8.39,0.23577,1
GO:0022625,cytosolic large ribosomal subunit,294,27,24.92,0.24097,1
GO:0031090,organelle membrane,4118,372,349.08,0.24302,1
GO:0000407,phagophore assembly site,47,6,3.98,0.24390,1
GO:0000145,exocyst,67,8,5.68,0.24832,1
GO:0034708,methyltransferase complex,58,7,4.92,0.24918,1
GO:0034515,proteasome storage granule,10,3,0.85,0.24950,1
GO:0005838,proteasome regulatory particle,68,8,5.76,0.25076,1
GO:0022624,proteasome accessory complex,68,8,5.76,0.25076,1
GO:0043231,intracellular membrane-bounded organelle,21272,1916,1803.23,0.25087,1
GO:0000792,heterochromatin,45,7,3.81,0.25873,1
GO:0000164,protein phosphatase type 1 complex,11,2,0.93,0.25882,1
GO:0031224,intrinsic component of membrane,8595,678,728.6,0.26093,1
GO:0099023,tethering complex,138,16,11.7,0.26315,1
GO:1990391,DNA repair complex,27,4,2.29,0.26408,1
GO:0005643,nuclear pore,108,13,9.16,0.26551,1
GO:0005635,nuclear envelope,287,30,24.33,0.27061,1
GO:0045202,synapse,52,6,4.41,0.27670,1
GO:0000127,transcription factor TFIIIC complex,5,2,0.42,0.27778,1
GO:0019866,organelle inner membrane,673,64,57.05,0.27847,1
GO:0031231,intrinsic component of peroxisomal membr...,21,3,1.78,0.27902,1
GO:0043680,filiform apparatus,6,1,0.51,0.28571,1
GO:1902562,H4 histone acetyltransferase complex,30,4,2.54,0.29091,1
GO:0008023,transcription elongation factor complex,37,5,3.14,0.29391,1
GO:0097224,sperm connecting piece,5,1,0.42,0.29412,1
GO:0005765,lysosomal membrane,41,5,3.48,0.29420,1
GO:0031981,nuclear lumen,2207,241,187.09,0.29449,1
GO:0005856,cytoskeleton,907,91,76.89,0.29868,1
GO:0005687,U4 snRNP,23,5,1.95,0.30667,1
GO:0042720,mitochondrial inner membrane peptidase c...,5,1,0.42,0.30965,1
GO:0031901,early endosome membrane,40,5,3.39,0.31047,1
GO:0031332,RNAi effector complex,11,2,0.93,0.31141,1
GO:0042170,plastid membrane,506,49,42.89,0.31723,1
GO:0000307,cyclin-dependent protein kinase holoenzy...,105,11,8.9,0.32015,1
GO:0005887,integral component of plasma membrane,297,26,25.18,0.32115,1
GO:0000151,ubiquitin ligase complex,364,35,30.86,0.32291,1
GO:0016363,nuclear matrix,18,3,1.53,0.32565,1
GO:0005875,microtubule associated complex,178,19,15.09,0.32829,1
GO:0005685,U1 snRNP,41,8,3.48,0.33022,1
GO:0030132,clathrin coat of coated pit,15,2,1.27,0.33307,1
GO:0034518,RNA cap binding complex,21,3,1.78,0.33435,1
GO:0031310,intrinsic component of vacuolar membrane,5,1,0.42,0.33542,1
GO:0099080,supramolecular complex,484,44,41.03,0.33553,1
