GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0005198,structural molecule activity,940,94,56.98,1.3e-06,0.0020735
GO:0004693,cyclin-dependent protein serine/threonin...,76,12,4.61,1.3e-05,0.0103675
GO:0097472,cyclin-dependent protein kinase activity,76,12,4.61,2.4e-05,0.01276
GO:0004364,glutathione transferase activity,75,14,4.55,0.00011,0.0438625
GO:0016491,oxidoreductase activity,2640,190,160.04,0.00014,0.04466
GO:0016671,oxidoreductase activity, acting on a sul...,74,18,4.49,0.00018,0.04785
GO:0046982,protein heterodimerization activity,195,27,11.82,0.00119,0.25320625
GO:0005515,protein binding,5545,396,336.14,0.00127,0.25320625
GO:0019205,nucleobase-containing compound kinase ac...,66,9,4,0.00154,0.272922222222222
GO:0003735,structural constituent of ribosome,706,82,42.8,0.00193,0.307835
GO:0004175,endopeptidase activity,499,33,30.25,0.00284,0.373052777777778
GO:0016759,cellulose synthase activity,69,10,4.18,0.00290,0.373052777777778
GO:0016667,oxidoreductase activity, acting on a sul...,264,31,16,0.00325,0.373052777777778
GO:0045431,flavonol synthase activity,7,3,0.42,0.00341,0.373052777777778
GO:0044769,ATPase activity, coupled to transmembran...,81,8,4.91,0.00406,0.373052777777778
GO:0031491,nucleosome binding,29,5,1.76,0.00407,0.373052777777778
GO:0047196,long-chain-alcohol O-fatty-acyltransfera...,10,3,0.61,0.00409,0.373052777777778
GO:0003676,nucleic acid binding,6815,421,413.12,0.00421,0.373052777777778
GO:0008237,metallopeptidase activity,135,13,8.18,0.00512,0.417653703703704
GO:0005525,GTP binding,482,35,29.22,0.00529,0.417653703703704
GO:0016855,racemase and epimerase activity, acting ...,9,3,0.55,0.00573,0.417653703703704
GO:0016209,antioxidant activity,265,27,16.06,0.00591,0.417653703703704
GO:0016782,transferase activity, transferring sulfu...,90,11,5.46,0.00630,0.417653703703704
GO:0016762,xyloglucan:xyloglucosyl transferase acti...,46,8,2.79,0.00664,0.417653703703704
GO:0016853,isomerase activity,444,38,26.92,0.00704,0.417653703703704
GO:0070001,aspartic-type peptidase activity,140,13,8.49,0.00704,0.417653703703704
GO:0032561,guanyl ribonucleotide binding,509,36,30.86,0.00707,0.417653703703704
GO:0005509,calcium ion binding,443,41,26.85,0.00791,0.44979
GO:0047631,ADP-ribose diphosphatase activity,10,3,0.61,0.00825,0.44979
GO:0019001,guanyl nucleotide binding,511,36,30.98,0.00846,0.44979
GO:0005488,binding,19617,1234,1189.18,0.00891,0.458433870967742
GO:0032296,double-stranded RNA-specific ribonucleas...,14,4,0.85,0.01095,0.5457890625
GO:0019136,deoxynucleoside kinase activity,9,4,0.55,0.01186,0.573233333333333
GO:0019902,phosphatase binding,8,3,0.48,0.01325,0.621580882352941
GO:0004525,ribonuclease III activity,14,4,0.85,0.01492,0.679925714285714
GO:0060590,ATPase regulator activity,11,3,0.67,0.01549,0.686293055555556
GO:0030332,cyclin binding,15,4,0.91,0.01859,0.80137972972973
GO:0004551,nucleotide diphosphatase activity,24,4,1.45,0.01991,0.835696052631579
GO:0008144,drug binding,35,6,2.12,0.02067,0.84535
GO:0015245,fatty acid transporter activity,7,2,0.42,0.02167,0.86409125
GO:0016538,cyclin-dependent protein serine/threonin...,62,10,3.76,0.02252,0.86737619047619
GO:0031492,nucleosomal DNA binding,14,4,0.85,0.02284,0.86737619047619
GO:0003746,translation elongation factor activity,88,12,5.33,0.02383,0.872159574468085
GO:0016616,oxidoreductase activity, acting on the C...,227,16,13.76,0.02468,0.872159574468085
GO:0004089,carbonate dehydratase activity,33,6,2,0.02490,0.872159574468085
GO:0098772,molecular function regulator,650,52,39.4,0.02560,0.872159574468085
GO:0042578,phosphoric ester hydrolase activity,648,44,39.28,0.02570,0.872159574468085
GO:0004620,phospholipase activity,83,7,5.03,0.02734,0.890270408163265
GO:0043021,ribonucleoprotein complex binding,84,9,5.09,0.02735,0.890270408163265
GO:0016755,transferase activity, transferring amino...,28,4,1.7,0.02854,0.902895098039216
GO:0016765,transferase activity, transferring alkyl...,200,17,12.12,0.02887,0.902895098039216
GO:0010178,IAA-amino acid conjugate hydrolase activ...,5,2,0.3,0.02964,0.90915
GO:0070402,NADPH binding,5,2,0.3,0.03078,0.922861403508772
GO:0004792,thiosulfate sulfurtransferase activity,9,3,0.55,0.03231,0.922861403508772
GO:0004715,non-membrane spanning protein tyrosine k...,7,2,0.42,0.03248,0.922861403508772
GO:0000179,rRNA (adenine-N6,N6-)-dimethyltransferas...,6,2,0.36,0.03273,0.922861403508772
GO:0103095,wax ester synthase activity,8,2,0.48,0.03298,0.922861403508772
GO:0080031,methyl salicylate esterase activity,14,3,0.85,0.03455,0.934291525423729
GO:0022832,voltage-gated channel activity,97,7,5.88,0.03456,0.934291525423729
GO:0000774,adenyl-nucleotide exchange factor activi...,7,2,0.42,0.03627,0.9641775
GO:0022890,inorganic cation transmembrane transport...,572,34,34.67,0.03804,0.977934375
GO:0004623,phospholipase A2 activity,6,2,0.36,0.03866,0.977934375
GO:0003723,RNA binding,1904,134,115.42,0.03867,0.977934375
GO:0005507,copper ion binding,360,30,21.82,0.03924,0.977934375
GO:0004791,thioredoxin-disulfide reductase activity,43,8,2.61,0.04219,1
GO:0004519,endonuclease activity,318,20,19.28,0.04254,1
GO:0016621,cinnamoyl-CoA reductase activity,9,2,0.55,0.04364,1
GO:0016866,intramolecular transferase activity,87,12,5.27,0.04665,1
GO:0004385,guanylate kinase activity,5,2,0.3,0.04675,1
GO:0031490,chromatin DNA binding,32,4,1.94,0.04705,1
