GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0046906,tetrapyrrole binding,642,108,54.95,1.5e-16,2.3925e-13
GO:0016491,oxidoreductase activity,2640,339,225.94,2.7e-11,2.15325e-08
GO:0005506,iron ion binding,635,90,54.35,1.0e-08,5.31666666666667e-06
GO:0003824,catalytic activity,16009,1489,1370.13,2.2e-07,8.7725e-05
GO:0048037,cofactor binding,833,107,71.29,6.8e-07,0.00021692
GO:0016829,lyase activity,700,104,59.91,8.9e-07,0.000236591666666667
GO:0031409,pigment binding,26,11,2.23,2.1e-06,0.0004785
GO:0016209,antioxidant activity,265,46,22.68,3.1e-06,0.0006180625
GO:0016798,hydrolase activity, acting on glycosyl b...,696,93,59.57,3.6e-06,0.000638
GO:0016168,chlorophyll binding,54,22,4.62,1.0e-05,0.00145
GO:0019825,oxygen binding,269,43,23.02,1.0e-05,0.00145
GO:0043167,ion binding,6484,595,554.93,1.8e-05,0.0023925
GO:0016758,transferase activity, transferring hexos...,694,74,59.4,0.00019,0.0227857142857143
GO:0009881,photoreceptor activity,20,7,1.71,0.00020,0.0227857142857143
GO:0016723,oxidoreductase activity, oxidizing metal...,10,6,0.86,0.00035,0.0372166666666667
GO:0061134,peptidase regulator activity,87,16,7.45,0.00049,0.0487882352941176
GO:0003677,DNA binding,4081,288,349.27,0.00052,0.0487882352941176
GO:0019137,thioglucosidase activity,13,7,1.11,0.00057,0.0505083333333333
GO:0016746,transferase activity, transferring acyl ...,691,82,59.14,0.00062,0.05104
GO:0030414,peptidase inhibitor activity,85,16,7.27,0.00064,0.05104
GO:0010181,FMN binding,83,16,7.1,0.00094,0.0713952380952381
GO:0005215,transporter activity,2342,241,200.44,0.00127,0.092075
GO:0043168,anion binding,438,59,37.49,0.00140,0.0970869565217391
GO:0004096,catalase activity,9,6,0.77,0.00154,0.102345833333333
GO:0008061,chitin binding,31,8,2.65,0.00192,0.118398076923077
GO:0019202,amino acid kinase activity,19,6,1.63,0.00193,0.118398076923077
GO:0052689,carboxylic ester hydrolase activity,423,52,36.2,0.00204,0.120511111111111
GO:0022821,potassium ion antiporter activity,15,6,1.28,0.00224,0.1276
GO:0070008,serine-type exopeptidase activity,84,13,7.19,0.00241,0.13255
GO:0016769,transferase activity, transferring nitro...,122,20,10.44,0.00277,0.1400609375
GO:0098599,palmitoyl hydrolase activity,8,4,0.68,0.00280,0.1400609375
GO:0015386,potassium:proton antiporter activity,13,5,1.11,0.00281,0.1400609375
GO:0008238,exopeptidase activity,172,18,14.72,0.00354,0.1711
GO:0004568,chitinase activity,40,12,3.42,0.00391,0.180462857142857
GO:0016903,oxidoreductase activity, acting on the a...,132,28,11.3,0.00396,0.180462857142857
GO:0015116,sulfate transmembrane transporter activi...,28,7,2.4,0.00421,0.186526388888889
GO:0015154,disaccharide transmembrane transporter a...,27,8,2.31,0.00544,0.226412195121951
GO:0045486,naringenin 3-dioxygenase activity,5,3,0.43,0.00576,0.226412195121951
GO:0080016,(-)-E-beta-caryophyllene synthase activi...,7,4,0.6,0.00580,0.226412195121951
GO:0080017,alpha-humulene synthase activity,7,4,0.6,0.00580,0.226412195121951
GO:0003993,acid phosphatase activity,79,14,6.76,0.00582,0.226412195121951
GO:0008289,lipid binding,414,48,35.43,0.00627,0.238110714285714
GO:0008474,palmitoyl-(protein) hydrolase activity,7,4,0.6,0.00791,0.27843152173913
GO:0102336,3-oxo-arachidoyl-CoA synthase activity,33,9,2.82,0.00803,0.27843152173913
GO:0102337,3-oxo-cerotoyl-CoA synthase activity,33,9,2.82,0.00803,0.27843152173913
