GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0016071,mRNA metabolic process,558,89,52.65,2.2e-05,0.056389
GO:0034641,cellular nitrogen compound metabolic pro...,8203,881,773.93,3.1e-05,0.056389
GO:0006396,RNA processing,948,134,89.44,7.8e-05,0.056389
GO:0006325,chromatin organization,491,80,46.32,7.9e-05,0.056389
GO:0018205,peptidyl-lysine modification,189,35,17.83,8.4e-05,0.056389
GO:0019676,ammonia assimilation cycle,9,5,0.85,9.3e-05,0.056389
GO:0046246,terpene biosynthetic process,19,7,1.79,0.00017,0.0883514285714286
GO:0017038,protein import,178,30,16.79,0.00020,0.09095
GO:0044238,primary metabolic process,15711,1574,1482.29,0.00023,0.0929711111111111
GO:0071840,cellular component organization or bioge...,4357,473,411.07,0.00031,0.112778
GO:0009250,glucan biosynthetic process,193,24,18.21,0.00043,0.142212727272727
GO:0043170,macromolecule metabolic process,12823,1316,1209.82,0.00067,0.186750666666667
GO:0051055,negative regulation of lipid biosyntheti...,6,4,0.57,0.00069,0.186750666666667
GO:0048608,reproductive structure development,1867,221,176.15,0.00074,0.186750666666667
GO:0016569,chromatin modification,318,52,30,0.00077,0.186750666666667
GO:0007166,cell surface receptor signaling pathway,402,58,37.93,0.00087,0.19781625
GO:0009791,post-embryonic development,2304,266,217.38,0.00097,0.206704545454545
GO:0016570,histone modification,235,39,22.17,0.00110,0.206704545454545
GO:0046483,heterocycle metabolic process,7099,757,669.77,0.00115,0.206704545454545
GO:0010501,RNA secondary structure unwinding,43,12,4.06,0.00121,0.206704545454545
GO:0042214,terpene metabolic process,30,8,2.83,0.00123,0.206704545454545
GO:0006807,nitrogen compound metabolic process,8950,927,844.41,0.00125,0.206704545454545
GO:0022613,ribonucleoprotein complex biogenesis,567,75,53.49,0.00146,0.212595625
GO:0051649,establishment of localization in cell,818,97,77.18,0.00154,0.212595625
GO:0009987,cellular process,19758,1926,1864.12,0.00159,0.212595625
GO:0006139,nucleobase-containing compound metabolic...,6730,724,634.96,0.00159,0.212595625
GO:0007389,pattern specification process,284,45,26.79,0.00159,0.212595625
GO:0006414,translational elongation,128,24,12.08,0.00166,0.212595625
GO:0006334,nucleosome assembly,86,16,8.11,0.00179,0.212595625
GO:0045833,negative regulation of lipid metabolic p...,7,4,0.66,0.00180,0.212595625
GO:0000959,mitochondrial RNA metabolic process,63,15,5.94,0.00186,0.212595625
GO:1902582,single-organism intracellular transport,243,36,22.93,0.00187,0.212595625
GO:0001708,cell fate specification,43,11,4.06,0.00203,0.223792121212121
GO:0040029,regulation of gene expression, epigeneti...,211,33,19.91,0.00226,0.240108
GO:0048507,meristem development,366,53,34.53,0.00231,0.240108
GO:0006098,pentose-phosphate shunt,54,12,5.09,0.00245,0.247586111111111
GO:0090503,RNA phosphodiester bond hydrolysis, exon...,17,7,1.6,0.00263,0.258592972972973
