GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0044464,cell part,26602,2535,2463.06,8.3e-05,0.04613
GO:0005623,cell,26652,2537,2467.69,0.00014,0.04613
GO:0032991,macromolecular complex,4035,434,373.6,0.00031,0.0609575
GO:0043226,organelle,21361,2060,1977.8,0.00037,0.0609575
GO:0005829,cytosol,3425,373,317.12,0.00197,0.259646
GO:0030529,intracellular ribonucleoprotein complex,1314,156,121.66,0.00266,0.292156666666667
GO:0030126,COPI vesicle coat,25,7,2.31,0.00477,0.449061428571429
GO:0030684,preribosome,78,17,7.22,0.00735,0.560882222222222
GO:0034715,pICln-Sm protein complex,9,4,0.83,0.00766,0.560882222222222
GO:0044428,nuclear part,1652,188,152.96,0.00967,0.598265135135135
GO:0030137,COPI-coated vesicle,31,7,2.87,0.01206,0.598265135135135
GO:0005802,trans-Golgi network,391,46,36.2,0.01243,0.598265135135135
GO:0048475,coated membrane,109,17,10.09,0.01267,0.598265135135135
GO:0098797,plasma membrane protein complex,159,23,14.72,0.01354,0.598265135135135
GO:0072686,mitotic spindle,10,4,0.93,0.01401,0.598265135135135
GO:0089701,U2AF,11,4,1.02,0.01800,0.598265135135135
GO:0005681,spliceosomal complex,162,27,15,0.01901,0.598265135135135
GO:0043228,non-membrane-bounded organelle,2416,262,223.7,0.01959,0.598265135135135
GO:0044427,chromosomal part,352,47,32.59,0.01984,0.598265135135135
GO:0043232,intracellular non-membrane-bounded organ...,2416,262,223.7,0.02022,0.598265135135135
GO:0030660,Golgi-associated vesicle membrane,54,9,5,0.02532,0.598265135135135
GO:0030663,COPI-coated vesicle membrane,30,7,2.78,0.02548,0.598265135135135
GO:0098791,Golgi subcompartment,472,52,43.7,0.02586,0.598265135135135
GO:0009295,nucleoid,62,11,5.74,0.02587,0.598265135135135
GO:0030173,integral component of Golgi membrane,15,4,1.39,0.02685,0.598265135135135
GO:0000148,1,3-beta-D-glucan synthase complex,23,6,2.13,0.02687,0.598265135135135
GO:0031965,nuclear membrane,39,8,3.61,0.02734,0.598265135135135
GO:0005694,chromosome,434,59,40.18,0.02782,0.598265135135135
GO:0044422,organelle part,6972,687,645.53,0.02836,0.598265135135135
GO:0000151,ubiquitin ligase complex,289,38,26.76,0.02861,0.598265135135135
