GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0030529,intracellular ribonucleoprotein complex,1314,190,114.05,3.5e-11,2.3065e-08
GO:0043228,non-membrane-bounded organelle,2416,302,209.7,5.0e-10,1.1203e-07
GO:0043232,intracellular non-membrane-bounded organ...,2416,302,209.7,5.1e-10,1.1203e-07
GO:0044815,DNA packaging complex,108,32,9.37,2.8e-09,4.613e-07
GO:0032991,macromolecular complex,4035,447,350.22,1.2e-08,1.5816e-06
GO:0000786,nucleosome,99,32,8.59,6.1e-08,6.69983333333333e-06
GO:0032993,protein-DNA complex,134,35,11.63,5.9e-07,5.55442857142857e-05
GO:0005840,ribosome,870,126,75.51,9.6e-07,7.908e-05
GO:1990904,ribonucleoprotein complex,1314,190,114.05,1.9e-06,0.000139122222222222
GO:0031974,membrane-enclosed lumen,1535,183,133.23,6.0e-06,0.0003954
GO:0044429,mitochondrial part,703,101,61.02,1.3e-05,0.000778818181818182
GO:0031966,mitochondrial membrane,515,69,44.7,2.8e-05,0.00152076923076923
GO:0044445,cytosolic part,521,77,45.22,3.0e-05,0.00152076923076923
GO:0043233,organelle lumen,1535,183,133.23,3.5e-05,0.0016475
GO:0070013,intracellular organelle lumen,1535,183,133.23,5.6e-05,0.00246026666666667
GO:0005622,intracellular,24198,2193,2100.25,0.00011,0.004530625
GO:0044428,nuclear part,1652,188,143.38,0.00015,0.00581470588235294
GO:0044391,ribosomal subunit,452,67,39.23,0.00016,0.00585777777777778
GO:0000785,chromatin,198,38,17.19,0.00036,0.0121915
GO:0044455,mitochondrial membrane part,287,40,24.91,0.00037,0.0121915
GO:0044424,intracellular part,23936,2166,2077.51,0.00063,0.01977
GO:0005740,mitochondrial envelope,546,74,47.39,0.00079,0.0227904166666667
GO:0044427,chromosomal part,352,51,30.55,0.00080,0.0227904166666667
GO:0005739,mitochondrion,3423,360,297.1,0.00083,0.0227904166666667
GO:0022626,cytosolic ribosome,471,71,40.88,0.00143,0.0376948
GO:0019866,organelle inner membrane,530,68,46,0.00214,0.0542407692307692
GO:0055044,symplast,1464,158,127.07,0.00245,0.0597981481481481
GO:0030054,cell junction,1468,158,127.41,0.00273,0.0642525
GO:0031304,intrinsic component of mitochondrial inn...,21,8,1.82,0.00302,0.067877
GO:0043226,organelle,21361,1919,1854.02,0.00309,0.067877
GO:0015934,large ribosomal subunit,282,52,24.48,0.00326,0.0693012903225806
GO:0070469,respiratory chain,151,22,13.11,0.00342,0.070430625
GO:0005623,cell,26652,2363,2313.25,0.00382,0.0762842424242424
GO:0044464,cell part,26602,2358,2308.91,0.00438,0.0848947058823529
GO:0031305,integral component of mitochondrial inne...,18,7,1.56,0.00496,0.0933897142857143
GO:0005829,cytosol,3425,357,297.27,0.00538,0.0984838888888889
GO:0000788,nuclear nucleosome,5,3,0.43,0.00659,0.117373243243243
GO:0005730,nucleolus,719,104,62.41,0.00751,0.129265384615385
GO:0042645,mitochondrial nucleoid,8,4,0.69,0.00765,0.129265384615385
GO:0015630,microtubule cytoskeleton,397,49,34.46,0.01215,0.20017125
GO:0098800,inner mitochondrial membrane protein com...,220,32,19.09,0.01324,0.212808780487805
GO:0089701,U2AF,11,4,0.95,0.01378,0.216214761904762
GO:0030312,external encapsulating structure,1135,122,98.51,0.01456,0.223140465116279
GO:0099080,supramolecular complex,315,39,27.34,0.01567,0.234693863636364
GO:0009295,nucleoid,62,11,5.38,0.01682,0.246319555555556
GO:0031301,integral component of organelle membrane,106,15,9.2,0.01772,0.249458958333333
GO:0042579,microbody,380,47,32.98,0.01787,0.249458958333333
GO:0031903,microbody membrane,63,10,5.47,0.01817,0.249458958333333
GO:0005697,telomerase holoenzyme complex,14,5,1.22,0.01886,0.253647755102041
GO:0022625,cytosolic large ribosomal subunit,226,43,19.62,0.02000,0.259981960784314
GO:0098797,plasma membrane protein complex,159,20,13.8,0.02012,0.259981960784314
GO:0031300,intrinsic component of organelle membran...,109,16,9.46,0.02096,0.265627692307692
GO:0005667,transcription factor complex,146,21,12.67,0.02273,0.282623962264151
GO:0070847,core mediator complex,7,3,0.61,0.02583,0.315221666666667
GO:0044422,organelle part,6972,646,605.13,0.02665,0.319315454545455
GO:0009504,cell plate,55,10,4.77,0.02935,0.341383606557377
GO:0009898,cytoplasmic side of plasma membrane,108,14,9.37,0.02999,0.341383606557377
GO:1903561,extracellular vesicle,10,3,0.87,0.03114,0.341383606557377
