Sample,SRA_Data,Data_source
Cabbage_1,,this_study
Cabbage_2,,this_study
Kale_1,,this_study
Kale_2,,this_study
Kale_3,,this_study
TO1000_1,,this_study
TO1000_2,,this_study
TO1000_3,,this_study
#Public Data
TO1000_DH3,SRR6453838,public_data
Kale_A12,SRR6453636,public_data
Cabbage,SRR6453631,public_data
No.6960,SRR6454040,public_data
Pointu_Perce-Neige,SRR6454033,public_data
Groene_Putjes,SRR6453890,public_data
Fodroslevelu_Takamanykel,SRR6453887,public_data
No.3800005,SRR6453795,public_data
Cavolo_da_Fiore_Miscuglio,SRR6453796,public_data
