Bo_gene	subgenome	At_gene
Bo5g002950	LF	AT1G01010
Bo5g002810	LF	AT1G01010
Bo5g002840	LF	AT1G01020
Bo5g002800	LF	AT1G01020
Bo5g002790	LF	AT1G01030
Bo5g002780	LF	AT1G01040
Bo5g002770	LF	AT1G01050
Bo5g002750	LF	AT1G01070
Bo5g002710	LF	AT1G01100
Bo5g002700	LF	AT1G01110
Bo5g002690	LF	AT1G01120
Bo5g002680	LF	AT1G01140
Bo5g002670	LF	AT1G01160
Bo5g002660	LF	AT1G01170
Bo5g002650	LF	AT1G01180
Bo5g002640	LF	AT1G01190
Bo5g002630	LF	AT1G01200
Bo5g002600	LF	AT1G01250
Bo5g002590	LF	AT1G01260
Bo5g002580	LF	AT1G01280
Bo5g002570	LF	AT1G01300
Bo5g002560	LF	AT1G01310
Bo5g002550	LF	AT1G01320
Bo5g002530	LF	AT1G01360
Bo5g002510	LF	AT1G01390
Bo5g002500	LF	AT1G01430
Bo5g002490	LF	AT1G01440
Bo5g002480	LF	AT1G01453
Bo5g002470	LF	AT1G01460
Bo5g002460	LF	AT1G01480
Bo5g002450	LF	AT1G01490
Bo5g002430	LF	AT1G01520
Bo5g002760	LF	AT1G01520
Bo5g002420	LF	AT1G01540
Bo5g002410	LF	AT1G01550
Bo5g002400	LF	AT1G01570
Bo5g002390	LF	AT1G01580
Bo5g002380	LF	AT1G01600
Bo5g001000	LF	AT1G01610
Bo5g001010	LF	AT1G01620
Bo5g001020	LF	AT1G01630
Bo5g001030	LF	AT1G01640
Bo5g001040	LF	AT1G01650
Bo5g001050	LF	AT1G01660
Bo5g001080	LF	AT1G01690
Bo5g001090	LF	AT1G01710
Bo5g001100	LF	AT1G01720
Bo5g001120	LF	AT1G01725
Bo5g001130	LF	AT1G01740
Bo5g001140	LF	AT1G01760
Bo5g001150	LF	AT1G01780
Bo5g001160	LF	AT1G01790
Bo5g001190	LF	AT1G01830
Bo5g001200	LF	AT1G01840
Bo5g001210	LF	AT1G01900
Bo5g001230	LF	AT1G01910
Bo5g001240	LF	AT1G01970
Bo5g001250	LF	AT1G01990
Bo5g001300	LF	AT1G02040
Bo5g001290	LF	AT1G02065
Bo5g001270	LF	AT1G02080
Bo5g001310	LF	AT1G02090
Bo5g001320	LF	AT1G02120
Bo5g001340	LF	AT1G02145
Bo5g001350	LF	AT1G02150
Bo5g001360	LF	AT1G02160
Bo5g001370	LF	AT1G02180
Bo5g002970	LF	AT1G02270
Bo5g002990	LF	AT1G02280
Bo5g003010	LF	AT1G02310
Bo5g003020	LF	AT1G02330
Bo5g003080	LF	AT1G02360
Bo5g003100	LF	AT1G02370
Bo5g003110	LF	AT1G02380
Bo5g003130	LF	AT1G02390
Bo5g003140	LF	AT1G02400
Bo5g003150	LF	AT1G02410
Bo5g003170	LF	AT1G02430
Bo5g003160	LF	AT1G02450
Bo5g003180	LF	AT1G02450
Bo5g003190	LF	AT1G02460
Bo5g003200	LF	AT1G02470
Bo5g003210	LF	AT1G02520
Bo5g003220	LF	AT1G02560
Bo5g003230	LF	AT1G02570
Bo5g003240	LF	AT1G02580
Bo5g003250	LF	AT1G02610
Bo5g003270	LF	AT1G02630
Bo5g003280	LF	AT1G02630
Bo5g003290	LF	AT1G02640
Bo5g003300	LF	AT1G02680
Bo5g003350	LF	AT1G02730
Bo5g003360	LF	AT1G02750
Bo5g003370	LF	AT1G02780
Bo5g003380	LF	AT1G02790
Bo5g003420	LF	AT1G02850
Bo5g003430	LF	AT1G02860
Bo5g003440	LF	AT1G02870
Bo5g003500	LF	AT1G02900
Bo5g003510	LF	AT1G02920
Bo5g003530	LF	AT1G02980
Bo5g003560	LF	AT1G03010
Bo5g003570	LF	AT1G03020
Bo5g003580	LF	AT1G03040
Bo5g003600	LF	AT1G03060
Bo5g003610	LF	AT1G03080
Bo5g003620	LF	AT1G03100
Bo5g003640	LF	AT1G03120
Bo5g003660	LF	AT1G03150
Bo5g003670	LF	AT1G03170
Bo5g003680	LF	AT1G03210
Bo5g003690	LF	AT1G03250
Bo5g003740	LF	AT1G03310
Bo5g003750	LF	AT1G03320
Bo5g003760	LF	AT1G03330
Bo5g003770	LF	AT1G03340
Bo5g003780	LF	AT1G03350
Bo5g003790	LF	AT1G03360
Bo5g003810	LF	AT1G03380
Bo5g003820	LF	AT1G03390
Bo5g003830	LF	AT1G03400
Bo5g003850	LF	AT1G03400
Bo5g003860	LF	AT1G03430
Bo5g003870	LF	AT1G03440
Bo5g003880	LF	AT1G03457
Bo5g003890	LF	AT1G03470
Bo5g003900	LF	AT1G03475
Bo5g003930	LF	AT1G03550
Bo5g003940	LF	AT1G03560
Bo5g003950	LF	AT1G03590
Bo5g003960	LF	AT1G03600
Bo5g003970	LF	AT1G03610
Bo5g003980	LF	AT1G03620
Bo5g003990	LF	AT1G03630
Bo5g004060	LF	AT1G03670
Bo5g004000	LF	AT1G03700
Bo5g004010	LF	AT1G03700
Bo5g004020	LF	AT1G03710
Bo5g004040	LF	AT1G03760
Bo5g004050	LF	AT1G03770
Bo5g004080	LF	AT1G03790
Bo5g004090	LF	AT1G03800
Bo5g004100	LF	AT1G03810
Bo5g004110	LF	AT1G03820
Bo5g004150	LF	AT1G03850
Bo5g004160	LF	AT1G03860
Bo5g004170	LF	AT1G03870
Bo5g004180	LF	AT1G03880
Bo5g004210	LF	AT1G03920
Bo5g004220	LF	AT1G03950
Bo5g004230	LF	AT1G03970
Bo5g004240	LF	AT1G03982
Bo5g004250	LF	AT1G03990
Bo5g004260	LF	AT1G04000
Bo5g004270	LF	AT1G04010
Bo5g004280	LF	AT1G04070
Bo5g004290	LF	AT1G04080
Bo5g004300	LF	AT1G04090
Bo5g004310	LF	AT1G04100
Bo5g004320	LF	AT1G04110
Bo5g004330	LF	AT1G04120
Bo5g004340	LF	AT1G04170
Bo5g004350	LF	AT1G04180
Bo5g004380	LF	AT1G04220
Bo5g004430	LF	AT1G04280
Bo5g004440	LF	AT1G04290
Bo5g004470	LF	AT1G04330
Bo5g004480	LF	AT1G04340
Bo5g004490	LF	AT1G04350
Bo5g004510	LF	AT1G04360
Bo5g004520	LF	AT1G04370
Bo5g004550	LF	AT1G04390
Bo5g004560	LF	AT1G04400
Bo5g004570	LF	AT1G04410
Bo5g004580	LF	AT1G04420
Bo5g004590	LF	AT1G04430
Bo5g004610	LF	AT1G04470
Bo5g004620	LF	AT1G04480
Bo5g004630	LF	AT1G04500
Bo5g004650	LF	AT1G04520
Bo5g004660	LF	AT1G04530
Bo5g004670	LF	AT1G04540
Bo5g004700	LF	AT1G04570
Bo5g004710	LF	AT1G04580
Bo5g004720	LF	AT1G04590
Bo5g004740	LF	AT1G04610
Bo5g004750	LF	AT1G04620
Bo5g004760	LF	AT1G04630
Bo5g004790	LF	AT1G04660
Bo5g004800	LF	AT1G04670
Bo5g004810	LF	AT1G04680
Bo5g004820	LF	AT1G04690
Bo5g004830	LF	AT1G04700
Bo5g004840	LF	AT1G04730
Bo5g004850	LF	AT1G04730
Bo5g004860	LF	AT1G04750
Bo5g004870	LF	AT1G04770
Bo5g004910	LF	AT1G04790
Bo5g004940	LF	AT1G04840
Bo5g004950	LF	AT1G04840
Bo5g004970	LF	AT1G04880
Bo5g004980	LF	AT1G04890
Bo5g005000	LF	AT1G04900
Bo5g005030	LF	AT1G04930
Bo5g005050	LF	AT1G04960
Bo5g005070	LF	AT1G04970
Bo5g005130	LF	AT1G05000
Bo5g005140	LF	AT1G05010
Bo5g005150	LF	AT1G05020
Bo5g005190	LF	AT1G05065
Bo5g005200	LF	AT1G05070
Bo5g005210	LF	AT1G05090
Bo5g005220	LF	AT1G05100
Bo5g005300	LF	AT1G05180
Bo5g005310	LF	AT1G05190
Bo5g005320	LF	AT1G05200
Bo5g005330	LF	AT1G05205
Bo5g005340	LF	AT1G05210
Bo5g005350	LF	AT1G05230
Bo5g005390	LF	AT1G05270
Bo5g005470	LF	AT1G05290
Bo5g005480	LF	AT1G05291
Bo5g005490	LF	AT1G05300
Bo5g005510	LF	AT1G05310
Bo5g005520	LF	AT1G05320
Bo5g005530	LF	AT1G05330
Bo5g005540	LF	AT1G05340
Bo5g005550	LF	AT1G05350
Bo5g005560	LF	AT1G05370
Bo5g005570	LF	AT1G05380
Bo5g005580	LF	AT1G05385
Bo5g005600	LF	AT1G05410
Bo5g005590	LF	AT1G05420
Bo5g005610	LF	AT1G05440
Bo5g005630	LF	AT1G05450
Bo5g005640	LF	AT1G05460
Bo5g005650	LF	AT1G05470
Bo5g005670	LF	AT1G05490
Bo5g005680	LF	AT1G05500
Bo5g005710	LF	AT1G05530
Bo5g005750	LF	AT1G05570
Bo5g006820	LF	AT1G05580
Bo5g006830	LF	AT1G05600
Bo5g006840	LF	AT1G05610
Bo5g006850	LF	AT1G05630
Bo5g006870	LF	AT1G05650
Bo5g006880	LF	AT1G05670
Bo5g006950	LF	AT1G05760
Bo5g006970	LF	AT1G05800
Bo5g006980	LF	AT1G05805
Bo5g007030	LF	AT1G05805
Bo5g007040	LF	AT1G05850
Bo5g007050	LF	AT1G05860
Bo5g007060	LF	AT1G05870
Bo5g007110	LF	AT1G05910
Bo5g005620	LF	AT1G05920
Bo5g007120	LF	AT1G05920
Bo5g007130	LF	AT1G05960
Bo5g007140	LF	AT1G05970
Bo5g007190	LF	AT1G06080
Bo5g007250	LF	AT1G06140
Bo5g007270	LF	AT1G06150
Bo5g007280	LF	AT1G06160
Bo5g007310	LF	AT1G06170
Bo5g007320	LF	AT1G06180
Bo5g007330	LF	AT1G06190
Bo5g007350	LF	AT1G06225
Bo5g007370	LF	AT1G06250
Bo5g007380	LF	AT1G06260
Bo5g007390	LF	AT1G06270
Bo5g007430	LF	AT1G06290
Bo5g007440	LF	AT1G06350
Bo5g007490	LF	AT1G06410
Bo5g007500	LF	AT1G06420
Bo5g007470	LF	AT1G06430
Bo5g007510	LF	AT1G06430
Bo5g007480	LF	AT1G06440
Bo5g007520	LF	AT1G06440
Bo5g007530	LF	AT1G06460
Bo5g007540	LF	AT1G06470
Bo5g007550	LF	AT1G06475
Bo5g007570	LF	AT1G06510
Bo5g007580	LF	AT1G06520
Bo5g007610	LF	AT1G06560
Bo5g007620	LF	AT1G06590
Bo5g007080	LF	AT1G06620
Bo5g007650	LF	AT1G06660
Bo5g007660	LF	AT1G06670
Bo5g007700	LF	AT1G06730
Bo5g007710	LF	AT1G06760
Bo5g007730	LF	AT1G06780
Bo5g007750	LF	AT1G06800
Bo5g007760	LF	AT1G06830
Bo5g007770	LF	AT1G06840
Bo5g007780	LF	AT1G06850
Bo5g007790	LF	AT1G06870
Bo5g007800	LF	AT1G06890
Bo5g007820	LF	AT1G06930
Bo5g007840	LF	AT1G06980
Bo5g007850	LF	AT1G06990
Bo5g007870	LF	AT1G07000
Bo5g007880	LF	AT1G07010
Bo5g007890	LF	AT1G07025
Bo5g007900	LF	AT1G07040
Bo5g007920	LF	AT1G07060
Bo5g007930	LF	AT1G07090
Bo5g007940	LF	AT1G07110
Bo5g007970	LF	AT1G07140
Bo5g007990	LF	AT1G07150
Bo5g008000	LF	AT1G07160
Bo5g008010	LF	AT1G07170
Bo5g008020	LF	AT1G07175
Bo5g008030	LF	AT1G07180
Bo5g008040	LF	AT1G07200
Bo5g008070	LF	AT1G07240
Bo5g008090	LF	AT1G07270
Bo5g008100	LF	AT1G07280
Bo5g008110	LF	AT1G07290
Bo5g008120	LF	AT1G07300
Bo5g008130	LF	AT1G07310
Bo5g008140	LF	AT1G07320
Bo5g008150	LF	AT1G07340
Bo5g008160	LF	AT1G07350
Bo5g008170	LF	AT1G07370
Bo5g008180	LF	AT1G07380
Bo5g008210	LF	AT1G07430
Bo5g008220	LF	AT1G07440
Bo5g008240	LF	AT1G07470
Bo5g008230	LF	AT1G07473
Bo5g008260	LF	AT1G07520
Bo5g008270	LF	AT1G07540
Bo5g008290	LF	AT1G07550
Bo5g008300	LF	AT1G07570
Bo5g008340	LF	AT1G07620
Bo5g008350	LF	AT1G07630
Bo5g008360	LF	AT1G07640
Bo5g008410	LF	AT1G07660
Bo5g008420	LF	AT1G07670
Bo5g008540	LF	AT1G07680
Bo5g008520	LF	AT1G07705
Bo5g008510	LF	AT1G07710
Bo5g008500	LF	AT1G07720
Bo5g008450	LF	AT1G07750
Bo5g008440	LF	AT1G07770
Bo5g008430	LF	AT1G07795
Bo5g008570	LF	AT1G07870
Bo5g008580	LF	AT1G07890
Bo5g008610	LF	AT1G07960
Bo5g008650	LF	AT1G07980
Bo5g008670	LF	AT1G08000
Bo5g008680	LF	AT1G08030
Bo5g008690	LF	AT1G08035
Bo5g008720	LF	AT1G08060
Bo5g008730	LF	AT1G08065
Bo5g008740	LF	AT1G08070
Bo5g008790	LF	AT1G08160
Bo5g008800	LF	AT1G08170
Bo5g008810	LF	AT1G08180
Bo5g008820	LF	AT1G08190
Bo5g008830	LF	AT1G08200
Bo5g008850	LF	AT1G08260
Bo5g008860	LF	AT1G08270
Bo5g008870	LF	AT1G08280
Bo5g008880	LF	AT1G08290
Bo5g008890	LF	AT1G08300
Bo5g008900	LF	AT1G08310
Bo5g008930	LF	AT1G08315
Bo5g008940	LF	AT1G08320
Bo5g008950	LF	AT1G08350
Bo5g008970	LF	AT1G08400
Bo5g008990	LF	AT1G08420
Bo5g009000	LF	AT1G08430
Bo5g009010	LF	AT1G08465
Bo5g009020	LF	AT1G08470
Bo5g009030	LF	AT1G08490
Bo5g009040	LF	AT1G08510
Bo5g009050	LF	AT1G08520
Bo5g009080	LF	AT1G08550
Bo5g009090	LF	AT1G08570
Bo5g009100	LF	AT1G08580
Bo5g009140	LF	AT1G08640
Bo5g009150	LF	AT1G08650
Bo5g009170	LF	AT1G08660
Bo5g009180	LF	AT1G08680
Bo5g009160	LF	AT1G08680
Bo5g009190	LF	AT1G08700
Bo5g009240	LF	AT1G08760
Bo5g009250	LF	AT1G08770
Bo5g009260	LF	AT1G08780
Bo5g009270	LF	AT1G08790
Bo5g009280	LF	AT1G08800
Bo5g009290	LF	AT1G08810
Bo5g009300	LF	AT1G08820
Bo5g009330	LF	AT1G08880
Bo5g009370	LF	AT1G08940
Bo5g009390	LF	AT1G09010
Bo5g009400	LF	AT1G09020
Bo5g009420	LF	AT1G09030
Bo5g009440	LF	AT1G09040
Bo5g009450	LF	AT1G09070
Bo5g009460	LF	AT1G09130
Bo5g009470	LF	AT1G09140
Bo5g009500	LF	AT1G09155
Bo5g009530	LF	AT1G09155
Bo5g009540	LF	AT1G09160
Bo5g009550	LF	AT1G09190
Bo5g009640	LF	AT1G09230
Bo5g009660	LF	AT1G09240
Bo5g009670	LF	AT1G09250
Bo5g009690	LF	AT1G09280
Bo5g009710	LF	AT1G09320
Bo5g009720	LF	AT1G09330
Bo5g009730	LF	AT1G09340
Bo5g009740	LF	AT1G09360
Bo5g009790	LF	AT1G09380
Bo5g009800	LF	AT1G09390
Bo5g009820	LF	AT1G09440
Bo5g009830	LF	AT1G09470
Bo5g009840	LF	AT1G09480
Bo5g009900	LF	AT1G09520
Bo5g009910	LF	AT1G09530
Bo5g009920	LF	AT1G09540
Bo5g009940	LF	AT1G09550
Bo5g009960	LF	AT1G09550
Bo5g009980	LF	AT1G09560
Bo5g009990	LF	AT1G09570
Bo5g010000	LF	AT1G09575
Bo5g010010	LF	AT1G09580
Bo5g010040	LF	AT1G09620
Bo5g010050	LF	AT1G09630
Bo5g010070	LF	AT1G09660
