Bo00795s120	GRAS	AT1G63100.1	0.0	GRAS family protein
Bo1g007320	HSF	AT4G19630.1	1e-16	HSF family protein
Bo1g007700	bZIP	AT4G34000.1	0.0	abscisic acid responsive elements-binding factor 3
Bo1g016960	CPP	AT4G29000.1	0.0	Tesmin/TSO1-like CXC domain-containing protein
Bo1g019260	WRKY	AT4G18170.1	1e-173	WRKY DNA-binding protein 28
Bo1g022120	FAR1	AT4G19990.2	0.0	FAR1-related sequence 1
Bo1g023740	Dof	AT4G21050.1	1e-75	Dof-type zinc finger domain-containing protein
Bo1g037430	Nin-like	AT4G24020.1	0.0	NIN like protein 7
Bo1g057470	CPP	AT4G14770.1	0.0	TESMIN/TSO1-like CXC 2
Bo1g060520	SRS	AT3G51060.1	1e-179	Lateral root primordium (LRP) protein-related
Bo1g087780	bZIP	AT1G58110.1	1e-173	bZIP family protein
Bo1g104900	CPP	AT3G22760.1	0.0	Tesmin/TSO1-like CXC domain-containing protein
Bo1g143840	NAC	AT3G10490.2	0.0	NAC domain containing protein 52
Bo1g143850	NAC	AT3G10490.2	0.0	NAC domain containing protein 52
Bo2g002590	Dof	AT5G02460.1	1e-165	Dof family protein
Bo2g008760	NAC	AT5G07680.1	0.0	NAC domain containing protein 80
Bo2g033970	GATA	AT5G56860.1	1e-165	GATA family protein
Bo2g075210	TCP	AT1G72010.1	1e-180	TCP family protein
Bo2g083970	SRS	AT1G75520.1	0.0	SHI-related sequence 5
Bo2g098820	WRKY	AT4G01250.1	1e-148	WRKY family protein
Bo2g165560	HSF	AT3G51910.1	4e-19	heat shock transcription factor A7A
Bo2g167880	bHLH	AT5G67060.1	1e-103	bHLH family protein
Bo2g168270	Dof	AT5G65590.1	1e-168	Dof family protein
Bo3g009820	NAC	AT5G14490.1	6e-56	NAC domain containing protein 85
Bo3g010620	bZIP	AT5G15830.1	2e-89	basic leucine-zipper 3
Bo3g017350	ZF-HD	AT5G60480.1	2e-18	homeobox protein 26
Bo3g024350	LBD	AT2G30130.1	1e-108	LBD family protein
Bo3g024750	WRKY	AT2G30590.1	1e-168	WRKY DNA-binding protein 21
Bo3g027460	SBP	AT2G33810.1	6e-61	squamosa promoter binding protein-like 3
Bo3g031650	WRKY	AT2G37260.1	0.0	WRKY family protein
Bo3g035130	WRKY	AT2G40740.1	1e-157	WRKY DNA-binding protein 55
Bo3g036300	bHLH	AT2G43010.2	0.0	phytochrome interacting factor 4
Bo3g039150	bZIP	AT2G46270.1	2e-66	G-box binding factor 3
