Gene,Description,BLAST_hit
Bo00285s330,B3 domain-containing protein REM9 (Auxin response factor 23) (Protein REPRODUCTIVE MERISTEM 9),REM9 ARF23 At4g31690 F28M20.120
Bo00285s400,Proline-rich receptor-like protein kinase PERK10 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 10) (AtPERK10),PERK10 At1g26150 F28B23.17
Bo00613s180,Protein LHCP TRANSLOCATION DEFECT (Protein GRANA-DEFICIENT CHLOROPLAST 1),LTD GDC1 At1g50900 F8A12.12
Bo00613s190,Protein LHCP TRANSLOCATION DEFECT (Protein GRANA-DEFICIENT CHLOROPLAST 1),LTD GDC1 At1g50900 F8A12.12
Bo00641s050,6-phosphogluconate dehydrogenase decarboxylating 1 chloroplastic (EC 1.1.1.44),PGD1 At1g64190 F22C12.5
Bo00679s100,Zinc finger protein BRUTUS (Protein EMBRYO DEFECTIVE 2454),BTS EMB2454 At3g18290 MIE15.8
Bo00722s080,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00751s090,Methylthioalkylmalate synthase 1 chloroplastic (EC 2.3.3.17) (2-isopropylmalate synthase 3),MAM1 IMS3 IPMS_AT2 MAM-L MAML At5g23010 T20O7.3
Bo00837s070,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),GLY I
Bo00851s060,Alpha/beta hydrolase domain-containing protein 17C (Abhydrolase domain-containing protein 17C) (EC 3.1.2.22),abhd17c zgc:55468
Bo00866s030,Protein STRICTOSIDINE SYNTHASE-LIKE 8 (AtSSL8) (Strictosidine synthase 5) (AtSS5),SSL8 SS5 At3g57010 F24I3.90
Bo00877s070,Phenolic glucoside malonyltransferase 2 (EC 2.3.1.-),PMAT2 At3g29670 MOD1_4
Bo00916s040,E3 ubiquitin-protein ligase RZFP34 (EC 2.3.2.27) (CHY zinc-finger and RING protein 1) (RING zinc-finger protein 34) (RZFP34 protein homolog) (AtRZPF34),RZPF34 CHYR1 At5g22920 MRN17.15
Bo00934s010,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo00935s020,Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.104) (Glucosylceramidase 2),Gba2 Kiaa1605
Bo01006s010,Acyl-CoA-binding protein (ACBP),
Bo01042s030,Probable glucose-1-phosphate adenylyltransferase large subunit chloroplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase S) (Alpha-D-glucose-1-phosphate adenyl transferase),At2g21590 F2G1.14
