Gene,Description,BLAST_hit
Bo00534s010,Putative disease resistance RPP13-like protein 1,RPPL1 At3g14470 MOA2.9
Bo00534s050,,
Bo00534s060,RGS1-HXK1-interacting protein 1,RHIP1 At4g26410 M3E9.160
Bo00534s130,,
Bo00534s140,,
Bo00534s170,E3 ubiquitin-protein ligase CCNB1IP1 homolog (EC 2.3.2.27) (RING finger-containing protein HEI10) (RING-type E3 ubiquitin transferase HEI10),HEI10 At1g53490 F22G10.16 T3F20.19
Bo00579s080,Zinc finger protein CONSTANS-LIKE 15,COL15 At1g28050 F13K9.15
Bo00629s240,,
Bo00686s020,,
Bo00686s080,Probable ATP-dependent DNA helicase CHR12 (EC 3.6.4.12) (Protein CHROMATIN REMODELING 12) (AtCHR12) (Protein MINUSCULE 1),CHR12 MINU1 At3g06010 F2O10.3
Bo00692s120,Putative DNA-binding protein At1g48610 (AT-hook DNA-binding motif-containing protein At1g48610),At1g48610 T1N15.24
Bo00706s040,Probable metal-nicotianamine transporter YSL7 (Protein YELLOW STRIPE LIKE 7) (AtYSL7),YSL7 At1g65730 F1E22.10
Bo00722s110,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s130,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s140,Glutathione S-transferase T2 (AtGSTT2) (EC 2.5.1.18) (GST class-theta member 2) (Glutathione S-transferase 10B),GSTT2 GST10B At5g41240/At5g41230 K1O13.3/K1O13.2
Bo00751s060,Probable acyl-activating enzyme 17 peroxisomal (EC 6.2.1.-),AAE17 At5g23050 MYJ24.4
Bo00758s050,Disease resistance-like protein DSC2 (Protein DOMINANT SUPRESSOR OF CAMTA3 NUMBER 2),DSC2 At5g18370
Bo00763s030,,
Bo00763s130,,
Bo00766s060,,
Bo00779s030,Probable histone H2A.1 (HTA10),At1g51060 F23H24.9
Bo00792s020,,
Bo00792s040,Thioredoxin Y2 chloroplastic (AtTrxy2),At1g43560 T10P12.4
Bo00802s030,Pentatricopeptide repeat-containing protein At3g60960 mitochondrial,At3g60960 T27I15_50
Bo00816s010,Chaperone protein dnaJ 16 (AtDjB16) (AtJ16) (Protein ARG1-LIKE 1) (AtARL1),ATJ16 ARL1 B16 At1g24120 F3I6.4
Bo00828s040,,
Bo00828s050,,
Bo00915s020,ERAD-associated E3 ubiquitin-protein ligase component HRD3A (AtSel1A) (Protein EMS-MUTAGENIZED BRI1 SUPPRESSOR 5),HRD3A EBS5 At1g18260 T10O22.22
Bo00915s030,,
Bo00926s030,Zinc finger CCCH domain-containing protein 24 (AtC3H24) (EC 2.1.1.-),At2g28450 T1B3.3
Bo00927s020,Protein FAM210B mitochondrial,Fam210b
Bo00927s060,Ribosomal RNA-processing protein 8 (EC 2.1.1.-),At5g40530 MNF13.4
Bo00935s010,Thymidylate kinase (AtTMPK) (EC 2.7.4.9) (Protein ZEUS1),ZEU1 At5g59440
Bo00950s010,,
Bo00950s050,Nudix hydrolase 25 (AtNUDT25) (EC 3.6.1.17) (Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)),NUDT25 NUDX25 At1g30110 T2H7.9
Bo00951s030,DNA-directed RNA polymerase II subunit 2 (DNA-directed RNA polymerase II 135 kDa polypeptide) (DNA-directed RNA polymerase II subunit RPB2) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2) (EC 2.7.7.6) (Protein EMBRYO DEFECTIVE 1989),NRPB2 EMB1989 RP140 RPB135 RPB2 At4g21710 F17L22.170
Bo00951s040,Importin beta-like SAD2 homolog,At3g59020 F17J16.70
Bo00958s060,50S ribosomal protein L27,rpmA BT_0152
Bo00993s020,Apoptosis-inducing factor 2 (EC 1.-.-.-),AIFM2
Bo00998s020,Transcription factor TCP19,TCP19 At5g51910 MJM18.6
Bo01004s010,,
Bo01004s020,,
Bo01011s010,Expansin-A10 (AtEXPA10) (Alpha-expansin-10) (At-EXP10) (AtEx10) (Ath-ExpAlpha-1.1),EXPA10 EXP10 At1g26770 T24P13.15 T24P13_14
Bo01042s040,,
Bo01049s020,,
Bo01049s040,Probable mitochondrial-processing peptidase subunit beta mitochondrial (EC 3.4.24.64) (Beta-MPP),At3g02090 F1C9.12
Bo01050s010,Phosphoglucan water dikinase chloroplastic (EC 2.7.9.5),GWD3 OK1 PWD At5g26570 F9D12.1 F9D12.19
Bo01051s050,13-hydroxylupanine O-tigloyltransferase (EC 2.3.1.93) ((-)-13alpha-hydroxymultiflorine/(+)-13alpha-hydroxylupanine O-tigloyltransferase) (HMT/HLTase) (Quinolizidine alkaloid O-tigloyltransferase),HMT/HLT
Bo01096s020,,
Bo01097s040,CDPK-related kinase 4 (AtCRK4) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK4),CRK4 CP4 At5g24430 K16H17.14
Bo01097s050,,
Bo01100s020,Homeobox-leucine zipper protein HDG11 (HD-ZIP protein HDG11) (Homeodomain GLABRA 2-like protein 11) (Homeodomain transcription factor HDG11) (Protein ENHANCED DROUGHT TOLERANCE 1) (Protein HOMEODOMAIN GLABROUS 11),HDG11 EDT1 HDGL2-11 At1g73360 T9L24.43
Bo01121s020,,
Bo01124s020,,
Bo01163s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo01175s010,Type IV inositol polyphosphate 5-phosphatase 3 (At5PTase3) (EC 3.1.3.36) (EC 3.1.3.86),IP5P3 At1g71710 F14O23_9 F26A9.1
Bo01175s020,,
Bo01178s020,Calcium-binding protein CML42 (Calmodulin-like protein 42),CML42 At4g20780 F21C20.130
Bo01198s030,,
Bo01203s020,Splicing factor U2af large subunit B (U2 auxiliary factor 65 kDa subunit B) (U2 small nuclear ribonucleoprotein auxiliary factor large subunit B) (U2 snRNP auxiliary factor large subunit B),U2AF65B At1g60900 T7P1.5
Bo01235s020,,
Bo01279s020,50S ribosomal protein L36,rpmJ Pmob_0766
Bo01362s010,Hexokinase-3 (EC 2.7.1.1),At1g50460 F11F12.18
Bo01379s030,,
Bo01383s020,CBL-interacting serine/threonine-protein kinase 20 (EC 2.7.11.1) (SNF1-related kinase 3.6) (SOS2-like protein kinase PKS18),CIPK20 PKS18 SnRK3.6 At5g45820 K15I22.2
Bo01392s020,,
Bo01396s020,Membrin-12 (AtMEMB12) (Golgi SNAP receptor complex member 2-2),MEMB12 At5g50440 MXI22.16
Bo01396s030,,
Bo01470s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo01477s010,,
Bo01487s010,Glycine-rich protein 3 short isoform,GRP3S At2g05380 F16J10.7
Bo01863s010,UPF0481 protein At3g47200,At3g47200 F13I12.250
Bo01916s010,Cytidine deaminase 1 (At-CDA1) (EC 3.5.4.5),CDA1 CDD DESZ At2g19570 F3P11
Bo02022s010,DNA-directed RNA polymerase II subunit 4 (15.9 kDa subunit of RNA polymerase II) (DNA-directed RNA polymerase II subunit D),NRPB4 RPB15.9 RPB4 At5g09920 MYH9.13
Bo02274s010,Ras-related protein Rab-7A,rab7A rab7 DDB_G0269236
Bo02309s010,,
Bo02800s010,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo03121s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo03243s010,,
Bo03378s010,,
