Feature	Duplication
Bo00285s010	dispersed
Bo2g091080	dispersed
Bo4g082270	dispersed
Bo6g066810	dispersed
Bo8g043450	dispersed
Bo00285s030	dispersed
Bo01253s010	dispersed
Bo00285s050	dispersed
Bo03051s010	dispersed
Bo2g105180	dispersed
Bo3g141800	dispersed
Bo9g068160	dispersed
Bo00285s060	dispersed
Bo1g126180	dispersed
Bo2g032360	dispersed
Bo7g005340	dispersed
Bo8g016520	dispersed
Bo00285s070	dispersed
Bo00613s140	dispersed
Bo7g088550	dispersed
Bo00285s080	dispersed
Bo00817s050	dispersed
Bo00919s020	dispersed
Bo5g035150	dispersed
Bo00285s090	dispersed
Bo2g118040	dispersed
Bo2g126940	dispersed
Bo7g082160	dispersed
Bo9g098670	dispersed
Bo00285s100	dispersed
Bo00616s010	dispersed
Bo03378s010	dispersed
Bo3g064330	dispersed
Bo00285s120	dispersed
Bo00613s050	dispersed
Bo2g139220	dispersed
Bo00285s130	dispersed
Bo00616s060	dispersed
Bo2g139180	dispersed
Bo00285s180	dispersed
Bo1g086150	dispersed
Bo3g167120	dispersed
Bo9g090810	dispersed
Bo00285s190	dispersed
Bo01142s010	dispersed
Bo4g086950	dispersed
Bo4g118480	dispersed
Bo7g054340	dispersed
Bo00285s200	dispersed
Bo01467s010	dispersed
Bo3g113530	dispersed
Bo4g084680	dispersed
Bo00285s210	dispersed
Bo1g068580	dispersed
Bo9g071390	dispersed
Bo00285s230	dispersed
Bo12869s010	dispersed
Bo2g139140	dispersed
Bo00285s250	dispersed
Bo1g058870	dispersed
Bo2g100670	dispersed
Bo5g098390	dispersed
Bo00285s260	dispersed
Bo3g173680	dispersed
Bo00285s300	dispersed
Bo1g017660	dispersed
Bo7g031370	dispersed
Bo8g076510	dispersed
Bo9g037020	dispersed
Bo00285s330	dispersed
Bo1g150380	dispersed
Bo3g039030	dispersed
Bo4g140670	dispersed
Bo9g148330	dispersed
Bo00285s350	dispersed
Bo2g017630	dispersed
Bo4g133450	dispersed
Bo4g142480	dispersed
Bo9g032250	dispersed
Bo00285s480	dispersed
Bo1g046590	dispersed
Bo5g139980	dispersed
Bo7g106770	dispersed
Bo00285s490	dispersed
Bo06470s010	dispersed
Bo00285s500	dispersed
Bo3g007380	dispersed
Bo3g017070	dispersed
Bo4g006910	dispersed
Bo00285s510	dispersed
Bo8g065070	dispersed
Bo00285s670	dispersed
Bo2g158400	dispersed
Bo4g071750	dispersed
Bo8g024400	dispersed
Bo9g037390	dispersed
Bo00418s090	dispersed
Bo2g013940	dispersed
Bo2g138390	dispersed
Bo6g018070	dispersed
Bo8g032400	dispersed
Bo00418s100	dispersed
Bo2g013930	dispersed
Bo5g071130	dispersed
Bo00418s110	dispersed
Bo5g027580	dispersed
Bo9g043600	dispersed
Bo00418s160	dispersed
Bo7g069970	dispersed
Bo7g072650	dispersed
Bo00418s190	dispersed
Bo03067s010	dispersed
Bo00418s200	dispersed
Bo2g121030	dispersed
Bo4g133430	dispersed
Bo7g032930	dispersed
Bo9g175360	dispersed
Bo00434s010	dispersed
Bo5g075180	dispersed
Bo7g033160	dispersed
Bo00434s020	dispersed
Bo2g065730	dispersed
Bo2g110500	dispersed
Bo4g129570	dispersed
Bo6g068430	dispersed
Bo00434s030	dispersed
Bo00817s010	dispersed
Bo6g046590	dispersed
Bo7g029100	dispersed
