Gene,Description,BLAST_hit
Bo00285s070,,
Bo00285s080,,
Bo00285s100,,
Bo00285s330,B3 domain-containing protein REM9 (Auxin response factor 23) (Protein REPRODUCTIVE MERISTEM 9),REM9 ARF23 At4g31690 F28M20.120
Bo00534s010,Putative disease resistance RPP13-like protein 1,RPPL1 At3g14470 MOA2.9
Bo00534s050,,
Bo00534s060,RGS1-HXK1-interacting protein 1,RHIP1 At4g26410 M3E9.160
Bo00534s130,,
Bo00534s140,,
Bo00534s170,E3 ubiquitin-protein ligase CCNB1IP1 homolog (EC 2.3.2.27) (RING finger-containing protein HEI10) (RING-type E3 ubiquitin transferase HEI10),HEI10 At1g53490 F22G10.16 T3F20.19
Bo00579s080,Zinc finger protein CONSTANS-LIKE 15,COL15 At1g28050 F13K9.15
Bo00579s180,ABC transporter B family member 14 (ABC transporter ABCB.14) (AtABCB14) (Multidrug resistance protein 12) (P-glycoprotein 14),ABCB14 MDR12 PGP14 At1g28010 F13K9.11
Bo00613s180,Protein LHCP TRANSLOCATION DEFECT (Protein GRANA-DEFICIENT CHLOROPLAST 1),LTD GDC1 At1g50900 F8A12.12
Bo00613s190,Protein LHCP TRANSLOCATION DEFECT (Protein GRANA-DEFICIENT CHLOROPLAST 1),LTD GDC1 At1g50900 F8A12.12
Bo00615s200,,
Bo00629s240,,
Bo00641s050,6-phosphogluconate dehydrogenase decarboxylating 1 chloroplastic (EC 1.1.1.44),PGD1 At1g64190 F22C12.5
Bo00679s100,Zinc finger protein BRUTUS (Protein EMBRYO DEFECTIVE 2454),BTS EMB2454 At3g18290 MIE15.8
Bo00686s020,,
Bo00686s080,Probable ATP-dependent DNA helicase CHR12 (EC 3.6.4.12) (Protein CHROMATIN REMODELING 12) (AtCHR12) (Protein MINUSCULE 1),CHR12 MINU1 At3g06010 F2O10.3
Bo00692s120,Putative DNA-binding protein At1g48610 (AT-hook DNA-binding motif-containing protein At1g48610),At1g48610 T1N15.24
Bo00706s040,Probable metal-nicotianamine transporter YSL7 (Protein YELLOW STRIPE LIKE 7) (AtYSL7),YSL7 At1g65730 F1E22.10
Bo00722s080,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s110,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s130,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s140,Glutathione S-transferase T2 (AtGSTT2) (EC 2.5.1.18) (GST class-theta member 2) (Glutathione S-transferase 10B),GSTT2 GST10B At5g41240/At5g41230 K1O13.3/K1O13.2
